time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,5.0,NaN,1,bigfive
2,10.0,NaN,1,bigfive
3,11.0,NaN,1,bigfive
4,12.0,NaN,1,bigfive
5,16.0,NaN,1,bigfive
6,18.0,NaN,1,bigfive
7,20.0,NaN,1,bigfive
8,21.0,NaN,1,bigfive
9,22.0,NaN,1,bigfive
10,22.0,NaN,1,bigfive
11,22.0,NaN,1,bigfive
12,22.0,NaN,1,bigfive
13,22.0,NaN,1,bigfive
14,22.0,NaN,1,bigfive
15,22.0,NaN,1,bigfive
16,22.0,NaN,1,bigfive
17,22.0,NaN,1,bigfive
18,22.0,NaN,1,bigfive
19,22.0,NaN,1,bigfive
20,23.0,NaN,1,bigfive
21,23.0,NaN,1,bigfive
22,23.0,NaN,1,bigfive
23,23.0,NaN,1,bigfive
24,24.0,NaN,1,bigfive
25,24.0,NaN,1,bigfive
26,24.0,NaN,1,bigfive
27,24.0,NaN,1,bigfive
28,24.0,NaN,1,bigfive
29,24.0,NaN,1,bigfive
30,24.0,NaN,1,bigfive
31,24.0,NaN,1,bigfive
32,24.0,NaN,1,bigfive
33,24.0,NaN,1,bigfive
34,24.0,NaN,1,bigfive
35,24.0,NaN,1,bigfive
36,24.0,NaN,1,bigfive
37,24.0,NaN,1,bigfive
38,24.0,NaN,1,bigfive
39,24.0,NaN,1,bigfive
40,24.0,NaN,1,bigfive
41,24.0,NaN,1,bigfive
42,24.0,NaN,1,bigfive
43,24.0,NaN,1,bigfive
44,24.0,NaN,1,bigfive
45,24.0,NaN,1,bigfive
46,24.0,NaN,1,bigfive
47,24.0,NaN,1,bigfive
48,24.0,NaN,1,bigfive
49,24.0,NaN,1,bigfive
50,24.0,NaN,1,bigfive
51,24.0,NaN,1,bigfive
52,24.0,NaN,1,bigfive
53,24.0,NaN,1,bigfive
54,24.0,NaN,1,bigfive
55,24.0,NaN,1,bigfive
56,24.0,NaN,1,bigfive
57,24.0,NaN,1,bigfive
58,24.0,NaN,1,bigfive
59,24.0,NaN,1,bigfive
60,24.0,NaN,1,bigfive
61,24.0,NaN,1,bigfive
62,24.0,NaN,1,bigfive
63,24.0,NaN,1,bigfive
64,24.0,NaN,1,bigfive
65,24.0,NaN,1,bigfive
66,24.0,NaN,1,bigfive
67,24.0,NaN,1,bigfive
68,24.0,NaN,1,bigfive
69,24.0,NaN,1,bigfive
70,24.0,NaN,1,bigfive
71,24.0,NaN,1,bigfive
72,24.0,NaN,1,bigfive
73,24.0,NaN,1,bigfive
74,24.0,NaN,1,bigfive
75,24.0,NaN,1,bigfive
76,24.0,NaN,1,bigfive
77,24.0,NaN,1,bigfive
78,24.0,NaN,1,bigfive
79,24.0,NaN,1,bigfive
80,24.0,NaN,1,bigfive
81,24.0,NaN,1,bigfive
82,24.0,NaN,1,bigfive
83,24.0,NaN,1,bigfive
84,24.0,NaN,1,bigfive
85,24.0,NaN,1,bigfive
86,24.0,NaN,1,bigfive
87,24.0,NaN,1,bigfive
88,24.0,NaN,1,bigfive
89,24.0,NaN,1,bigfive
90,24.0,NaN,1,bigfive
91,24.0,NaN,1,bigfive
92,24.0,NaN,1,bigfive
93,24.0,NaN,1,bigfive
94,24.0,NaN,1,bigfive
95,24.0,NaN,1,bigfive
96,24.0,NaN,1,bigfive
97,24.0,NaN,1,bigfive
98,24.0,NaN,1,bigfive
99,24.0,NaN,1,bigfive
100,24.0,NaN,1,bigfive
101,24.0,NaN,1,bigfive
102,24.0,NaN,1,bigfive
103,24.0,NaN,1,bigfive
104,24.0,NaN,1,bigfive
105,24.0,NaN,1,bigfive
106,24.0,NaN,1,bigfive
107,24.0,NaN,1,bigfive
108,24.0,NaN,1,bigfive
109,24.0,NaN,1,bigfive
110,24.0,NaN,1,bigfive
111,24.0,NaN,1,bigfive
112,24.0,NaN,1,bigfive
113,24.0,NaN,1,bigfive
114,24.0,NaN,1,bigfive
115,24.0,NaN,1,bigfive
116,24.0,NaN,1,bigfive
117,24.0,NaN,1,bigfive
118,24.0,NaN,1,bigfive
119,24.0,NaN,1,bigfive
120,24.0,NaN,1,bigfive
121,24.0,NaN,1,bigfive
122,24.0,NaN,1,bigfive
123,24.0,NaN,1,bigfive
124,24.0,NaN,1,bigfive
125,24.0,NaN,1,bigfive
126,24.0,NaN,1,bigfive
127,24.0,NaN,1,bigfive
128,24.0,NaN,1,bigfive
129,24.0,NaN,1,bigfive
130,24.0,NaN,1,bigfive
131,24.0,NaN,1,bigfive
132,24.0,NaN,1,bigfive
133,24.0,NaN,1,bigfive
134,24.0,NaN,1,bigfive
135,24.0,NaN,1,bigfive
136,24.0,NaN,1,bigfive
137,24.0,NaN,1,bigfive
138,24.0,NaN,1,bigfive
0,0.0,NaN,1,rule
1,6.0,NaN,1,rule
2,9.0,NaN,1,rule
3,11.0,NaN,1,rule
4,13.0,NaN,1,rule
5,15.0,NaN,1,rule
6,16.0,NaN,1,rule
7,17.0,NaN,1,rule
8,18.0,NaN,1,rule
9,20.0,NaN,1,rule
10,21.0,NaN,1,rule
11,21.0,NaN,1,rule
12,22.0,NaN,1,rule
13,22.0,NaN,1,rule
14,22.0,NaN,1,rule
15,22.0,NaN,1,rule
16,23.0,NaN,1,rule
17,23.0,NaN,1,rule
18,23.0,NaN,1,rule
19,25.0,NaN,1,rule
20,25.0,NaN,1,rule
21,27.0,NaN,1,rule
22,27.0,NaN,1,rule
23,27.0,NaN,1,rule
24,27.0,NaN,1,rule
25,27.0,NaN,1,rule
26,27.0,NaN,1,rule
27,29.0,NaN,1,rule
28,29.0,NaN,1,rule
29,29.0,NaN,1,rule
30,29.0,NaN,1,rule
31,29.0,NaN,1,rule
32,29.0,NaN,1,rule
33,29.0,NaN,1,rule
34,29.0,NaN,1,rule
35,29.0,NaN,1,rule
36,29.0,NaN,1,rule
37,29.0,NaN,1,rule
38,29.0,NaN,1,rule
39,29.0,NaN,1,rule
40,29.0,NaN,1,rule
41,29.0,NaN,1,rule
42,29.0,NaN,1,rule
43,30.0,NaN,1,rule
44,30.0,NaN,1,rule
45,32.0,NaN,1,rule
46,32.0,NaN,1,rule
47,32.0,NaN,1,rule
48,32.0,NaN,1,rule
49,33.0,NaN,1,rule
50,33.0,NaN,1,rule
51,33.0,NaN,1,rule
52,33.0,NaN,1,rule
53,33.0,NaN,1,rule
54,33.0,NaN,1,rule
55,33.0,NaN,1,rule
56,33.0,NaN,1,rule
57,33.0,NaN,1,rule
58,33.0,NaN,1,rule
59,34.0,NaN,1,rule
60,36.0,NaN,1,rule
61,36.0,NaN,1,rule
62,36.0,NaN,1,rule
63,36.0,NaN,1,rule
64,36.0,NaN,1,rule
65,36.0,NaN,1,rule
66,36.0,NaN,1,rule
67,36.0,NaN,1,rule
68,36.0,NaN,1,rule
69,36.0,NaN,1,rule
70,36.0,NaN,1,rule
71,36.0,NaN,1,rule
72,36.0,NaN,1,rule
73,36.0,NaN,1,rule
74,36.0,NaN,1,rule
75,36.0,NaN,1,rule
76,36.0,NaN,1,rule
77,37.0,NaN,1,rule
78,38.0,NaN,1,rule
79,39.0,NaN,1,rule
80,39.0,NaN,1,rule
81,39.0,NaN,1,rule
82,39.0,NaN,1,rule
83,39.0,NaN,1,rule
84,39.0,NaN,1,rule
85,39.0,NaN,1,rule
86,39.0,NaN,1,rule
87,40.0,NaN,1,rule
88,40.0,NaN,1,rule
89,40.0,NaN,1,rule
90,40.0,NaN,1,rule
91,40.0,NaN,1,rule
92,40.0,NaN,1,rule
93,41.0,NaN,1,rule
94,41.0,NaN,1,rule
95,42.0,NaN,1,rule
96,42.0,NaN,1,rule
97,43.0,NaN,1,rule
98,43.0,NaN,1,rule
99,43.0,NaN,1,rule
100,43.0,NaN,1,rule
101,44.0,NaN,1,rule
102,44.0,NaN,1,rule
103,44.0,NaN,1,rule
104,45.0,NaN,1,rule
105,46.0,NaN,1,rule
106,47.0,NaN,1,rule
107,48.0,NaN,1,rule
108,48.0,NaN,1,rule
109,48.0,NaN,1,rule
110,48.0,NaN,1,rule
111,48.0,NaN,1,rule
112,48.0,NaN,1,rule
113,48.0,NaN,1,rule
114,48.0,NaN,1,rule
115,48.0,NaN,1,rule
116,48.0,NaN,1,rule
117,48.0,NaN,1,rule
118,51.0,NaN,1,rule
119,51.0,NaN,1,rule
120,51.0,NaN,1,rule
121,51.0,NaN,1,rule
122,51.0,NaN,1,rule
123,51.0,NaN,1,rule
124,55.0,NaN,1,rule
125,55.0,NaN,1,rule
126,55.0,NaN,1,rule
127,55.0,NaN,1,rule
128,56.0,NaN,1,rule
129,56.0,NaN,1,rule
130,56.0,NaN,1,rule
131,56.0,NaN,1,rule
132,57.0,NaN,1,rule
133,57.0,NaN,1,rule
134,57.0,NaN,1,rule
135,60.0,NaN,1,rule
136,60.0,NaN,1,rule
137,60.0,NaN,1,rule
138,61.0,NaN,1,rule
139,63.0,NaN,1,rule
140,63.0,NaN,1,rule
141,64.0,NaN,1,rule
142,64.0,NaN,1,rule
143,66.0,NaN,1,rule
144,66.0,NaN,1,rule
145,67.0,NaN,1,rule
146,67.0,NaN,1,rule
147,69.0,NaN,1,rule
148,69.0,NaN,1,rule
149,69.0,NaN,1,rule
150,71.0,NaN,1,rule
0,0.0,NaN,1,schwartz
1,1.0,NaN,1,schwartz
2,3.0,NaN,1,schwartz
3,3.0,NaN,1,schwartz
4,6.0,NaN,1,schwartz
5,7.0,NaN,1,schwartz
6,9.0,NaN,1,schwartz
7,10.0,NaN,1,schwartz
8,10.0,NaN,1,schwartz
9,10.0,NaN,1,schwartz
10,10.0,NaN,1,schwartz
11,11.0,NaN,1,schwartz
12,11.0,NaN,1,schwartz
13,11.0,NaN,1,schwartz
14,11.0,NaN,1,schwartz
15,12.0,NaN,1,schwartz
16,12.0,NaN,1,schwartz
17,12.0,NaN,1,schwartz
18,12.0,NaN,1,schwartz
19,12.0,NaN,1,schwartz
20,12.0,NaN,1,schwartz
21,13.0,NaN,1,schwartz
22,13.0,NaN,1,schwartz
23,13.0,NaN,1,schwartz
24,13.0,NaN,1,schwartz
25,13.0,NaN,1,schwartz
26,13.0,NaN,1,schwartz
27,13.0,NaN,1,schwartz
28,13.0,NaN,1,schwartz
29,13.0,NaN,1,schwartz
30,13.0,NaN,1,schwartz
31,13.0,NaN,1,schwartz
32,13.0,NaN,1,schwartz
33,13.0,NaN,1,schwartz
34,13.0,NaN,1,schwartz
35,14.0,NaN,1,schwartz
36,15.0,NaN,1,schwartz
37,16.0,NaN,1,schwartz
38,17.0,NaN,1,schwartz
39,18.0,NaN,1,schwartz
40,19.0,NaN,1,schwartz
41,19.0,NaN,1,schwartz
42,19.0,NaN,1,schwartz
43,19.0,NaN,1,schwartz
44,19.0,NaN,1,schwartz
45,19.0,NaN,1,schwartz
46,19.0,NaN,1,schwartz
47,19.0,NaN,1,schwartz
48,20.0,NaN,1,schwartz
49,20.0,NaN,1,schwartz
50,20.0,NaN,1,schwartz
51,20.0,NaN,1,schwartz
52,20.0,NaN,1,schwartz
53,20.0,NaN,1,schwartz
54,20.0,NaN,1,schwartz
55,20.0,NaN,1,schwartz
56,20.0,NaN,1,schwartz
57,20.0,NaN,1,schwartz
58,20.0,NaN,1,schwartz
59,20.0,NaN,1,schwartz
60,20.0,NaN,1,schwartz
61,20.0,NaN,1,schwartz
62,20.0,NaN,1,schwartz
63,20.0,NaN,1,schwartz
64,20.0,NaN,1,schwartz
65,20.0,NaN,1,schwartz
66,20.0,NaN,1,schwartz
67,20.0,NaN,1,schwartz
68,20.0,NaN,1,schwartz
69,20.0,NaN,1,schwartz
70,20.0,NaN,1,schwartz
71,21.0,NaN,1,schwartz
72,21.0,NaN,1,schwartz
73,22.0,NaN,1,schwartz
74,22.0,NaN,1,schwartz
75,22.0,NaN,1,schwartz
76,22.0,NaN,1,schwartz
77,22.0,NaN,1,schwartz
78,22.0,NaN,1,schwartz
79,22.0,NaN,1,schwartz
80,22.0,NaN,1,schwartz
81,22.0,NaN,1,schwartz
82,22.0,NaN,1,schwartz
83,22.0,NaN,1,schwartz
84,22.0,NaN,1,schwartz
85,22.0,NaN,1,schwartz
86,22.0,NaN,1,schwartz
87,22.0,NaN,1,schwartz
88,22.0,NaN,1,schwartz
89,22.0,NaN,1,schwartz
90,22.0,NaN,1,schwartz
91,22.0,NaN,1,schwartz
92,22.0,NaN,1,schwartz
93,22.0,NaN,1,schwartz
94,22.0,NaN,1,schwartz
95,22.0,NaN,1,schwartz
96,22.0,NaN,1,schwartz
97,22.0,NaN,1,schwartz
98,22.0,NaN,1,schwartz
99,22.0,NaN,1,schwartz
100,22.0,NaN,1,schwartz
101,22.0,NaN,1,schwartz
102,22.0,NaN,1,schwartz
103,22.0,NaN,1,schwartz
104,22.0,NaN,1,schwartz
105,22.0,NaN,1,schwartz
106,22.0,NaN,1,schwartz
107,22.0,NaN,1,schwartz
108,22.0,NaN,1,schwartz
109,22.0,NaN,1,schwartz
110,22.0,NaN,1,schwartz
111,22.0,NaN,1,schwartz
112,22.0,NaN,1,schwartz
113,22.0,NaN,1,schwartz
114,22.0,NaN,1,schwartz
115,22.0,NaN,1,schwartz
116,22.0,NaN,1,schwartz
117,22.0,NaN,1,schwartz
118,22.0,NaN,1,schwartz
119,22.0,NaN,1,schwartz
120,22.0,NaN,1,schwartz
121,22.0,NaN,1,schwartz
122,22.0,NaN,1,schwartz
123,22.0,NaN,1,schwartz
124,22.0,NaN,1,schwartz
125,22.0,NaN,1,schwartz
126,22.0,NaN,1,schwartz
127,22.0,NaN,1,schwartz
128,22.0,NaN,1,schwartz
129,22.0,NaN,1,schwartz
130,22.0,NaN,1,schwartz
131,22.0,NaN,1,schwartz
132,22.0,NaN,1,schwartz
133,22.0,NaN,1,schwartz
134,22.0,NaN,1,schwartz
135,22.0,NaN,1,schwartz
136,22.0,NaN,1,schwartz
137,22.0,NaN,1,schwartz
138,22.0,NaN,1,schwartz
139,22.0,NaN,1,schwartz
140,22.0,NaN,1,schwartz
141,22.0,NaN,1,schwartz
142,22.0,NaN,1,schwartz
143,22.0,NaN,1,schwartz
