time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,0.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,0.0,NaN,1,bigfive
22,0.0,NaN,1,bigfive
23,0.0,NaN,1,bigfive
24,0.0,NaN,1,bigfive
25,0.0,NaN,1,bigfive
26,0.0,NaN,1,bigfive
27,0.0,NaN,1,bigfive
28,0.0,NaN,1,bigfive
29,0.0,NaN,1,bigfive
30,0.0,NaN,1,bigfive
31,0.0,NaN,1,bigfive
32,0.0,NaN,1,bigfive
33,0.0,NaN,1,bigfive
34,0.0,NaN,1,bigfive
35,0.0,NaN,1,bigfive
36,0.0,NaN,1,bigfive
37,0.0,NaN,1,bigfive
38,0.0,NaN,1,bigfive
39,0.0,NaN,1,bigfive
40,0.0,NaN,1,bigfive
41,0.0,NaN,1,bigfive
42,0.0,NaN,1,bigfive
43,0.0,NaN,1,bigfive
44,0.0,NaN,1,bigfive
45,0.0,NaN,1,bigfive
46,0.0,NaN,1,bigfive
47,0.0,NaN,1,bigfive
48,0.0,NaN,1,bigfive
49,0.0,NaN,1,bigfive
50,0.0,NaN,1,bigfive
51,0.0,NaN,1,bigfive
52,0.0,NaN,1,bigfive
53,0.0,NaN,1,bigfive
54,0.0,NaN,1,bigfive
55,0.0,NaN,1,bigfive
56,0.0,NaN,1,bigfive
57,0.0,NaN,1,bigfive
58,0.0,NaN,1,bigfive
59,0.0,NaN,1,bigfive
60,2.0,NaN,1,bigfive
61,2.0,NaN,1,bigfive
62,2.0,NaN,1,bigfive
63,2.0,NaN,1,bigfive
64,2.0,NaN,1,bigfive
65,2.0,NaN,1,bigfive
66,2.0,NaN,1,bigfive
67,2.0,NaN,1,bigfive
68,2.0,NaN,1,bigfive
69,2.0,NaN,1,bigfive
70,2.0,NaN,1,bigfive
71,2.0,NaN,1,bigfive
72,2.0,NaN,1,bigfive
73,2.0,NaN,1,bigfive
74,2.0,NaN,1,bigfive
75,2.0,NaN,1,bigfive
76,2.0,NaN,1,bigfive
77,2.0,NaN,1,bigfive
78,2.0,NaN,1,bigfive
79,2.0,NaN,1,bigfive
80,2.0,NaN,1,bigfive
81,2.0,NaN,1,bigfive
82,3.0,NaN,1,bigfive
83,4.0,NaN,1,bigfive
84,4.0,NaN,1,bigfive
85,4.0,NaN,1,bigfive
86,4.0,NaN,1,bigfive
87,4.0,NaN,1,bigfive
88,5.0,NaN,1,bigfive
89,6.0,NaN,1,bigfive
90,6.0,NaN,1,bigfive
91,6.0,NaN,1,bigfive
92,6.0,NaN,1,bigfive
93,7.0,NaN,1,bigfive
94,7.0,NaN,1,bigfive
95,7.0,NaN,1,bigfive
96,7.0,NaN,1,bigfive
97,7.0,NaN,1,bigfive
98,7.0,NaN,1,bigfive
99,7.0,NaN,1,bigfive
100,7.0,NaN,1,bigfive
101,7.0,NaN,1,bigfive
102,7.0,NaN,1,bigfive
103,8.0,NaN,1,bigfive
104,8.0,NaN,1,bigfive
105,9.0,NaN,1,bigfive
106,10.0,NaN,1,bigfive
107,10.0,NaN,1,bigfive
108,10.0,NaN,1,bigfive
109,10.0,NaN,1,bigfive
110,11.0,NaN,1,bigfive
111,11.0,NaN,1,bigfive
112,11.0,NaN,1,bigfive
113,11.0,NaN,1,bigfive
114,11.0,NaN,1,bigfive
115,12.0,NaN,1,bigfive
116,12.0,NaN,1,bigfive
117,12.0,NaN,1,bigfive
118,12.0,NaN,1,bigfive
119,13.0,NaN,1,bigfive
120,13.0,NaN,1,bigfive
121,13.0,NaN,1,bigfive
122,13.0,NaN,1,bigfive
123,13.0,NaN,1,bigfive
124,15.0,NaN,1,bigfive
125,15.0,NaN,1,bigfive
126,17.0,NaN,1,bigfive
127,18.0,NaN,1,bigfive
128,20.0,NaN,1,bigfive
129,21.0,NaN,1,bigfive
130,21.0,NaN,1,bigfive
131,22.0,NaN,1,bigfive
132,22.0,NaN,1,bigfive
133,23.0,NaN,1,bigfive
134,25.0,NaN,1,bigfive
135,25.0,NaN,1,bigfive
136,28.0,NaN,1,bigfive
137,31.0,NaN,1,bigfive
138,33.0,NaN,1,bigfive
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
2,0.0,NaN,1,rule
3,0.0,NaN,1,rule
4,0.0,NaN,1,rule
5,0.0,NaN,1,rule
6,0.0,NaN,1,rule
7,0.0,NaN,1,rule
8,0.0,NaN,1,rule
9,0.0,NaN,1,rule
10,0.0,NaN,1,rule
11,0.0,NaN,1,rule
12,0.0,NaN,1,rule
13,0.0,NaN,1,rule
14,0.0,NaN,1,rule
15,0.0,NaN,1,rule
16,0.0,NaN,1,rule
17,0.0,NaN,1,rule
18,0.0,NaN,1,rule
19,0.0,NaN,1,rule
20,0.0,NaN,1,rule
21,0.0,NaN,1,rule
22,0.0,NaN,1,rule
23,0.0,NaN,1,rule
24,0.0,NaN,1,rule
25,0.0,NaN,1,rule
26,0.0,NaN,1,rule
27,0.0,NaN,1,rule
28,0.0,NaN,1,rule
29,0.0,NaN,1,rule
30,0.0,NaN,1,rule
31,0.0,NaN,1,rule
32,0.0,NaN,1,rule
33,0.0,NaN,1,rule
34,0.0,NaN,1,rule
35,0.0,NaN,1,rule
36,0.0,NaN,1,rule
37,0.0,NaN,1,rule
38,0.0,NaN,1,rule
39,0.0,NaN,1,rule
40,0.0,NaN,1,rule
41,0.0,NaN,1,rule
42,0.0,NaN,1,rule
43,0.0,NaN,1,rule
44,0.0,NaN,1,rule
45,0.0,NaN,1,rule
46,0.0,NaN,1,rule
47,0.0,NaN,1,rule
48,0.0,NaN,1,rule
49,0.0,NaN,1,rule
50,0.0,NaN,1,rule
51,0.0,NaN,1,rule
52,0.0,NaN,1,rule
53,0.0,NaN,1,rule
54,0.0,NaN,1,rule
55,0.0,NaN,1,rule
56,0.0,NaN,1,rule
57,0.0,NaN,1,rule
58,0.0,NaN,1,rule
59,0.0,NaN,1,rule
60,0.0,NaN,1,rule
61,0.0,NaN,1,rule
62,0.0,NaN,1,rule
63,0.0,NaN,1,rule
64,0.0,NaN,1,rule
65,0.0,NaN,1,rule
66,0.0,NaN,1,rule
67,0.0,NaN,1,rule
68,0.0,NaN,1,rule
69,0.0,NaN,1,rule
70,0.0,NaN,1,rule
71,1.0,NaN,1,rule
72,1.0,NaN,1,rule
73,1.0,NaN,1,rule
74,1.0,NaN,1,rule
75,1.0,NaN,1,rule
76,3.0,NaN,1,rule
77,3.0,NaN,1,rule
78,3.0,NaN,1,rule
79,3.0,NaN,1,rule
80,3.0,NaN,1,rule
81,3.0,NaN,1,rule
82,3.0,NaN,1,rule
83,3.0,NaN,1,rule
84,3.0,NaN,1,rule
85,3.0,NaN,1,rule
86,3.0,NaN,1,rule
87,3.0,NaN,1,rule
88,4.0,NaN,1,rule
89,5.0,NaN,1,rule
90,5.0,NaN,1,rule
91,5.0,NaN,1,rule
92,5.0,NaN,1,rule
93,5.0,NaN,1,rule
94,5.0,NaN,1,rule
95,9.0,NaN,1,rule
96,10.0,NaN,1,rule
97,10.0,NaN,1,rule
98,11.0,NaN,1,rule
99,11.0,NaN,1,rule
100,11.0,NaN,1,rule
101,11.0,NaN,1,rule
102,12.0,NaN,1,rule
103,12.0,NaN,1,rule
104,12.0,NaN,1,rule
105,12.0,NaN,1,rule
106,12.0,NaN,1,rule
107,12.0,NaN,1,rule
108,12.0,NaN,1,rule
109,12.0,NaN,1,rule
110,12.0,NaN,1,rule
111,12.0,NaN,1,rule
112,12.0,NaN,1,rule
113,13.0,NaN,1,rule
114,15.0,NaN,1,rule
115,18.0,NaN,1,rule
116,19.0,NaN,1,rule
117,19.0,NaN,1,rule
118,19.0,NaN,1,rule
119,19.0,NaN,1,rule
120,21.0,NaN,1,rule
121,22.0,NaN,1,rule
122,23.0,NaN,1,rule
123,23.0,NaN,1,rule
124,23.0,NaN,1,rule
125,23.0,NaN,1,rule
126,23.0,NaN,1,rule
127,24.0,NaN,1,rule
128,25.0,NaN,1,rule
129,25.0,NaN,1,rule
130,25.0,NaN,1,rule
131,26.0,NaN,1,rule
132,27.0,NaN,1,rule
133,28.0,NaN,1,rule
134,29.0,NaN,1,rule
135,30.0,NaN,1,rule
136,30.0,NaN,1,rule
137,30.0,NaN,1,rule
138,36.0,NaN,1,rule
139,39.0,NaN,1,rule
140,41.0,NaN,1,rule
141,41.0,NaN,1,rule
142,41.0,NaN,1,rule
143,42.0,NaN,1,rule
144,42.0,NaN,1,rule
145,47.0,NaN,1,rule
146,47.0,NaN,1,rule
147,49.0,NaN,1,rule
148,49.0,NaN,1,rule
149,52.0,NaN,1,rule
150,60.0,NaN,1,rule
0,0.0,NaN,1,schwartz
1,0.0,NaN,1,schwartz
2,0.0,NaN,1,schwartz
3,0.0,NaN,1,schwartz
4,0.0,NaN,1,schwartz
5,0.0,NaN,1,schwartz
6,0.0,NaN,1,schwartz
7,0.0,NaN,1,schwartz
8,0.0,NaN,1,schwartz
9,0.0,NaN,1,schwartz
10,0.0,NaN,1,schwartz
11,0.0,NaN,1,schwartz
12,0.0,NaN,1,schwartz
