time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,1.0,NaN,1,bigfive
3,1.0,NaN,1,bigfive
4,3.0,NaN,1,bigfive
5,7.0,NaN,1,bigfive
6,10.0,NaN,1,bigfive
7,11.0,NaN,1,bigfive
8,11.0,NaN,1,bigfive
9,12.0,NaN,1,bigfive
10,12.0,NaN,1,bigfive
11,14.0,NaN,1,bigfive
12,14.0,NaN,1,bigfive
13,15.0,NaN,1,bigfive
14,18.0,NaN,1,bigfive
15,19.0,NaN,1,bigfive
16,19.0,NaN,1,bigfive
17,19.0,NaN,1,bigfive
18,19.0,NaN,1,bigfive
19,20.0,NaN,1,bigfive
20,20.0,NaN,1,bigfive
21,20.0,NaN,1,bigfive
22,20.0,NaN,1,bigfive
23,20.0,NaN,1,bigfive
24,21.0,NaN,1,bigfive
25,21.0,NaN,1,bigfive
26,21.0,NaN,1,bigfive
27,21.0,NaN,1,bigfive
28,21.0,NaN,1,bigfive
29,21.0,NaN,1,bigfive
30,21.0,NaN,1,bigfive
31,21.0,NaN,1,bigfive
32,21.0,NaN,1,bigfive
33,21.0,NaN,1,bigfive
34,21.0,NaN,1,bigfive
35,21.0,NaN,1,bigfive
36,21.0,NaN,1,bigfive
37,21.0,NaN,1,bigfive
38,21.0,NaN,1,bigfive
39,21.0,NaN,1,bigfive
40,21.0,NaN,1,bigfive
41,21.0,NaN,1,bigfive
42,21.0,NaN,1,bigfive
43,21.0,NaN,1,bigfive
44,21.0,NaN,1,bigfive
45,21.0,NaN,1,bigfive
46,21.0,NaN,1,bigfive
47,21.0,NaN,1,bigfive
48,21.0,NaN,1,bigfive
49,21.0,NaN,1,bigfive
50,21.0,NaN,1,bigfive
51,21.0,NaN,1,bigfive
52,21.0,NaN,1,bigfive
53,21.0,NaN,1,bigfive
54,21.0,NaN,1,bigfive
55,21.0,NaN,1,bigfive
56,21.0,NaN,1,bigfive
57,22.0,NaN,1,bigfive
58,22.0,NaN,1,bigfive
59,22.0,NaN,1,bigfive
60,22.0,NaN,1,bigfive
61,22.0,NaN,1,bigfive
62,22.0,NaN,1,bigfive
63,22.0,NaN,1,bigfive
64,22.0,NaN,1,bigfive
65,22.0,NaN,1,bigfive
66,22.0,NaN,1,bigfive
67,22.0,NaN,1,bigfive
68,22.0,NaN,1,bigfive
69,22.0,NaN,1,bigfive
70,22.0,NaN,1,bigfive
71,22.0,NaN,1,bigfive
72,22.0,NaN,1,bigfive
73,22.0,NaN,1,bigfive
74,22.0,NaN,1,bigfive
75,22.0,NaN,1,bigfive
76,22.0,NaN,1,bigfive
77,22.0,NaN,1,bigfive
78,22.0,NaN,1,bigfive
79,22.0,NaN,1,bigfive
80,22.0,NaN,1,bigfive
81,22.0,NaN,1,bigfive
82,22.0,NaN,1,bigfive
83,22.0,NaN,1,bigfive
84,22.0,NaN,1,bigfive
85,22.0,NaN,1,bigfive
86,22.0,NaN,1,bigfive
87,22.0,NaN,1,bigfive
88,22.0,NaN,1,bigfive
89,22.0,NaN,1,bigfive
90,22.0,NaN,1,bigfive
91,22.0,NaN,1,bigfive
92,22.0,NaN,1,bigfive
93,22.0,NaN,1,bigfive
94,22.0,NaN,1,bigfive
95,22.0,NaN,1,bigfive
96,22.0,NaN,1,bigfive
97,22.0,NaN,1,bigfive
98,22.0,NaN,1,bigfive
99,22.0,NaN,1,bigfive
100,22.0,NaN,1,bigfive
101,22.0,NaN,1,bigfive
102,22.0,NaN,1,bigfive
103,22.0,NaN,1,bigfive
104,22.0,NaN,1,bigfive
105,22.0,NaN,1,bigfive
106,22.0,NaN,1,bigfive
107,22.0,NaN,1,bigfive
108,22.0,NaN,1,bigfive
109,22.0,NaN,1,bigfive
110,22.0,NaN,1,bigfive
111,22.0,NaN,1,bigfive
112,22.0,NaN,1,bigfive
113,22.0,NaN,1,bigfive
114,22.0,NaN,1,bigfive
115,22.0,NaN,1,bigfive
116,22.0,NaN,1,bigfive
117,22.0,NaN,1,bigfive
118,22.0,NaN,1,bigfive
119,22.0,NaN,1,bigfive
120,22.0,NaN,1,bigfive
121,22.0,NaN,1,bigfive
122,22.0,NaN,1,bigfive
123,22.0,NaN,1,bigfive
124,23.0,NaN,1,bigfive
125,24.0,NaN,1,bigfive
126,25.0,NaN,1,bigfive
127,25.0,NaN,1,bigfive
128,25.0,NaN,1,bigfive
129,27.0,NaN,1,bigfive
130,27.0,NaN,1,bigfive
131,27.0,NaN,1,bigfive
132,29.0,NaN,1,bigfive
133,32.0,NaN,1,bigfive
134,33.0,NaN,1,bigfive
135,33.0,NaN,1,bigfive
136,35.0,NaN,1,bigfive
137,38.0,NaN,1,bigfive
138,40.0,NaN,1,bigfive
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
2,1.0,NaN,1,rule
3,1.0,NaN,1,rule
4,3.0,NaN,1,rule
5,4.0,NaN,1,rule
6,7.0,NaN,1,rule
7,7.0,NaN,1,rule
8,8.0,NaN,1,rule
9,9.0,NaN,1,rule
10,9.0,NaN,1,rule
11,11.0,NaN,1,rule
12,11.0,NaN,1,rule
13,12.0,NaN,1,rule
14,13.0,NaN,1,rule
15,14.0,NaN,1,rule
16,14.0,NaN,1,rule
17,14.0,NaN,1,rule
18,14.0,NaN,1,rule
19,15.0,NaN,1,rule
20,15.0,NaN,1,rule
21,15.0,NaN,1,rule
22,15.0,NaN,1,rule
23,15.0,NaN,1,rule
24,16.0,NaN,1,rule
25,16.0,NaN,1,rule
26,16.0,NaN,1,rule
27,16.0,NaN,1,rule
28,16.0,NaN,1,rule
29,16.0,NaN,1,rule
30,16.0,NaN,1,rule
31,16.0,NaN,1,rule
32,16.0,NaN,1,rule
33,16.0,NaN,1,rule
34,16.0,NaN,1,rule
35,16.0,NaN,1,rule
36,16.0,NaN,1,rule
37,16.0,NaN,1,rule
38,16.0,NaN,1,rule
39,16.0,NaN,1,rule
40,16.0,NaN,1,rule
41,16.0,NaN,1,rule
42,16.0,NaN,1,rule
43,16.0,NaN,1,rule
44,16.0,NaN,1,rule
45,16.0,NaN,1,rule
46,16.0,NaN,1,rule
47,16.0,NaN,1,rule
48,16.0,NaN,1,rule
49,16.0,NaN,1,rule
50,16.0,NaN,1,rule
51,16.0,NaN,1,rule
52,16.0,NaN,1,rule
53,16.0,NaN,1,rule
54,16.0,NaN,1,rule
55,17.0,NaN,1,rule
56,17.0,NaN,1,rule
57,17.0,NaN,1,rule
58,17.0,NaN,1,rule
59,17.0,NaN,1,rule
60,17.0,NaN,1,rule
61,18.0,NaN,1,rule
62,18.0,NaN,1,rule
63,18.0,NaN,1,rule
64,18.0,NaN,1,rule
65,18.0,NaN,1,rule
66,18.0,NaN,1,rule
67,19.0,NaN,1,rule
68,19.0,NaN,1,rule
69,19.0,NaN,1,rule
70,19.0,NaN,1,rule
71,19.0,NaN,1,rule
72,19.0,NaN,1,rule
73,20.0,NaN,1,rule
74,20.0,NaN,1,rule
75,20.0,NaN,1,rule
76,20.0,NaN,1,rule
77,22.0,NaN,1,rule
78,22.0,NaN,1,rule
79,22.0,NaN,1,rule
80,22.0,NaN,1,rule
81,22.0,NaN,1,rule
82,23.0,NaN,1,rule
83,23.0,NaN,1,rule
84,23.0,NaN,1,rule
85,23.0,NaN,1,rule
86,23.0,NaN,1,rule
87,23.0,NaN,1,rule
88,23.0,NaN,1,rule
89,23.0,NaN,1,rule
90,23.0,NaN,1,rule
91,23.0,NaN,1,rule
92,23.0,NaN,1,rule
93,23.0,NaN,1,rule
94,23.0,NaN,1,rule
95,23.0,NaN,1,rule
96,23.0,NaN,1,rule
97,23.0,NaN,1,rule
98,23.0,NaN,1,rule
99,23.0,NaN,1,rule
100,23.0,NaN,1,rule
101,23.0,NaN,1,rule
102,24.0,NaN,1,rule
103,26.0,NaN,1,rule
104,26.0,NaN,1,rule
105,27.0,NaN,1,rule
106,31.0,NaN,1,rule
107,33.0,NaN,1,rule
108,37.0,NaN,1,rule
109,39.0,NaN,1,rule
110,42.0,NaN,1,rule
111,45.0,NaN,1,rule
112,49.0,NaN,1,rule
113,51.0,NaN,1,rule
114,53.0,NaN,1,rule
115,55.0,NaN,1,rule
116,58.0,NaN,1,rule
117,59.0,NaN,1,rule
118,63.0,NaN,1,rule
119,66.0,NaN,1,rule
120,72.0,NaN,1,rule
121,74.0,NaN,1,rule
122,75.0,NaN,1,rule
123,79.0,NaN,1,rule
124,81.0,NaN,1,rule
125,81.0,NaN,1,rule
126,84.0,NaN,1,rule
127,89.0,NaN,1,rule
128,93.0,NaN,1,rule
129,97.0,NaN,1,rule
130,98.0,NaN,1,rule
131,100.0,NaN,1,rule
132,103.0,NaN,1,rule
133,106.0,NaN,1,rule
134,108.0,NaN,1,rule
135,109.0,NaN,1,rule
136,109.0,NaN,1,rule
137,110.0,NaN,1,rule
138,110.0,NaN,1,rule
139,113.0,NaN,1,rule
140,113.0,NaN,1,rule
141,113.0,NaN,1,rule
142,113.0,NaN,1,rule
143,113.0,NaN,1,rule
144,113.0,NaN,1,rule
145,113.0,NaN,1,rule
146,113.0,NaN,1,rule
147,113.0,NaN,1,rule
148,114.0,NaN,1,rule
149,115.0,NaN,1,rule
150,115.0,NaN,1,rule
0,0.0,NaN,1,schwartz
1,0.0,NaN,1,schwartz
2,1.0,NaN,1,schwartz
3,4.0,NaN,1,schwartz
4,6.0,NaN,1,schwartz
5,10.0,NaN,1,schwartz
6,13.0,NaN,1,schwartz
7,14.0,NaN,1,schwartz
8,16.0,NaN,1,schwartz
9,18.0,NaN,1,schwartz
10,19.0,NaN,1,schwartz
11,20.0,NaN,1,schwartz
12,20.0,NaN,1,schwartz
