time,mean_val,std_val,n_runs,architecture
0,50.0,NaN,1,bigfive
1,45.0,NaN,1,bigfive
2,39.0,NaN,1,bigfive
3,38.0,NaN,1,bigfive
4,35.0,NaN,1,bigfive
5,27.0,NaN,1,bigfive
6,22.0,NaN,1,bigfive
7,19.0,NaN,1,bigfive
8,18.0,NaN,1,bigfive
9,16.0,NaN,1,bigfive
10,16.0,NaN,1,bigfive
11,14.0,NaN,1,bigfive
12,14.0,NaN,1,bigfive
13,13.0,NaN,1,bigfive
14,10.0,NaN,1,bigfive
15,9.0,NaN,1,bigfive
16,9.0,NaN,1,bigfive
17,9.0,NaN,1,bigfive
18,9.0,NaN,1,bigfive
19,8.0,NaN,1,bigfive
20,7.0,NaN,1,bigfive
21,7.0,NaN,1,bigfive
22,8.0,NaN,1,bigfive
23,9.0,NaN,1,bigfive
24,7.0,NaN,1,bigfive
25,7.0,NaN,1,bigfive
26,7.0,NaN,1,bigfive
27,7.0,NaN,1,bigfive
28,7.0,NaN,1,bigfive
29,7.0,NaN,1,bigfive
30,7.0,NaN,1,bigfive
31,7.0,NaN,1,bigfive
32,7.0,NaN,1,bigfive
33,8.0,NaN,1,bigfive
34,8.0,NaN,1,bigfive
35,8.0,NaN,1,bigfive
36,8.0,NaN,1,bigfive
37,8.0,NaN,1,bigfive
38,8.0,NaN,1,bigfive
39,8.0,NaN,1,bigfive
40,8.0,NaN,1,bigfive
41,9.0,NaN,1,bigfive
42,9.0,NaN,1,bigfive
43,10.0,NaN,1,bigfive
44,10.0,NaN,1,bigfive
45,11.0,NaN,1,bigfive
46,12.0,NaN,1,bigfive
47,12.0,NaN,1,bigfive
48,12.0,NaN,1,bigfive
49,12.0,NaN,1,bigfive
50,13.0,NaN,1,bigfive
51,13.0,NaN,1,bigfive
52,13.0,NaN,1,bigfive
53,13.0,NaN,1,bigfive
54,13.0,NaN,1,bigfive
55,14.0,NaN,1,bigfive
56,14.0,NaN,1,bigfive
57,13.0,NaN,1,bigfive
58,13.0,NaN,1,bigfive
59,14.0,NaN,1,bigfive
60,12.0,NaN,1,bigfive
61,12.0,NaN,1,bigfive
62,12.0,NaN,1,bigfive
63,12.0,NaN,1,bigfive
64,14.0,NaN,1,bigfive
65,14.0,NaN,1,bigfive
66,16.0,NaN,1,bigfive
67,17.0,NaN,1,bigfive
68,19.0,NaN,1,bigfive
69,19.0,NaN,1,bigfive
70,19.0,NaN,1,bigfive
71,20.0,NaN,1,bigfive
72,20.0,NaN,1,bigfive
73,21.0,NaN,1,bigfive
74,23.0,NaN,1,bigfive
75,23.0,NaN,1,bigfive
76,27.0,NaN,1,bigfive
77,31.0,NaN,1,bigfive
78,33.0,NaN,1,bigfive
79,33.0,NaN,1,bigfive
80,34.0,NaN,1,bigfive
81,34.0,NaN,1,bigfive
82,34.0,NaN,1,bigfive
83,33.0,NaN,1,bigfive
84,33.0,NaN,1,bigfive
85,34.0,NaN,1,bigfive
86,36.0,NaN,1,bigfive
87,37.0,NaN,1,bigfive
88,38.0,NaN,1,bigfive
89,39.0,NaN,1,bigfive
90,43.0,NaN,1,bigfive
91,45.0,NaN,1,bigfive
92,47.0,NaN,1,bigfive
93,48.0,NaN,1,bigfive
94,50.0,NaN,1,bigfive
95,61.0,NaN,1,bigfive
96,68.0,NaN,1,bigfive
97,77.0,NaN,1,bigfive
98,79.0,NaN,1,bigfive
99,80.0,NaN,1,bigfive
100,83.0,NaN,1,bigfive
101,83.0,NaN,1,bigfive
102,85.0,NaN,1,bigfive
103,85.0,NaN,1,bigfive
104,88.0,NaN,1,bigfive
105,90.0,NaN,1,bigfive
106,94.0,NaN,1,bigfive
107,96.0,NaN,1,bigfive
108,97.0,NaN,1,bigfive
109,105.0,NaN,1,bigfive
110,113.0,NaN,1,bigfive
111,120.0,NaN,1,bigfive
112,132.0,NaN,1,bigfive
113,142.0,NaN,1,bigfive
114,155.0,NaN,1,bigfive
115,171.0,NaN,1,bigfive
116,182.0,NaN,1,bigfive
117,194.0,NaN,1,bigfive
118,203.0,NaN,1,bigfive
119,211.0,NaN,1,bigfive
120,217.0,NaN,1,bigfive
121,223.0,NaN,1,bigfive
122,227.0,NaN,1,bigfive
123,236.0,NaN,1,bigfive
124,240.0,NaN,1,bigfive
125,245.0,NaN,1,bigfive
126,249.0,NaN,1,bigfive
127,257.0,NaN,1,bigfive
128,271.0,NaN,1,bigfive
129,278.0,NaN,1,bigfive
130,299.0,NaN,1,bigfive
131,313.0,NaN,1,bigfive
132,324.0,NaN,1,bigfive
133,336.0,NaN,1,bigfive
134,348.0,NaN,1,bigfive
135,359.0,NaN,1,bigfive
136,376.0,NaN,1,bigfive
137,385.0,NaN,1,bigfive
138,399.0,NaN,1,bigfive
0,50.0,NaN,1,rule
1,44.0,NaN,1,rule
2,40.0,NaN,1,rule
3,38.0,NaN,1,rule
4,34.0,NaN,1,rule
5,31.0,NaN,1,rule
6,27.0,NaN,1,rule
7,26.0,NaN,1,rule
8,24.0,NaN,1,rule
9,21.0,NaN,1,rule
10,20.0,NaN,1,rule
11,18.0,NaN,1,rule
12,17.0,NaN,1,rule
13,16.0,NaN,1,rule
14,15.0,NaN,1,rule
15,14.0,NaN,1,rule
16,13.0,NaN,1,rule
17,13.0,NaN,1,rule
18,15.0,NaN,1,rule
19,15.0,NaN,1,rule
20,15.0,NaN,1,rule
21,13.0,NaN,1,rule
22,13.0,NaN,1,rule
23,13.0,NaN,1,rule
24,12.0,NaN,1,rule
25,12.0,NaN,1,rule
26,15.0,NaN,1,rule
27,16.0,NaN,1,rule
28,16.0,NaN,1,rule
29,16.0,NaN,1,rule
30,16.0,NaN,1,rule
31,16.0,NaN,1,rule
32,16.0,NaN,1,rule
33,16.0,NaN,1,rule
34,16.0,NaN,1,rule
35,16.0,NaN,1,rule
36,16.0,NaN,1,rule
37,16.0,NaN,1,rule
38,20.0,NaN,1,rule
39,23.0,NaN,1,rule
40,23.0,NaN,1,rule
41,23.0,NaN,1,rule
42,23.0,NaN,1,rule
43,25.0,NaN,1,rule
44,31.0,NaN,1,rule
45,37.0,NaN,1,rule
46,39.0,NaN,1,rule
47,39.0,NaN,1,rule
48,39.0,NaN,1,rule
49,38.0,NaN,1,rule
50,38.0,NaN,1,rule
51,41.0,NaN,1,rule
52,41.0,NaN,1,rule
53,41.0,NaN,1,rule
54,41.0,NaN,1,rule
55,42.0,NaN,1,rule
56,42.0,NaN,1,rule
57,42.0,NaN,1,rule
58,44.0,NaN,1,rule
59,45.0,NaN,1,rule
60,43.0,NaN,1,rule
61,44.0,NaN,1,rule
62,47.0,NaN,1,rule
63,52.0,NaN,1,rule
64,54.0,NaN,1,rule
65,56.0,NaN,1,rule
66,61.0,NaN,1,rule
67,62.0,NaN,1,rule
68,65.0,NaN,1,rule
69,72.0,NaN,1,rule
