time,mean_val,std_val,n_runs,architecture
0,0.23110204081632646,0.0,2,bigfive
1,0.2748114331083764,0.0,2,bigfive
2,0.32958570134255827,0.0,2,bigfive
3,0.3880117741503881,0.0,2,bigfive
4,0.471280809859155,0.0,2,bigfive
5,0.4717292089249492,0.0,2,bigfive
6,0.4996230208595125,0.0,2,bigfive
7,0.5723552894211577,0.0,2,bigfive
8,0.5948298601951991,0.0,2,bigfive
9,0.6017212189616252,0.0,2,bigfive
10,0.6313775510204083,0.0,2,bigfive
11,0.613244386592906,0.0,2,bigfive
12,0.6357304826692582,0.0,2,bigfive
13,0.6327487411008856,0.0,2,bigfive
14,0.5460850111856823,0.0,2,bigfive
15,0.5044444444444445,0.0,2,bigfive
16,0.5142543859649122,0.0,2,bigfive
17,0.5255434782608697,0.0,2,bigfive
18,0.5348712446351931,0.0,2,bigfive
19,0.505561440677966,0.0,2,bigfive
20,0.48658172946598,0.0,2,bigfive
21,0.48998664886515364,0.0,2,bigfive
22,0.42808641975308626,0.0,2,bigfive
23,0.430352798053528,0.0,2,bigfive
24,0.3190647482014388,0.0,2,bigfive
25,0.31893805309734513,0.0,2,bigfive
26,0.3188153310104529,0.0,2,bigfive
27,0.31869639794168103,0.0,2,bigfive
28,0.3173693086003373,0.0,2,bigfive
29,0.31608623548922066,0.0,2,bigfive
30,0.4078303425774876,0.0,2,bigfive
31,0.4621177544500228,0.0,2,bigfive
32,0.3637071651090342,0.0,2,bigfive
33,0.35306019221041973,0.0,2,bigfive
34,0.34294871794871784,0.0,2,bigfive
35,0.33333333333333326,0.0,2,bigfive
36,0.32417840375586837,0.0,2,bigfive
37,0.3154516276937185,0.0,2,bigfive
38,0.3801843317972351,0.0,2,bigfive
39,0.2785345717234262,0.0,2,bigfive
40,0.26817895400126024,0.0,2,bigfive
41,0.2630340557275541,0.0,2,bigfive
42,0.25806451612903225,0.0,2,bigfive
43,0.2532615200478756,0.0,2,bigfive
44,0.24861683343143026,0.0,2,bigfive
45,0.24412275622466706,0.0,2,bigfive
46,0.20278022947925867,0.0,2,bigfive
47,0.19989834446703458,0.0,2,bigfive
48,0.1970891884141095,0.0,2,bigfive
49,0.43552345888794486,0.0,2,bigfive
50,0.4883102449093002,0.0,2,bigfive
51,0.47707063254766435,0.0,2,bigfive
52,0.46771923150085604,0.0,2,bigfive
53,0.4601142259882789,0.0,2,bigfive
54,0.45010786500420497,0.0,2,bigfive
55,0.44050306352789437,0.0,2,bigfive
56,0.4325445659435323,0.0,2,bigfive
57,0.42364056411847884,0.0,2,bigfive
58,0.4164039993221489,0.0,2,bigfive
59,0.410827067669173,0.0,2,bigfive
60,0.3364001234949059,0.0,2,bigfive
61,0.3313205245501678,0.0,2,bigfive
62,0.3261483038126689,0.0,2,bigfive
63,0.3211350872007095,0.0,2,bigfive
64,0.31627365356623005,0.0,2,bigfive
65,0.3115572125035848,0.0,2,bigfive
66,0.30697937270415365,0.0,2,bigfive
67,0.30376359074435455,0.0,2,bigfive
68,0.3976825135110378,0.0,2,bigfive
69,0.3927379341452413,0.0,2,bigfive
70,0.38699511762094985,0.0,2,bigfive
71,0.38248143294014847,0.0,2,bigfive
72,0.37629839471199245,0.0,2,bigfive
73,0.3703281869568884,0.0,2,bigfive
74,0.36456000663514954,0.0,2,bigfive
75,0.35898376967620904,0.0,2,bigfive
76,0.3535900521460087,0.0,2,bigfive
77,0.34837003709842906,0.0,2,bigfive
78,0.3433154664802298,0.0,2,bigfive
79,0.3388825105243014,0.0,2,bigfive
80,0.33412465144321346,0.0,2,bigfive
81,0.32951087359904996,0.0,2,bigfive
82,0.3248810830589095,0.0,2,bigfive
83,0.32066825431190016,0.0,2,bigfive
84,0.31628585664460096,0.0,2,bigfive
85,0.31214421252371904,0.0,2,bigfive
86,0.38683170376534215,0.0,2,bigfive
87,0.38174912748922196,0.0,2,bigfive
88,0.3767983789260385,0.0,2,bigfive
89,0.4433458120195468,0.0,2,bigfive
90,0.4178981937602626,0.0,2,bigfive
91,0.412502430488042,0.0,2,bigfive
92,0.4072474892854858,0.0,2,bigfive
93,0.40212792826924293,0.0,2,bigfive
94,0.3971385823826443,0.0,2,bigfive
95,0.3922745460141581,0.0,2,bigfive
96,0.38753115690923456,0.0,2,bigfive
97,0.3829039812646369,0.0,2,bigfive
98,0.3783887999050839,0.0,2,bigfive
99,0.3739815954516148,0.0,2,bigfive
100,0.3696785403996523,0.0,2,bigfive
101,0.36547598603240017,0.0,2,bigfive
102,0.36195572164656586,0.0,2,bigfive
103,0.35851117459250537,0.0,2,bigfive
104,0.3545716342692584,0.0,2,bigfive
105,0.3507201139039482,0.0,2,bigfive
106,0.34750447081775304,0.0,2,bigfive
107,0.34381197405799435,0.0,2,bigfive
108,0.34019935316261063,0.0,2,bigfive
109,0.2056253681523661,0.0,2,bigfive
110,0.3068535825545171,0.0,2,bigfive
111,0.3047177107501935,0.0,2,bigfive
112,0.30261136712749614,0.0,2,bigfive
113,0.30053394355453866,0.0,2,bigfive
114,0.46341925701288855,0.0,2,bigfive
115,0.4592411720510894,0.0,2,bigfive
116,0.5465376023827253,0.0,2,bigfive
117,0.5405007363770251,0.0,2,bigfive
118,0.5345957756737072,0.0,2,bigfive
119,0.5288184438040346,0.0,2,bigfive
120,0.5231646471846045,0.0,2,bigfive
121,0.5176304654442878,0.0,2,bigfive
122,0.5788555478018143,0.0,2,bigfive
123,0.5716747070985526,0.0,2,bigfive
124,0.5647138964577656,0.0,2,bigfive
125,0.5588896381209261,0.0,2,bigfive
126,0.5521874306018209,0.0,2,bigfive
127,0.547462096242584,0.0,2,bigfive
128,0.5410423452768729,0.0,2,bigfive
129,0.534771410173857,0.0,2,bigfive
130,0.5288747346072187,0.0,2,bigfive
131,0.5237644584647738,0.0,2,bigfive
132,0.5187499999999998,0.0,2,bigfive
133,0.5138286893704849,0.0,2,bigfive
134,0.5089979550102248,0.0,2,bigfive
135,0.3757262357414448,0.0,2,bigfive
136,0.3730194658216388,0.0,2,bigfive
137,0.37175835706790594,0.0,2,bigfive
138,0.36912092815707287,0.0,2,bigfive
139,0.36790305896261266,0.0,2,bigfive
140,0.36533216014078307,0.0,2,bigfive
141,0.3628001746470675,0.0,2,bigfive
142,0.35963620614984837,0.0,2,bigfive
143,0.4583990065434398,0.0,2,bigfive
144,0.4542075105365344,0.0,2,bigfive
145,0.5731092140539016,0.0,2,bigfive
146,0.6326829268292682,0.0,2,bigfive
147,0.6226966909240697,0.0,2,bigfive
148,0.6130023000947098,0.0,2,bigfive
149,0.5259664251529834,0.0,2,bigfive
150,0.520177403065033,0.0,2,bigfive
0,0.23110204081632646,0.0,2,llm
1,0.27065444605242006,0.0,2,llm
2,0.3115196998123828,0.0,2,llm
3,0.37524154589371994,0.0,2,llm
4,0.4374412483549541,0.0,2,llm
5,0.454694835680751,0.0,2,llm
6,0.5251031020261789,0.0,2,llm
7,0.5356905237144758,0.0,2,llm
8,0.5803352193872104,0.0,2,llm
9,0.6299421407907426,0.0,2,llm
10,0.6634814049586777,0.0,2,llm
11,0.6452282157676348,0.0,2,llm
12,0.6644483880508725,0.0,2,llm
13,0.6602034329307056,0.0,2,llm
14,0.5686680469289165,0.0,2,llm
15,0.4960235640648012,0.0,2,llm
16,0.5005807200929153,0.0,2,llm
17,0.5441595441595442,0.0,2,llm
18,0.5501412429378529,0.0,2,llm
19,0.46722689075630264,0.0,2,llm
20,0.46721991701244825,0.0,2,llm
21,0.4672131147540983,0.0,2,llm
22,0.46720647773279356,0.0,2,llm
23,0.46720000000000006,0.0,2,llm
24,0.33399209486166015,0.0,2,llm
25,0.33089668615984413,0.0,2,llm
26,0.32788461538461533,0.0,2,llm
27,0.3249525616698292,0.0,2,llm
28,0.32209737827715346,0.0,2,llm
29,0.31931608133086886,0.0,2,llm
30,0.31660583941605847,0.0,2,llm
31,0.313963963963964,0.0,2,llm
32,0.31138790035587194,0.0,2,llm
33,0.3088752196836555,0.0,2,llm
34,0.30642361111111116,0.0,2,llm
35,0.30403087478559176,0.0,2,llm
36,0.3016949152542372,0.0,2,llm
37,0.29941373534338367,0.0,2,llm
38,0.29718543046357615,0.0,2,llm
39,0.2950081833060556,0.0,2,llm
40,0.2928802588996764,0.0,2,llm
41,0.29079999999999995,0.0,2,llm
42,0.2887658227848102,0.0,2,llm
43,0.28677621283255084,0.0,2,llm
44,0.28482972136222906,0.0,2,llm
45,0.2829249617151608,0.0,2,llm
46,0.281060606060606,0.0,2,llm
47,0.2792353823088456,0.0,2,llm
48,0.2774480712166172,0.0,2,llm
49,0.27569750367107204,0.0,2,llm
50,0.273982558139535,0.0,2,llm
51,0.27230215827338133,0.0,2,llm
52,0.27065527065527073,0.0,2,llm
53,0.26904090267983083,0.0,2,llm
54,0.26745810055865915,0.0,2,llm
55,0.2659059474412171,0.0,2,llm
56,0.2643835616438357,0.0,2,llm
57,0.2628900949796473,0.0,2,llm
58,0.26142473118279574,0.0,2,llm
59,0.25998668442077233,0.0,2,llm
60,0.2514905149051492,0.0,2,llm
61,0.2505376344086023,0.0,2,llm
62,0.24960000000000004,0.0,2,llm
63,0.24867724867724883,0.0,2,llm
64,0.24776902887139118,0.0,2,llm
65,0.24687500000000018,0.0,2,llm
66,0.24599483204134365,0.0,2,llm
67,0.06790123456790131,0.0,2,llm
68,0.0,0.0,2,llm
69,0.0,0.0,2,llm
70,0.0,0.0,2,llm
71,0.0,0.0,2,llm
72,0.0,0.0,2,llm
73,0.0,0.0,2,llm
74,0.0,0.0,2,llm
75,0.0,0.0,2,llm
76,0.0,0.0,2,llm
77,0.0,0.0,2,llm
78,0.0,0.0,2,llm
79,0.0,0.0,2,llm
80,0.0,0.0,2,llm
81,0.0,0.0,2,llm
82,0.0,0.0,2,llm
83,0.0,0.0,2,llm
84,0.0,0.0,2,llm
85,0.0,0.0,2,llm
86,0.0,0.0,2,llm
87,0.0,0.0,2,llm
88,0.0,0.0,2,llm
89,0.0,0.0,2,llm
90,0.0,0.0,2,llm
91,0.0,0.0,2,llm
92,0.0,0.0,2,llm
