time,mean_val,std_val,n_runs,architecture
0,0.0,0.0,2,bigfive
1,0.0,0.0,2,bigfive
2,0.0,0.0,2,bigfive
3,0.0,0.0,2,bigfive
4,0.0,0.0,2,bigfive
5,0.0,0.0,2,bigfive
6,0.0,0.0,2,bigfive
7,0.0,0.0,2,bigfive
8,0.0,0.0,2,bigfive
9,0.0,0.0,2,bigfive
10,0.0,0.0,2,bigfive
11,0.0,0.0,2,bigfive
12,0.0,0.0,2,bigfive
13,0.0,0.0,2,bigfive
14,0.0,0.0,2,bigfive
15,0.0,0.0,2,bigfive
16,0.0,0.0,2,bigfive
17,0.0,0.0,2,bigfive
18,0.0,0.0,2,bigfive
19,0.125,0.0,2,bigfive
20,0.13459268004722547,0.0,2,bigfive
21,0.12723214285714302,0.0,2,bigfive
22,0.14011799410029502,0.0,2,bigfive
23,0.13305322128851538,0.0,2,bigfive
24,0.15049504950495063,0.0,2,bigfive
25,0.1433962264150943,0.0,2,bigfive
26,0.13693693693693687,0.0,2,bigfive
27,0.13103448275862073,0.0,2,bigfive
28,0.12561983471074378,0.0,2,bigfive
29,0.12063492063492065,0.0,2,bigfive
30,0.26335877862595414,0.0,2,bigfive
31,0.3587069864442127,0.0,2,bigfive
32,0.3928571428571428,0.0,2,bigfive
33,0.3728813559322033,0.0,2,bigfive
34,0.35483870967741926,0.0,2,bigfive
35,0.33846153846153837,0.0,2,bigfive
36,0.32352941176470584,0.0,2,bigfive
37,0.3098591549295775,0.0,2,bigfive
38,0.3976833976833978,0.0,2,bigfive
39,0.4224137931034482,0.0,2,bigfive
40,0.37522123893805315,0.0,2,bigfive
41,0.3593220338983052,0.0,2,bigfive
42,0.34471544715447155,0.0,2,bigfive
43,0.33125000000000004,0.0,2,bigfive
44,0.3187969924812031,0.0,2,bigfive
45,0.3072463768115943,0.0,2,bigfive
46,0.20185185185185195,0.0,2,bigfive
47,0.1960431654676258,0.0,2,bigfive
48,0.19055944055944063,0.0,2,bigfive
49,0.45691609977324266,0.0,2,bigfive
50,0.5191409897292252,0.0,2,bigfive
51,0.49642857142857144,0.0,2,bigfive
52,0.4756201881950386,0.0,2,bigfive
53,0.45648604269293935,0.0,2,bigfive
54,0.4388318863456986,0.0,2,bigfive
55,0.42249240121580556,0.0,2,bigfive
56,0.40732600732600743,0.0,2,bigfive
57,0.39321074964639324,0.0,2,bigfive
58,0.38004101161995907,0.0,2,bigfive
59,0.3677248677248679,0.0,2,bigfive
60,0.31456310679611654,0.0,2,bigfive
61,0.30000000000000004,0.0,2,bigfive
62,0.2867256637168143,0.0,2,bigfive
63,0.2745762711864408,0.0,2,bigfive
64,0.2634146341463415,0.0,2,bigfive
65,0.25312500000000004,0.0,2,bigfive
66,0.24360902255639094,0.0,2,bigfive
67,0.23478260869565215,0.0,2,bigfive
68,0.3554778554778555,0.0,2,bigfive
69,0.3411633109619685,0.0,2,bigfive
70,0.32795698924731176,0.0,2,bigfive
71,0.31573498964803304,0.0,2,bigfive
72,0.3043912175648702,0.0,2,bigfive
73,0.29383429672447003,0.0,2,bigfive
74,0.2839851024208566,0.0,2,bigfive
75,0.27477477477477463,0.0,2,bigfive
76,0.2661431064572426,0.0,2,bigfive
77,0.2580372250423011,0.0,2,bigfive
78,0.25041050903119855,0.0,2,bigfive
79,0.24322169059011167,0.0,2,bigfive
80,0.23643410852713176,0.0,2,bigfive
81,0.23001508295625928,0.0,2,bigfive
82,0.22393538913362687,0.0,2,bigfive
83,0.21816881258941345,0.0,2,bigfive
84,0.21269177126917715,0.0,2,bigfive
85,0.2074829931972788,0.0,2,bigfive
86,0.306159420289855,0.0,2,bigfive
87,0.29649122807017547,0.0,2,bigfive
88,0.2874149659863945,0.0,2,bigfive
89,0.381895332390382,0.0,2,bigfive
90,0.3680089485458613,0.0,2,bigfive
91,0.35376344086021505,0.0,2,bigfive
92,0.3405797101449275,0.0,2,bigfive
93,0.3283433133732534,0.0,2,bigfive
94,0.316955684007707,0.0,2,bigfive
95,0.3063314711359404,0.0,2,bigfive
96,0.29639639639639626,0.0,2,bigfive
97,0.28708551483420597,0.0,2,bigfive
98,0.27834179357021993,0.0,2,bigfive
99,0.27011494252873547,0.0,2,bigfive
100,0.2623604465709728,0.0,2,bigfive
101,0.2550387596899224,0.0,2,bigfive
102,0.24811463046757165,0.0,2,bigfive
103,0.24155653450807635,0.0,2,bigfive
104,0.23533619456366228,0.0,2,bigfive
105,0.22942817294281714,0.0,2,bigfive
106,0.22380952380952368,0.0,2,bigfive
107,0.21845949535192566,0.0,2,bigfive
108,0.21335927367055763,0.0,2,bigfive
109,0.23601398601398604,0.0,2,bigfive
110,0.16091954022988508,0.0,2,bigfive
111,0.15555555555555567,0.0,2,bigfive
112,0.15053763440860224,0.0,2,bigfive
113,0.14583333333333348,0.0,2,bigfive
114,0.35606060606060597,0.0,2,bigfive
115,0.3422330097087378,0.0,2,bigfive
116,0.4635514018691589,0.0,2,bigfive
117,0.44285714285714284,0.0,2,bigfive
118,0.423931623931624,0.0,2,bigfive
119,0.4065573770491804,0.0,2,bigfive
120,0.3905511811023623,0.0,2,bigfive
121,0.37575757575757573,0.0,2,bigfive
122,0.4683698296836982,0.0,2,bigfive
123,0.4487179487179487,0.0,2,bigfive
124,0.4306487695749439,0.0,2,bigfive
125,0.41397849462365577,0.0,2,bigfive
126,0.39855072463768115,0.0,2,bigfive
127,0.38423153692614753,0.0,2,bigfive
128,0.3709055876685934,0.0,2,bigfive
129,0.35847299813780253,0.0,2,bigfive
130,0.34684684684684686,0.0,2,bigfive
131,0.33595113438045376,0.0,2,bigfive
132,0.32571912013536375,0.0,2,bigfive
133,0.3160919540229885,0.0,2,bigfive
134,0.30701754385964897,0.0,2,bigfive
135,0.2675675675675677,0.0,2,bigfive
136,0.2588235294117647,0.0,2,bigfive
137,0.25063291139240507,0.0,2,bigfive
138,0.24294478527607377,0.0,2,bigfive
139,0.23571428571428577,0.0,2,bigfive
140,0.22890173410404624,0.0,2,bigfive
141,0.22247191011235956,0.0,2,bigfive
142,0.2163934426229508,0.0,2,bigfive
143,0.3421985815602837,0.0,2,bigfive
144,0.331615120274914,0.0,2,bigfive
145,0.49124999999999996,0.0,2,bigfive
146,0.5778846153846153,0.0,2,bigfive
147,0.5513761467889908,0.0,2,bigfive
148,0.5271929824561403,0.0,2,bigfive
149,0.5205992509363295,0.0,2,bigfive
150,0.4955436720142603,0.0,2,bigfive
0,0.0,0.0,2,llm
1,0.0,0.0,2,llm
2,0.0,0.0,2,llm
3,0.0,0.0,2,llm
4,0.0,0.0,2,llm
5,0.0,0.0,2,llm
6,0.0,0.0,2,llm
7,0.0,0.0,2,llm
8,0.0,0.0,2,llm
9,0.0,0.0,2,llm
10,0.0,0.0,2,llm
11,0.0,0.0,2,llm
12,0.0,0.0,2,llm
13,0.0,0.0,2,llm
14,0.0,0.0,2,llm
15,0.0,0.0,2,llm
16,0.0,0.0,2,llm
17,0.0,0.0,2,llm
18,0.0,0.0,2,llm
19,0.0,0.0,2,llm
20,0.0,0.0,2,llm
21,0.0,0.0,2,llm
22,0.0,0.0,2,llm
23,0.0,0.0,2,llm
24,0.0,0.0,2,llm
25,0.0,0.0,2,llm
26,0.0,0.0,2,llm
27,0.0,0.0,2,llm
28,0.0,0.0,2,llm
29,0.0,0.0,2,llm
30,0.0,0.0,2,llm
31,0.0,0.0,2,llm
32,0.0,0.0,2,llm
33,0.0,0.0,2,llm
34,0.0,0.0,2,llm
35,0.0,0.0,2,llm
36,0.0,0.0,2,llm
37,0.0,0.0,2,llm
38,0.0,0.0,2,llm
39,0.0,0.0,2,llm
40,0.0,0.0,2,llm
41,0.0,0.0,2,llm
42,0.0,0.0,2,llm
43,0.0,0.0,2,llm
44,0.0,0.0,2,llm
45,0.0,0.0,2,llm
46,0.0,0.0,2,llm
47,0.0,0.0,2,llm
48,0.0,0.0,2,llm
49,0.0,0.0,2,llm
50,0.0,0.0,2,llm
51,0.0,0.0,2,llm
52,0.0,0.0,2,llm
53,0.0,0.0,2,llm
54,0.0,0.0,2,llm
55,0.0,0.0,2,llm
56,0.0,0.0,2,llm
57,0.0,0.0,2,llm
58,0.0,0.0,2,llm
59,0.0,0.0,2,llm
60,0.0,0.0,2,llm
61,0.0,0.0,2,llm
62,0.0,0.0,2,llm
63,0.0,0.0,2,llm
64,0.0,0.0,2,llm
65,0.0,0.0,2,llm
66,0.0,0.0,2,llm
67,0.0,0.0,2,llm
68,0.0,0.0,2,llm
69,0.0,0.0,2,llm
70,0.0,0.0,2,llm
71,0.0,0.0,2,llm
72,0.0,0.0,2,llm
73,0.0,0.0,2,llm
74,0.0,0.0,2,llm
75,0.0,0.0,2,llm
76,0.0,0.0,2,llm
77,0.0,0.0,2,llm
78,0.0,0.0,2,llm
79,0.0,0.0,2,llm
80,0.0,0.0,2,llm
81,0.0,0.0,2,llm
82,0.0,0.0,2,llm
83,0.0,0.0,2,llm
84,0.0,0.0,2,llm
85,0.0,0.0,2,llm
86,0.0,0.0,2,llm
87,0.0,0.0,2,llm
88,0.0,0.0,2,llm
89,0.0,0.0,2,llm
90,0.0,0.0,2,llm
91,0.0,0.0,2,llm
92,0.0,0.0,2,llm
93,0.0,0.0,2,llm
94,0.0,0.0,2,llm
95,0.0,0.0,2,llm
96,0.0,0.0,2,llm
97,0.0,0.0,2,llm
98,0.0,0.0,2,llm
99,0.0,0.0,2,llm
100,0.0,0.0,2,llm
101,0.0,0.0,2,llm
102,0.0,0.0,2,llm
103,0.0,0.0,2,llm
104,0.0,0.0,2,llm
105,0.0,0.0,2,llm
106,0.0,0.0,2,llm
107,0.0,0.0,2,llm
108,0.0,0.0,2,llm
109,0.0,0.0,2,llm
110,0.0,0.0,2,llm
111,0.0,0.0,2,llm
112,0.0,0.0,2,llm
113,0.0,0.0,2,llm
114,0.0,0.0,2,llm
115,0.0,0.0,2,llm
116,0.0,0.0,2,llm
117,0.0,0.0,2,llm
118,0.0,0.0,2,llm
119,0.0,0.0,2,llm
120,0.0,0.0,2,llm
121,0.0,0.0,2,llm
122,0.0,0.0,2,llm
123,0.0,0.0,2,llm
124,0.0,0.0,2,llm
125,0.0,0.0,2,llm
126,0.0,0.0,2,llm
127,0.0,0.0,2,llm
128,0.0,0.0,2,llm
129,0.0,0.0,2,llm
130,0.0,0.0,2,llm
131,0.0,0.0,2,llm
132,0.0,0.0,2,llm
133,0.0,0.0,2,llm
134,0.0,0.0,2,llm
135,0.0,0.0,2,llm
136,0.0,0.0,2,llm
137,0.0,0.0,2,llm
138,0.0,0.0,2,llm
139,0.0,0.0,2,llm
140,0.0,0.0,2,llm
141,0.0,0.0,2,llm
142,0.0,0.0,2,llm
143,0.0,0.0,2,llm
144,0.0,0.0,2,llm
145,0.0,0.0,2,llm
146,0.0,0.0,2,llm
147,0.0,0.0,2,llm
148,0.0,0.0,2,llm
149,0.0,0.0,2,llm
150,0.0,0.0,2,llm
0,0.0,0.0,2,rule
1,0.0,0.0,2,rule
2,0.0,0.0,2,rule
3,0.0,0.0,2,rule
4,0.0,0.0,2,rule
5,0.0,0.0,2,rule
6,0.0,0.0,2,rule
7,0.0,0.0,2,rule
8,0.0,0.0,2,rule
9,0.0,0.0,2,rule
