time,mean_val,std_val,n_runs,architecture
0,0.0,0.0,2,bigfive
1,1.0,0.0,2,bigfive
2,2.0,0.0,2,bigfive
3,3.0,0.0,2,bigfive
4,4.0,0.0,2,bigfive
5,5.0,0.0,2,bigfive
6,6.0,0.0,2,bigfive
7,7.0,0.0,2,bigfive
8,8.0,0.0,2,bigfive
9,9.0,0.0,2,bigfive
10,10.0,0.0,2,bigfive
11,11.0,0.0,2,bigfive
12,12.0,0.0,2,bigfive
13,13.0,0.0,2,bigfive
14,14.0,0.0,2,bigfive
15,15.0,0.0,2,bigfive
16,16.0,0.0,2,bigfive
17,17.0,0.0,2,bigfive
18,18.0,0.0,2,bigfive
19,16.625,0.0,2,bigfive
20,17.285714285714285,0.0,2,bigfive
21,18.285714285714285,0.0,2,bigfive
22,18.833333333333332,0.0,2,bigfive
23,19.833333333333332,0.0,2,bigfive
24,20.2,0.0,2,bigfive
25,21.2,0.0,2,bigfive
26,22.2,0.0,2,bigfive
27,23.2,0.0,2,bigfive
28,24.2,0.0,2,bigfive
29,25.2,0.0,2,bigfive
30,21.833333333333332,0.0,2,bigfive
31,19.571428571428573,0.0,2,bigfive
32,18.666666666666668,0.0,2,bigfive
33,19.666666666666668,0.0,2,bigfive
34,20.666666666666668,0.0,2,bigfive
35,21.666666666666668,0.0,2,bigfive
36,22.666666666666668,0.0,2,bigfive
37,23.666666666666668,0.0,2,bigfive
38,21.142857142857142,0.0,2,bigfive
39,19.333333333333332,0.0,2,bigfive
40,22.6,0.0,2,bigfive
41,23.6,0.0,2,bigfive
42,24.6,0.0,2,bigfive
43,25.6,0.0,2,bigfive
44,26.6,0.0,2,bigfive
45,27.6,0.0,2,bigfive
46,33.75,0.0,2,bigfive
47,34.75,0.0,2,bigfive
48,35.75,0.0,2,bigfive
49,24.5,0.0,2,bigfive
50,21.857142857142858,0.0,2,bigfive
51,22.857142857142858,0.0,2,bigfive
52,23.857142857142858,0.0,2,bigfive
53,24.857142857142858,0.0,2,bigfive
54,25.857142857142858,0.0,2,bigfive
55,26.857142857142858,0.0,2,bigfive
56,27.857142857142858,0.0,2,bigfive
57,28.857142857142858,0.0,2,bigfive
58,29.857142857142858,0.0,2,bigfive
59,30.857142857142858,0.0,2,bigfive
60,20.6,0.0,2,bigfive
61,21.6,0.0,2,bigfive
62,22.6,0.0,2,bigfive
63,23.6,0.0,2,bigfive
64,24.6,0.0,2,bigfive
65,25.6,0.0,2,bigfive
66,26.6,0.0,2,bigfive
67,27.6,0.0,2,bigfive
68,23.833333333333332,0.0,2,bigfive
69,24.833333333333332,0.0,2,bigfive
70,25.833333333333332,0.0,2,bigfive
71,26.833333333333332,0.0,2,bigfive
72,27.833333333333332,0.0,2,bigfive
73,28.833333333333332,0.0,2,bigfive
74,29.833333333333332,0.0,2,bigfive
75,30.833333333333332,0.0,2,bigfive
76,31.833333333333332,0.0,2,bigfive
77,32.833333333333336,0.0,2,bigfive
78,33.833333333333336,0.0,2,bigfive
79,34.833333333333336,0.0,2,bigfive
80,35.833333333333336,0.0,2,bigfive
81,36.833333333333336,0.0,2,bigfive
82,37.833333333333336,0.0,2,bigfive
83,38.833333333333336,0.0,2,bigfive
84,39.833333333333336,0.0,2,bigfive
85,40.833333333333336,0.0,2,bigfive
86,30.666666666666668,0.0,2,bigfive
87,31.666666666666668,0.0,2,bigfive
88,32.666666666666664,0.0,2,bigfive
89,28.857142857142858,0.0,2,bigfive
90,24.833333333333332,0.0,2,bigfive
91,25.833333333333332,0.0,2,bigfive
92,26.833333333333332,0.0,2,bigfive
93,27.833333333333332,0.0,2,bigfive
94,28.833333333333332,0.0,2,bigfive
95,29.833333333333332,0.0,2,bigfive
96,30.833333333333332,0.0,2,bigfive
97,31.833333333333332,0.0,2,bigfive
98,32.833333333333336,0.0,2,bigfive
99,33.833333333333336,0.0,2,bigfive
100,34.833333333333336,0.0,2,bigfive
101,35.833333333333336,0.0,2,bigfive
102,36.833333333333336,0.0,2,bigfive
103,37.833333333333336,0.0,2,bigfive
104,38.833333333333336,0.0,2,bigfive
105,39.833333333333336,0.0,2,bigfive
106,40.833333333333336,0.0,2,bigfive
107,41.833333333333336,0.0,2,bigfive
108,42.833333333333336,0.0,2,bigfive
109,35.75,0.0,2,bigfive
110,29.0,0.0,2,bigfive
111,30.0,0.0,2,bigfive
112,31.0,0.0,2,bigfive
113,32.0,0.0,2,bigfive
114,24.75,0.0,2,bigfive
115,25.75,0.0,2,bigfive
116,21.4,0.0,2,bigfive
117,22.4,0.0,2,bigfive
118,23.4,0.0,2,bigfive
119,24.4,0.0,2,bigfive
120,25.4,0.0,2,bigfive
121,26.4,0.0,2,bigfive
122,22.833333333333332,0.0,2,bigfive
123,23.833333333333332,0.0,2,bigfive
124,24.833333333333332,0.0,2,bigfive
125,25.833333333333332,0.0,2,bigfive
126,26.833333333333332,0.0,2,bigfive
127,27.833333333333332,0.0,2,bigfive
128,28.833333333333332,0.0,2,bigfive
129,29.833333333333332,0.0,2,bigfive
130,30.833333333333332,0.0,2,bigfive
131,31.833333333333332,0.0,2,bigfive
132,32.833333333333336,0.0,2,bigfive
133,33.833333333333336,0.0,2,bigfive
134,34.833333333333336,0.0,2,bigfive
135,29.6,0.0,2,bigfive
136,30.6,0.0,2,bigfive
137,31.6,0.0,2,bigfive
138,32.6,0.0,2,bigfive
139,33.6,0.0,2,bigfive
140,34.6,0.0,2,bigfive
141,35.6,0.0,2,bigfive
142,36.6,0.0,2,bigfive
143,31.333333333333332,0.0,2,bigfive
144,32.333333333333336,0.0,2,bigfive
145,25.0,0.0,2,bigfive
146,20.8,0.0,2,bigfive
147,21.8,0.0,2,bigfive
148,22.8,0.0,2,bigfive
149,19.77777777777778,0.0,2,bigfive
150,20.77777777777778,0.0,2,bigfive
0,0.0,0.0,2,llm
1,1.0,0.0,2,llm
2,2.0,0.0,2,llm
3,3.0,0.0,2,llm
4,4.0,0.0,2,llm
5,5.0,0.0,2,llm
6,6.0,0.0,2,llm
7,7.0,0.0,2,llm
8,8.0,0.0,2,llm
9,9.0,0.0,2,llm
10,10.0,0.0,2,llm
11,11.0,0.0,2,llm
12,12.0,0.0,2,llm
13,13.0,0.0,2,llm
14,14.0,0.0,2,llm
15,15.0,0.0,2,llm
16,16.0,0.0,2,llm
17,17.0,0.0,2,llm
18,18.0,0.0,2,llm
19,19.0,0.0,2,llm
20,20.0,0.0,2,llm
21,21.0,0.0,2,llm
22,22.0,0.0,2,llm
23,23.0,0.0,2,llm
24,24.0,0.0,2,llm
25,25.0,0.0,2,llm
26,26.0,0.0,2,llm
27,27.0,0.0,2,llm
28,28.0,0.0,2,llm
29,29.0,0.0,2,llm
30,30.0,0.0,2,llm
31,31.0,0.0,2,llm
32,32.0,0.0,2,llm
33,33.0,0.0,2,llm
34,34.0,0.0,2,llm
35,35.0,0.0,2,llm
36,36.0,0.0,2,llm
37,37.0,0.0,2,llm
38,38.0,0.0,2,llm
39,39.0,0.0,2,llm
40,40.0,0.0,2,llm
41,41.0,0.0,2,llm
