time,mean_val,std_val,n_runs,architecture
0,0.0,0.0,2,bigfive
1,6.0,0.0,2,bigfive
2,11.0,0.0,2,bigfive
3,12.0,0.0,2,bigfive
4,15.0,0.0,2,bigfive
5,15.0,0.0,2,bigfive
6,18.0,0.0,2,bigfive
7,20.0,0.0,2,bigfive
8,21.0,0.0,2,bigfive
9,21.0,0.0,2,bigfive
10,21.0,0.0,2,bigfive
11,21.0,0.0,2,bigfive
12,21.0,0.0,2,bigfive
13,21.0,0.0,2,bigfive
14,21.0,0.0,2,bigfive
15,22.0,0.0,2,bigfive
16,22.0,0.0,2,bigfive
17,22.0,0.0,2,bigfive
18,22.0,0.0,2,bigfive
19,22.0,0.0,2,bigfive
20,23.0,0.0,2,bigfive
21,23.0,0.0,2,bigfive
22,24.0,0.0,2,bigfive
23,24.0,0.0,2,bigfive
24,24.0,0.0,2,bigfive
25,24.0,0.0,2,bigfive
26,24.0,0.0,2,bigfive
27,24.0,0.0,2,bigfive
28,24.0,0.0,2,bigfive
29,24.0,0.0,2,bigfive
30,24.0,0.0,2,bigfive
31,24.0,0.0,2,bigfive
32,24.0,0.0,2,bigfive
33,24.0,0.0,2,bigfive
34,24.0,0.0,2,bigfive
35,24.0,0.0,2,bigfive
36,24.0,0.0,2,bigfive
37,24.0,0.0,2,bigfive
38,24.0,0.0,2,bigfive
39,25.0,0.0,2,bigfive
40,26.0,0.0,2,bigfive
41,26.0,0.0,2,bigfive
42,26.0,0.0,2,bigfive
43,26.0,0.0,2,bigfive
44,26.0,0.0,2,bigfive
45,26.0,0.0,2,bigfive
46,27.0,0.0,2,bigfive
47,27.0,0.0,2,bigfive
48,27.0,0.0,2,bigfive
49,27.0,0.0,2,bigfive
50,27.0,0.0,2,bigfive
51,27.0,0.0,2,bigfive
52,27.0,0.0,2,bigfive
53,27.0,0.0,2,bigfive
54,27.0,0.0,2,bigfive
55,27.0,0.0,2,bigfive
56,27.0,0.0,2,bigfive
57,27.0,0.0,2,bigfive
58,27.0,0.0,2,bigfive
59,27.0,0.0,2,bigfive
60,27.0,0.0,2,bigfive
61,27.0,0.0,2,bigfive
62,27.0,0.0,2,bigfive
63,27.0,0.0,2,bigfive
64,27.0,0.0,2,bigfive
65,27.0,0.0,2,bigfive
66,27.0,0.0,2,bigfive
67,27.0,0.0,2,bigfive
68,27.0,0.0,2,bigfive
69,27.0,0.0,2,bigfive
70,27.0,0.0,2,bigfive
71,27.0,0.0,2,bigfive
72,27.0,0.0,2,bigfive
73,27.0,0.0,2,bigfive
74,27.0,0.0,2,bigfive
75,27.0,0.0,2,bigfive
76,27.0,0.0,2,bigfive
77,27.0,0.0,2,bigfive
78,27.0,0.0,2,bigfive
79,27.0,0.0,2,bigfive
80,27.0,0.0,2,bigfive
81,27.0,0.0,2,bigfive
82,27.0,0.0,2,bigfive
83,27.0,0.0,2,bigfive
84,27.0,0.0,2,bigfive
85,27.0,0.0,2,bigfive
86,27.0,0.0,2,bigfive
87,27.0,0.0,2,bigfive
88,27.0,0.0,2,bigfive
89,27.0,0.0,2,bigfive
90,27.0,0.0,2,bigfive
91,27.0,0.0,2,bigfive
92,27.0,0.0,2,bigfive
93,27.0,0.0,2,bigfive
94,27.0,0.0,2,bigfive
95,27.0,0.0,2,bigfive
96,27.0,0.0,2,bigfive
97,27.0,0.0,2,bigfive
98,27.0,0.0,2,bigfive
99,27.0,0.0,2,bigfive
100,27.0,0.0,2,bigfive
101,27.0,0.0,2,bigfive
102,27.0,0.0,2,bigfive
103,27.0,0.0,2,bigfive
104,27.0,0.0,2,bigfive
105,27.0,0.0,2,bigfive
106,27.0,0.0,2,bigfive
107,27.0,0.0,2,bigfive
108,27.0,0.0,2,bigfive
109,27.0,0.0,2,bigfive
110,27.0,0.0,2,bigfive
111,27.0,0.0,2,bigfive
112,27.0,0.0,2,bigfive
113,27.0,0.0,2,bigfive
114,27.0,0.0,2,bigfive
115,27.0,0.0,2,bigfive
116,27.0,0.0,2,bigfive
117,27.0,0.0,2,bigfive
118,27.0,0.0,2,bigfive
119,27.0,0.0,2,bigfive
120,27.0,0.0,2,bigfive
121,27.0,0.0,2,bigfive
122,27.0,0.0,2,bigfive
123,27.0,0.0,2,bigfive
124,27.0,0.0,2,bigfive
125,27.0,0.0,2,bigfive
126,27.0,0.0,2,bigfive
127,27.0,0.0,2,bigfive
128,27.0,0.0,2,bigfive
129,27.0,0.0,2,bigfive
130,27.0,0.0,2,bigfive
131,27.0,0.0,2,bigfive
132,27.0,0.0,2,bigfive
133,27.0,0.0,2,bigfive
134,27.0,0.0,2,bigfive
135,27.0,0.0,2,bigfive
136,27.0,0.0,2,bigfive
137,27.0,0.0,2,bigfive
138,27.0,0.0,2,bigfive
139,27.0,0.0,2,bigfive
140,27.0,0.0,2,bigfive
141,27.0,0.0,2,bigfive
142,27.0,0.0,2,bigfive
143,27.0,0.0,2,bigfive
144,27.0,0.0,2,bigfive
145,27.0,0.0,2,bigfive
146,27.0,0.0,2,bigfive
147,27.0,0.0,2,bigfive
148,27.0,0.0,2,bigfive
149,27.0,0.0,2,bigfive
150,27.0,0.0,2,bigfive
0,0.0,0.0,2,llm
1,5.0,0.0,2,llm
2,8.0,0.0,2,llm
3,9.0,0.0,2,llm
4,11.0,0.0,2,llm
5,13.0,0.0,2,llm
6,18.0,0.0,2,llm
7,18.0,0.0,2,llm
8,19.0,0.0,2,llm
9,20.0,0.0,2,llm
10,21.0,0.0,2,llm
11,21.0,0.0,2,llm
12,21.0,0.0,2,llm
13,21.0,0.0,2,llm
14,22.0,0.0,2,llm
15,23.0,0.0,2,llm
16,23.0,0.0,2,llm
17,24.0,0.0,2,llm
18,24.0,0.0,2,llm
19,24.0,0.0,2,llm
20,24.0,0.0,2,llm
