time,mean_val,std_val,n_runs,architecture
0,0.0,0.0,2,bigfive
1,0.0,0.0,2,bigfive
2,0.0,0.0,2,bigfive
3,0.0,0.0,2,bigfive
4,0.0,0.0,2,bigfive
5,0.0,0.0,2,bigfive
6,0.0,0.0,2,bigfive
7,0.0,0.0,2,bigfive
8,0.0,0.0,2,bigfive
9,0.0,0.0,2,bigfive
10,0.0,0.0,2,bigfive
11,0.0,0.0,2,bigfive
12,0.0,0.0,2,bigfive
13,0.0,0.0,2,bigfive
14,0.0,0.0,2,bigfive
15,0.0,0.0,2,bigfive
16,0.0,0.0,2,bigfive
17,0.0,0.0,2,bigfive
18,0.0,0.0,2,bigfive
19,0.0,0.0,2,bigfive
20,0.0,0.0,2,bigfive
21,0.0,0.0,2,bigfive
22,0.0,0.0,2,bigfive
23,0.0,0.0,2,bigfive
24,0.0,0.0,2,bigfive
25,0.0,0.0,2,bigfive
26,0.0,0.0,2,bigfive
27,0.0,0.0,2,bigfive
28,0.0,0.0,2,bigfive
29,0.0,0.0,2,bigfive
30,0.0,0.0,2,bigfive
31,0.0,0.0,2,bigfive
32,0.0,0.0,2,bigfive
33,0.0,0.0,2,bigfive
34,0.0,0.0,2,bigfive
35,0.0,0.0,2,bigfive
36,0.0,0.0,2,bigfive
37,0.0,0.0,2,bigfive
38,0.0,0.0,2,bigfive
39,0.0,0.0,2,bigfive
40,0.0,0.0,2,bigfive
41,0.0,0.0,2,bigfive
42,0.0,0.0,2,bigfive
43,0.0,0.0,2,bigfive
44,0.0,0.0,2,bigfive
45,0.0,0.0,2,bigfive
46,0.0,0.0,2,bigfive
47,0.0,0.0,2,bigfive
48,0.0,0.0,2,bigfive
49,0.0,0.0,2,bigfive
50,0.0,0.0,2,bigfive
51,0.0,0.0,2,bigfive
52,0.0,0.0,2,bigfive
53,0.0,0.0,2,bigfive
54,0.0,0.0,2,bigfive
55,0.0,0.0,2,bigfive
56,0.0,0.0,2,bigfive
57,0.0,0.0,2,bigfive
58,0.0,0.0,2,bigfive
59,0.0,0.0,2,bigfive
60,2.0,0.0,2,bigfive
61,2.0,0.0,2,bigfive
62,2.0,0.0,2,bigfive
63,2.0,0.0,2,bigfive
64,2.0,0.0,2,bigfive
65,2.0,0.0,2,bigfive
66,2.0,0.0,2,bigfive
67,2.0,0.0,2,bigfive
68,2.0,0.0,2,bigfive
69,2.0,0.0,2,bigfive
70,2.0,0.0,2,bigfive
71,2.0,0.0,2,bigfive
72,2.0,0.0,2,bigfive
73,2.0,0.0,2,bigfive
74,2.0,0.0,2,bigfive
75,2.0,0.0,2,bigfive
76,2.0,0.0,2,bigfive
77,2.0,0.0,2,bigfive
78,2.0,0.0,2,bigfive
79,2.0,0.0,2,bigfive
80,2.0,0.0,2,bigfive
81,2.0,0.0,2,bigfive
82,2.0,0.0,2,bigfive
83,2.0,0.0,2,bigfive
84,2.0,0.0,2,bigfive
85,2.0,0.0,2,bigfive
86,3.0,0.0,2,bigfive
87,3.0,0.0,2,bigfive
88,3.0,0.0,2,bigfive
89,3.0,0.0,2,bigfive
90,4.0,0.0,2,bigfive
91,4.0,0.0,2,bigfive
92,4.0,0.0,2,bigfive
93,4.0,0.0,2,bigfive
94,4.0,0.0,2,bigfive
95,4.0,0.0,2,bigfive
96,4.0,0.0,2,bigfive
97,4.0,0.0,2,bigfive
98,4.0,0.0,2,bigfive
99,4.0,0.0,2,bigfive
100,4.0,0.0,2,bigfive
101,4.0,0.0,2,bigfive
102,4.0,0.0,2,bigfive
103,4.0,0.0,2,bigfive
104,4.0,0.0,2,bigfive
105,4.0,0.0,2,bigfive
106,4.0,0.0,2,bigfive
107,4.0,0.0,2,bigfive
108,4.0,0.0,2,bigfive
109,6.0,0.0,2,bigfive
110,7.0,0.0,2,bigfive
111,7.0,0.0,2,bigfive
112,7.0,0.0,2,bigfive
113,7.0,0.0,2,bigfive
114,7.0,0.0,2,bigfive
115,7.0,0.0,2,bigfive
116,7.0,0.0,2,bigfive
117,7.0,0.0,2,bigfive
118,7.0,0.0,2,bigfive
119,7.0,0.0,2,bigfive
120,7.0,0.0,2,bigfive
121,7.0,0.0,2,bigfive
122,7.0,0.0,2,bigfive
123,7.0,0.0,2,bigfive
124,7.0,0.0,2,bigfive
125,7.0,0.0,2,bigfive
126,7.0,0.0,2,bigfive
127,7.0,0.0,2,bigfive
128,7.0,0.0,2,bigfive
129,7.0,0.0,2,bigfive
130,7.0,0.0,2,bigfive
131,7.0,0.0,2,bigfive
132,7.0,0.0,2,bigfive
133,7.0,0.0,2,bigfive
134,7.0,0.0,2,bigfive
135,8.0,0.0,2,bigfive
136,8.0,0.0,2,bigfive
137,8.0,0.0,2,bigfive
138,8.0,0.0,2,bigfive
139,8.0,0.0,2,bigfive
140,8.0,0.0,2,bigfive
141,8.0,0.0,2,bigfive
142,8.0,0.0,2,bigfive
143,8.0,0.0,2,bigfive
144,8.0,0.0,2,bigfive
145,8.0,0.0,2,bigfive
146,8.0,0.0,2,bigfive
147,8.0,0.0,2,bigfive
148,8.0,0.0,2,bigfive
149,9.0,0.0,2,bigfive
150,9.0,0.0,2,bigfive
0,0.0,0.0,2,llm
1,0.0,0.0,2,llm
2,0.0,0.0,2,llm
3,0.0,0.0,2,llm
4,0.0,0.0,2,llm
5,0.0,0.0,2,llm
6,0.0,0.0,2,llm
7,0.0,0.0,2,llm
8,0.0,0.0,2,llm
9,0.0,0.0,2,llm
10,0.0,0.0,2,llm
11,0.0,0.0,2,llm
12,0.0,0.0,2,llm
13,0.0,0.0,2,llm
14,0.0,0.0,2,llm
15,0.0,0.0,2,llm
16,0.0,0.0,2,llm
17,0.0,0.0,2,llm
18,0.0,0.0,2,llm
19,0.0,0.0,2,llm
20,0.0,0.0,2,llm
21,0.0,0.0,2,llm
22,0.0,0.0,2,llm
23,0.0,0.0,2,llm
24,0.0,0.0,2,llm
25,0.0,0.0,2,llm
26,0.0,0.0,2,llm
27,0.0,0.0,2,llm
28,0.0,0.0,2,llm
29,0.0,0.0,2,llm
30,0.0,0.0,2,llm
31,0.0,0.0,2,llm
32,0.0,0.0,2,llm
33,0.0,0.0,2,llm
34,0.0,0.0,2,llm
35,0.0,0.0,2,llm
36,0.0,0.0,2,llm
37,0.0,0.0,2,llm
38,0.0,0.0,2,llm
39,0.0,0.0,2,llm
40,0.0,0.0,2,llm
41,0.0,0.0,2,llm
42,0.0,0.0,2,llm
43,0.0,0.0,2,llm
44,0.0,0.0,2,llm
45,0.0,0.0,2,llm
46,0.0,0.0,2,llm
47,0.0,0.0,2,llm
48,0.0,0.0,2,llm
49,0.0,0.0,2,llm
50,0.0,0.0,2,llm
51,0.0,0.0,2,llm
52,0.0,0.0,2,llm
53,0.0,0.0,2,llm
54,0.0,0.0,2,llm
55,0.0,0.0,2,llm
56,0.0,0.0,2,llm
57,0.0,0.0,2,llm
58,0.0,0.0,2,llm
59,0.0,0.0,2,llm
60,1.0,0.0,2,llm
61,1.0,0.0,2,llm
62,1.0,0.0,2,llm
63,1.0,0.0,2,llm
64,1.0,0.0,2,llm
65,1.0,0.0,2,llm
66,1.0,0.0,2,llm
67,2.0,0.0,2,llm
68,3.0,0.0,2,llm
69,3.0,0.0,2,llm
70,3.0,0.0,2,llm
71,3.0,0.0,2,llm
72,3.0,0.0,2,llm
73,3.0,0.0,2,llm
74,3.0,0.0,2,llm
75,3.0,0.0,2,llm
76,3.0,0.0,2,llm
77,3.0,0.0,2,llm
78,3.0,0.0,2,llm
79,3.0,0.0,2,llm
80,3.0,0.0,2,llm
81,3.0,0.0,2,llm
82,3.0,0.0,2,llm
83,3.0,0.0,2,llm
84,3.0,0.0,2,llm
85,3.0,0.0,2,llm
86,3.0,0.0,2,llm
87,3.0,0.0,2,llm
88,4.0,0.0,2,llm
89,4.0,0.0,2,llm
90,4.0,0.0,2,llm
91,4.0,0.0,2,llm
92,4.0,0.0,2,llm
93,4.0,0.0,2,llm
94,4.0,0.0,2,llm
95,4.0,0.0,2,llm
96,4.0,0.0,2,llm
97,4.0,0.0,2,llm
98,4.0,0.0,2,llm
99,4.0,0.0,2,llm
100,4.0,0.0,2,llm
101,4.0,0.0,2,llm
102,4.0,0.0,2,llm
103,4.0,0.0,2,llm
104,4.0,0.0,2,llm
105,4.0,0.0,2,llm
106,4.0,0.0,2,llm
107,4.0,0.0,2,llm
108,4.0,0.0,2,llm
109,4.0,0.0,2,llm
110,4.0,0.0,2,llm
111,4.0,0.0,2,llm
112,4.0,0.0,2,llm
113,4.0,0.0,2,llm
114,4.0,0.0,2,llm
115,4.0,0.0,2,llm
116,4.0,0.0,2,llm
117,4.0,0.0,2,llm
118,4.0,0.0,2,llm
119,4.0,0.0,2,llm
120,4.0,0.0,2,llm
121,4.0,0.0,2,llm
122,4.0,0.0,2,llm
123,4.0,0.0,2,llm
124,4.0,0.0,2,llm
125,4.0,0.0,2,llm
126,4.0,0.0,2,llm
127,4.0,0.0,2,llm
128,4.0,0.0,2,llm
129,4.0,0.0,2,llm
130,4.0,0.0,2,llm
131,4.0,0.0,2,llm
132,4.0,0.0,2,llm
133,4.0,0.0,2,llm
134,4.0,0.0,2,llm
135,4.0,0.0,2,llm
136,4.0,0.0,2,llm
137,4.0,0.0,2,llm
138,4.0,0.0,2,llm
139,4.0,0.0,2,llm
140,4.0,0.0,2,llm
141,4.0,0.0,2,llm
142,4.0,0.0,2,llm
143,4.0,0.0,2,llm
144,4.0,0.0,2,llm
145,4.0,0.0,2,llm
146,4.0,0.0,2,llm
147,4.0,0.0,2,llm
148,4.0,0.0,2,llm
149,4.0,0.0,2,llm
150,4.0,0.0,2,llm
0,0.0,0.0,2,rule
1,0.0,0.0,2,rule
2,0.0,0.0,2,rule
3,0.0,0.0,2,rule
4,0.0,0.0,2,rule
5,0.0,0.0,2,rule
6,0.0,0.0,2,rule
7,0.0,0.0,2,rule
8,0.0,0.0,2,rule
9,0.0,0.0,2,rule
10,0.0,0.0,2,rule
11,0.0,0.0,2,rule
12,0.0,0.0,2,rule
13,0.0,0.0,2,rule
14,0.0,0.0,2,rule
15,0.0,0.0,2,rule
16,0.0,0.0,2,rule
17,0.0,0.0,2,rule
18,0.0,0.0,2,rule
19,0.0,0.0,2,rule
20,0.0,0.0,2,rule
21,0.0,0.0,2,rule
22,0.0,0.0,2,rule
23,0.0,0.0,2,rule
24,0.0,0.0,2,rule
25,0.0,0.0,2,rule
26,0.0,0.0,2,rule
27,0.0,0.0,2,rule
28,0.0,0.0,2,rule
29,0.0,0.0,2,rule
30,0.0,0.0,2,rule
31,0.0,0.0,2,rule
32,0.0,0.0,2,rule
33,0.0,0.0,2,rule
34,0.0,0.0,2,rule
35,0.0,0.0,2,rule
36,0.0,0.0,2,rule
37,0.0,0.0,2,rule
38,0.0,0.0,2,rule
39,0.0,0.0,2,rule
40,0.0,0.0,2,rule
41,0.0,0.0,2,rule
42,0.0,0.0,2,rule
43,0.0,0.0,2,rule
44,0.0,0.0,2,rule
45,0.0,0.0,2,rule
46,0.0,0.0,2,rule
47,0.0,0.0,2,rule
48,0.0,0.0,2,rule
49,0.0,0.0,2,rule
50,0.0,0.0,2,rule
51,0.0,0.0,2,rule
52,0.0,0.0,2,rule
