time,mean_val,std_val,n_runs,architecture
0,0.0,0.0,2,bigfive
1,0.0,0.0,2,bigfive
2,1.0,0.0,2,bigfive
3,1.0,0.0,2,bigfive
4,3.0,0.0,2,bigfive
5,6.0,0.0,2,bigfive
6,9.0,0.0,2,bigfive
7,10.0,0.0,2,bigfive
8,12.0,0.0,2,bigfive
9,13.0,0.0,2,bigfive
10,13.0,0.0,2,bigfive
11,15.0,0.0,2,bigfive
12,15.0,0.0,2,bigfive
13,16.0,0.0,2,bigfive
14,19.0,0.0,2,bigfive
15,20.0,0.0,2,bigfive
16,20.0,0.0,2,bigfive
17,20.0,0.0,2,bigfive
18,20.0,0.0,2,bigfive
19,21.0,0.0,2,bigfive
20,21.0,0.0,2,bigfive
21,21.0,0.0,2,bigfive
22,21.0,0.0,2,bigfive
23,21.0,0.0,2,bigfive
24,22.0,0.0,2,bigfive
25,22.0,0.0,2,bigfive
26,22.0,0.0,2,bigfive
27,22.0,0.0,2,bigfive
28,22.0,0.0,2,bigfive
29,22.0,0.0,2,bigfive
30,22.0,0.0,2,bigfive
31,22.0,0.0,2,bigfive
32,23.0,0.0,2,bigfive
33,23.0,0.0,2,bigfive
34,23.0,0.0,2,bigfive
35,23.0,0.0,2,bigfive
36,23.0,0.0,2,bigfive
37,23.0,0.0,2,bigfive
38,23.0,0.0,2,bigfive
39,23.0,0.0,2,bigfive
40,23.0,0.0,2,bigfive
41,23.0,0.0,2,bigfive
42,23.0,0.0,2,bigfive
43,23.0,0.0,2,bigfive
44,23.0,0.0,2,bigfive
45,23.0,0.0,2,bigfive
46,23.0,0.0,2,bigfive
47,23.0,0.0,2,bigfive
48,23.0,0.0,2,bigfive
49,23.0,0.0,2,bigfive
50,23.0,0.0,2,bigfive
51,23.0,0.0,2,bigfive
52,23.0,0.0,2,bigfive
53,23.0,0.0,2,bigfive
54,23.0,0.0,2,bigfive
55,23.0,0.0,2,bigfive
56,23.0,0.0,2,bigfive
57,23.0,0.0,2,bigfive
58,23.0,0.0,2,bigfive
59,23.0,0.0,2,bigfive
60,23.0,0.0,2,bigfive
61,23.0,0.0,2,bigfive
62,23.0,0.0,2,bigfive
63,23.0,0.0,2,bigfive
64,23.0,0.0,2,bigfive
65,23.0,0.0,2,bigfive
66,23.0,0.0,2,bigfive
67,23.0,0.0,2,bigfive
68,23.0,0.0,2,bigfive
69,23.0,0.0,2,bigfive
70,23.0,0.0,2,bigfive
71,23.0,0.0,2,bigfive
72,23.0,0.0,2,bigfive
73,23.0,0.0,2,bigfive
74,23.0,0.0,2,bigfive
75,23.0,0.0,2,bigfive
76,23.0,0.0,2,bigfive
77,23.0,0.0,2,bigfive
78,23.0,0.0,2,bigfive
79,23.0,0.0,2,bigfive
80,23.0,0.0,2,bigfive
81,23.0,0.0,2,bigfive
82,23.0,0.0,2,bigfive
83,23.0,0.0,2,bigfive
84,23.0,0.0,2,bigfive
85,23.0,0.0,2,bigfive
86,23.0,0.0,2,bigfive
87,23.0,0.0,2,bigfive
88,23.0,0.0,2,bigfive
89,23.0,0.0,2,bigfive
90,23.0,0.0,2,bigfive
91,23.0,0.0,2,bigfive
92,23.0,0.0,2,bigfive
93,23.0,0.0,2,bigfive
94,23.0,0.0,2,bigfive
95,23.0,0.0,2,bigfive
96,23.0,0.0,2,bigfive
97,23.0,0.0,2,bigfive
98,23.0,0.0,2,bigfive
99,23.0,0.0,2,bigfive
100,23.0,0.0,2,bigfive
101,23.0,0.0,2,bigfive
102,23.0,0.0,2,bigfive
103,23.0,0.0,2,bigfive
104,23.0,0.0,2,bigfive
105,23.0,0.0,2,bigfive
106,23.0,0.0,2,bigfive
107,23.0,0.0,2,bigfive
108,23.0,0.0,2,bigfive
109,23.0,0.0,2,bigfive
110,23.0,0.0,2,bigfive
111,23.0,0.0,2,bigfive
112,23.0,0.0,2,bigfive
113,23.0,0.0,2,bigfive
114,23.0,0.0,2,bigfive
115,23.0,0.0,2,bigfive
116,23.0,0.0,2,bigfive
117,23.0,0.0,2,bigfive
118,23.0,0.0,2,bigfive
119,23.0,0.0,2,bigfive
120,23.0,0.0,2,bigfive
121,23.0,0.0,2,bigfive
122,23.0,0.0,2,bigfive
123,23.0,0.0,2,bigfive
124,23.0,0.0,2,bigfive
125,23.0,0.0,2,bigfive
126,23.0,0.0,2,bigfive
127,23.0,0.0,2,bigfive
128,23.0,0.0,2,bigfive
129,23.0,0.0,2,bigfive
130,23.0,0.0,2,bigfive
131,23.0,0.0,2,bigfive
132,23.0,0.0,2,bigfive
133,23.0,0.0,2,bigfive
134,23.0,0.0,2,bigfive
135,23.0,0.0,2,bigfive
136,23.0,0.0,2,bigfive
137,23.0,0.0,2,bigfive
138,23.0,0.0,2,bigfive
139,23.0,0.0,2,bigfive
140,23.0,0.0,2,bigfive
141,23.0,0.0,2,bigfive
142,23.0,0.0,2,bigfive
143,23.0,0.0,2,bigfive
144,23.0,0.0,2,bigfive
145,23.0,0.0,2,bigfive
146,23.0,0.0,2,bigfive
147,23.0,0.0,2,bigfive
148,23.0,0.0,2,bigfive
149,23.0,0.0,2,bigfive
150,23.0,0.0,2,bigfive
0,0.0,0.0,2,llm
1,0.0,0.0,2,llm
2,1.0,0.0,2,llm
3,1.0,0.0,2,llm
4,3.0,0.0,2,llm
5,7.0,0.0,2,llm
6,10.0,0.0,2,llm
7,11.0,0.0,2,llm
8,12.0,0.0,2,llm
9,13.0,0.0,2,llm
10,13.0,0.0,2,llm
11,15.0,0.0,2,llm
12,15.0,0.0,2,llm
13,16.0,0.0,2,llm
14,19.0,0.0,2,llm
15,20.0,0.0,2,llm
16,20.0,0.0,2,llm
17,20.0,0.0,2,llm
18,20.0,0.0,2,llm
19,21.0,0.0,2,llm
20,21.0,0.0,2,llm
21,21.0,0.0,2,llm
22,21.0,0.0,2,llm
23,21.0,0.0,2,llm
24,22.0,0.0,2,llm
25,22.0,0.0,2,llm
26,22.0,0.0,2,llm
27,22.0,0.0,2,llm
28,22.0,0.0,2,llm
29,22.0,0.0,2,llm
30,22.0,0.0,2,llm
31,22.0,0.0,2,llm
32,22.0,0.0,2,llm
33,22.0,0.0,2,llm
34,22.0,0.0,2,llm
35,22.0,0.0,2,llm
36,22.0,0.0,2,llm
37,22.0,0.0,2,llm
38,22.0,0.0,2,llm
39,22.0,0.0,2,llm
40,22.0,0.0,2,llm
41,22.0,0.0,2,llm
42,22.0,0.0,2,llm
43,22.0,0.0,2,llm
44,22.0,0.0,2,llm
45,22.0,0.0,2,llm
46,22.0,0.0,2,llm
47,22.0,0.0,2,llm
48,22.0,0.0,2,llm
49,22.0,0.0,2,llm
50,22.0,0.0,2,llm
51,22.0,0.0,2,llm
52,22.0,0.0,2,llm
53,22.0,0.0,2,llm
54,22.0,0.0,2,llm
55,22.0,0.0,2,llm
56,22.0,0.0,2,llm
57,22.0,0.0,2,llm
58,22.0,0.0,2,llm
59,22.0,0.0,2,llm
60,22.0,0.0,2,llm
61,22.0,0.0,2,llm
62,22.0,0.0,2,llm
63,22.0,0.0,2,llm
64,22.0,0.0,2,llm
65,22.0,0.0,2,llm
66,22.0,0.0,2,llm
67,22.0,0.0,2,llm
68,22.0,0.0,2,llm
69,22.0,0.0,2,llm
70,22.0,0.0,2,llm
71,22.0,0.0,2,llm
72,22.0,0.0,2,llm
73,22.0,0.0,2,llm
74,22.0,0.0,2,llm
75,22.0,0.0,2,llm
76,22.0,0.0,2,llm
77,22.0,0.0,2,llm
78,22.0,0.0,2,llm
79,22.0,0.0,2,llm
80,22.0,0.0,2,llm
81,22.0,0.0,2,llm
82,22.0,0.0,2,llm
83,22.0,0.0,2,llm
84,22.0,0.0,2,llm
85,22.0,0.0,2,llm
86,22.0,0.0,2,llm
87,22.0,0.0,2,llm
88,22.0,0.0,2,llm
89,22.0,0.0,2,llm
90,22.0,0.0,2,llm
91,22.0,0.0,2,llm
92,22.0,0.0,2,llm
93,22.0,0.0,2,llm
94,22.0,0.0,2,llm
95,22.0,0.0,2,llm
96,22.0,0.0,2,llm
97,22.0,0.0,2,llm
98,22.0,0.0,2,llm
99,22.0,0.0,2,llm
100,22.0,0.0,2,llm
101,22.0,0.0,2,llm
102,22.0,0.0,2,llm
103,22.0,0.0,2,llm
104,22.0,0.0,2,llm
105,22.0,0.0,2,llm
106,22.0,0.0,2,llm
107,22.0,0.0,2,llm
108,22.0,0.0,2,llm
109,22.0,0.0,2,llm
110,22.0,0.0,2,llm
111,22.0,0.0,2,llm
112,22.0,0.0,2,llm
113,22.0,0.0,2,llm
114,22.0,0.0,2,llm
115,22.0,0.0,2,llm
116,22.0,0.0,2,llm
117,22.0,0.0,2,llm
118,22.0,0.0,2,llm
119,22.0,0.0,2,llm
120,22.0,0.0,2,llm
121,22.0,0.0,2,llm
122,22.0,0.0,2,llm
123,22.0,0.0,2,llm
124,22.0,0.0,2,llm
125,22.0,0.0,2,llm
126,22.0,0.0,2,llm
127,22.0,0.0,2,llm
128,22.0,0.0,2,llm
129,22.0,0.0,2,llm
130,22.0,0.0,2,llm
131,22.0,0.0,2,llm
132,22.0,0.0,2,llm
133,22.0,0.0,2,llm
134,22.0,0.0,2,llm
135,22.0,0.0,2,llm
136,22.0,0.0,2,llm
137,22.0,0.0,2,llm
138,22.0,0.0,2,llm
139,22.0,0.0,2,llm
140,22.0,0.0,2,llm
141,22.0,0.0,2,llm
142,22.0,0.0,2,llm
143,22.0,0.0,2,llm
144,22.0,0.0,2,llm
145,22.0,0.0,2,llm
146,22.0,0.0,2,llm
147,22.0,0.0,2,llm
148,22.0,0.0,2,llm
149,22.0,0.0,2,llm
150,22.0,0.0,2,llm
0,0.0,0.0,2,rule
1,0.0,0.0,2,rule
2,1.0,0.0,2,rule
3,1.0,0.0,2,rule
4,3.0,0.0,2,rule
5,4.0,0.0,2,rule
6,7.0,0.0,2,rule
7,7.0,0.0,2,rule
8,8.0,0.0,2,rule
9,9.0,0.0,2,rule
10,9.0,0.0,2,rule
11,11.0,0.0,2,rule
12,11.0,0.0,2,rule
13,12.0,0.0,2,rule
14,13.0,0.0,2,rule
15,14.0,0.0,2,rule
16,14.0,0.0,2,rule
17,14.0,0.0,2,rule
18,14.0,0.0,2,rule
19,15.0,0.0,2,rule
20,15.0,0.0,2,rule
21,15.0,0.0,2,rule
22,15.0,0.0,2,rule
23,15.0,0.0,2,rule
24,16.0,0.0,2,rule
25,16.0,0.0,2,rule
26,16.0,0.0,2,rule
27,16.0,0.0,2,rule
28,16.0,0.0,2,rule
29,16.0,0.0,2,rule
30,16.0,0.0,2,rule
31,16.0,0.0,2,rule
32,16.0,0.0,2,rule
33,16.0,0.0,2,rule
34,16.0,0.0,2,rule
35,16.0,0.0,2,rule
36,16.0,0.0,2,rule
37,16.0,0.0,2,rule
38,16.0,0.0,2,rule
39,16.0,0.0,2,rule
40,16.0,0.0,2,rule
41,16.0,0.0,2,rule
42,16.0,0.0,2,rule
43,16.0,0.0,2,rule
44,16.0,0.0,2,rule
45,16.0,0.0,2,rule
46,16.0,0.0,2,rule
47,16.0,0.0,2,rule
48,16.0,0.0,2,rule
49,16.0,0.0,2,rule
50,16.0,0.0,2,rule
51,16.0,0.0,2,rule
52,16.0,0.0,2,rule
