time,mean_val,std_val,n_runs,architecture
0,50.0,0.0,2,bigfive
1,44.0,0.0,2,bigfive
2,38.0,0.0,2,bigfive
3,37.0,0.0,2,bigfive
4,32.0,0.0,2,bigfive
5,29.0,0.0,2,bigfive
6,23.0,0.0,2,bigfive
7,20.0,0.0,2,bigfive
8,17.0,0.0,2,bigfive
9,16.0,0.0,2,bigfive
10,16.0,0.0,2,bigfive
11,14.0,0.0,2,bigfive
12,14.0,0.0,2,bigfive
13,13.0,0.0,2,bigfive
14,10.0,0.0,2,bigfive
15,8.0,0.0,2,bigfive
16,8.0,0.0,2,bigfive
17,8.0,0.0,2,bigfive
18,8.0,0.0,2,bigfive
19,8.0,0.0,2,bigfive
20,7.0,0.0,2,bigfive
21,7.0,0.0,2,bigfive
22,6.0,0.0,2,bigfive
23,6.0,0.0,2,bigfive
24,5.0,0.0,2,bigfive
25,5.0,0.0,2,bigfive
26,5.0,0.0,2,bigfive
27,5.0,0.0,2,bigfive
28,5.0,0.0,2,bigfive
29,5.0,0.0,2,bigfive
30,6.0,0.0,2,bigfive
31,7.0,0.0,2,bigfive
32,6.0,0.0,2,bigfive
33,6.0,0.0,2,bigfive
34,6.0,0.0,2,bigfive
35,6.0,0.0,2,bigfive
36,6.0,0.0,2,bigfive
37,6.0,0.0,2,bigfive
38,7.0,0.0,2,bigfive
39,6.0,0.0,2,bigfive
40,5.0,0.0,2,bigfive
41,5.0,0.0,2,bigfive
42,5.0,0.0,2,bigfive
43,5.0,0.0,2,bigfive
44,5.0,0.0,2,bigfive
45,5.0,0.0,2,bigfive
46,4.0,0.0,2,bigfive
47,4.0,0.0,2,bigfive
48,4.0,0.0,2,bigfive
49,6.0,0.0,2,bigfive
50,7.0,0.0,2,bigfive
51,7.0,0.0,2,bigfive
52,7.0,0.0,2,bigfive
53,7.0,0.0,2,bigfive
54,7.0,0.0,2,bigfive
55,7.0,0.0,2,bigfive
56,7.0,0.0,2,bigfive
57,7.0,0.0,2,bigfive
58,7.0,0.0,2,bigfive
59,7.0,0.0,2,bigfive
60,5.0,0.0,2,bigfive
61,5.0,0.0,2,bigfive
62,5.0,0.0,2,bigfive
63,5.0,0.0,2,bigfive
64,5.0,0.0,2,bigfive
65,5.0,0.0,2,bigfive
66,5.0,0.0,2,bigfive
67,5.0,0.0,2,bigfive
68,6.0,0.0,2,bigfive
69,6.0,0.0,2,bigfive
70,6.0,0.0,2,bigfive
71,6.0,0.0,2,bigfive
72,6.0,0.0,2,bigfive
73,6.0,0.0,2,bigfive
74,6.0,0.0,2,bigfive
75,6.0,0.0,2,bigfive
76,6.0,0.0,2,bigfive
77,6.0,0.0,2,bigfive
78,6.0,0.0,2,bigfive
79,6.0,0.0,2,bigfive
80,6.0,0.0,2,bigfive
81,6.0,0.0,2,bigfive
82,6.0,0.0,2,bigfive
83,6.0,0.0,2,bigfive
84,6.0,0.0,2,bigfive
85,6.0,0.0,2,bigfive
86,6.0,0.0,2,bigfive
87,6.0,0.0,2,bigfive
88,6.0,0.0,2,bigfive
89,7.0,0.0,2,bigfive
90,6.0,0.0,2,bigfive
