time,mean_val,std_val,n_runs,architecture
0,0.0,0.0,2,bigfive
1,5.5,0.7071067811865476,2,bigfive
2,10.5,0.7071067811865476,2,bigfive
3,11.5,0.7071067811865476,2,bigfive
4,13.5,2.1213203435596424,2,bigfive
5,15.5,0.7071067811865476,2,bigfive
6,18.0,0.0,2,bigfive
7,20.0,0.0,2,bigfive
8,21.0,0.0,2,bigfive
9,21.5,0.7071067811865476,2,bigfive
10,21.5,0.7071067811865476,2,bigfive
11,21.5,0.7071067811865476,2,bigfive
12,21.5,0.7071067811865476,2,bigfive
13,21.5,0.7071067811865476,2,bigfive
14,21.5,0.7071067811865476,2,bigfive
15,22.0,0.0,2,bigfive
16,22.0,0.0,2,bigfive
17,22.0,0.0,2,bigfive
18,22.0,0.0,2,bigfive
19,22.0,0.0,2,bigfive
20,23.0,0.0,2,bigfive
21,23.0,0.0,2,bigfive
22,23.5,0.7071067811865476,2,bigfive
23,23.5,0.7071067811865476,2,bigfive
24,24.0,0.0,2,bigfive
25,24.0,0.0,2,bigfive
26,24.0,0.0,2,bigfive
27,24.0,0.0,2,bigfive
28,24.0,0.0,2,bigfive
29,24.0,0.0,2,bigfive
30,24.0,0.0,2,bigfive
31,24.0,0.0,2,bigfive
32,24.0,0.0,2,bigfive
33,24.0,0.0,2,bigfive
34,24.0,0.0,2,bigfive
35,24.0,0.0,2,bigfive
36,24.0,0.0,2,bigfive
37,24.0,0.0,2,bigfive
38,24.0,0.0,2,bigfive
39,24.5,0.7071067811865476,2,bigfive
40,25.0,1.4142135623730951,2,bigfive
41,25.0,1.4142135623730951,2,bigfive
42,25.0,1.4142135623730951,2,bigfive
43,25.0,1.4142135623730951,2,bigfive
44,25.0,1.4142135623730951,2,bigfive
45,25.0,1.4142135623730951,2,bigfive
46,25.5,2.1213203435596424,2,bigfive
47,25.5,2.1213203435596424,2,bigfive
48,25.5,2.1213203435596424,2,bigfive
49,25.5,2.1213203435596424,2,bigfive
50,25.5,2.1213203435596424,2,bigfive
51,25.5,2.1213203435596424,2,bigfive
52,25.5,2.1213203435596424,2,bigfive
53,25.5,2.1213203435596424,2,bigfive
54,25.5,2.1213203435596424,2,bigfive
55,25.5,2.1213203435596424,2,bigfive
56,25.5,2.1213203435596424,2,bigfive
57,25.5,2.1213203435596424,2,bigfive
58,25.5,2.1213203435596424,2,bigfive
59,25.5,2.1213203435596424,2,bigfive
60,25.5,2.1213203435596424,2,bigfive
61,25.5,2.1213203435596424,2,bigfive
62,25.5,2.1213203435596424,2,bigfive
63,25.5,2.1213203435596424,2,bigfive
64,25.5,2.1213203435596424,2,bigfive
65,25.5,2.1213203435596424,2,bigfive
66,25.5,2.1213203435596424,2,bigfive
67,25.5,2.1213203435596424,2,bigfive
68,25.5,2.1213203435596424,2,bigfive
69,25.5,2.1213203435596424,2,bigfive
70,25.5,2.1213203435596424,2,bigfive
71,25.5,2.1213203435596424,2,bigfive
72,25.5,2.1213203435596424,2,bigfive
73,25.5,2.1213203435596424,2,bigfive
74,25.5,2.1213203435596424,2,bigfive
75,25.5,2.1213203435596424,2,bigfive
76,25.5,2.1213203435596424,2,bigfive
77,25.5,2.1213203435596424,2,bigfive
78,25.5,2.1213203435596424,2,bigfive
79,25.5,2.1213203435596424,2,bigfive
80,25.5,2.1213203435596424,2,bigfive
81,25.5,2.1213203435596424,2,bigfive
82,25.5,2.1213203435596424,2,bigfive
83,25.5,2.1213203435596424,2,bigfive
84,25.5,2.1213203435596424,2,bigfive
85,25.5,2.1213203435596424,2,bigfive
86,25.5,2.1213203435596424,2,bigfive
87,25.5,2.1213203435596424,2,bigfive
88,25.5,2.1213203435596424,2,bigfive
89,25.5,2.1213203435596424,2,bigfive
90,25.5,2.1213203435596424,2,bigfive
91,25.5,2.1213203435596424,2,bigfive
92,25.5,2.1213203435596424,2,bigfive
93,25.5,2.1213203435596424,2,bigfive
94,25.5,2.1213203435596424,2,bigfive
95,25.5,2.1213203435596424,2,bigfive
96,25.5,2.1213203435596424,2,bigfive
97,25.5,2.1213203435596424,2,bigfive
98,25.5,2.1213203435596424,2,bigfive
99,25.5,2.1213203435596424,2,bigfive
100,25.5,2.1213203435596424,2,bigfive
101,25.5,2.1213203435596424,2,bigfive
102,25.5,2.1213203435596424,2,bigfive
103,25.5,2.1213203435596424,2,bigfive
104,25.5,2.1213203435596424,2,bigfive
105,25.5,2.1213203435596424,2,bigfive
106,25.5,2.1213203435596424,2,bigfive
107,25.5,2.1213203435596424,2,bigfive
108,25.5,2.1213203435596424,2,bigfive
109,25.5,2.1213203435596424,2,bigfive
110,25.5,2.1213203435596424,2,bigfive
111,25.5,2.1213203435596424,2,bigfive
112,25.5,2.1213203435596424,2,bigfive
113,25.5,2.1213203435596424,2,bigfive
114,25.5,2.1213203435596424,2,bigfive
115,25.5,2.1213203435596424,2,bigfive
116,25.5,2.1213203435596424,2,bigfive
117,25.5,2.1213203435596424,2,bigfive
118,25.5,2.1213203435596424,2,bigfive
119,25.5,2.1213203435596424,2,bigfive
120,25.5,2.1213203435596424,2,bigfive
121,25.5,2.1213203435596424,2,bigfive
122,25.5,2.1213203435596424,2,bigfive
123,25.5,2.1213203435596424,2,bigfive
124,25.5,2.1213203435596424,2,bigfive
125,25.5,2.1213203435596424,2,bigfive
126,25.5,2.1213203435596424,2,bigfive
127,25.5,2.1213203435596424,2,bigfive
128,25.5,2.1213203435596424,2,bigfive
129,25.5,2.1213203435596424,2,bigfive
130,25.5,2.1213203435596424,2,bigfive
131,25.5,2.1213203435596424,2,bigfive
132,25.5,2.1213203435596424,2,bigfive
133,25.5,2.1213203435596424,2,bigfive
134,25.5,2.1213203435596424,2,bigfive
135,25.5,2.1213203435596424,2,bigfive
136,25.5,2.1213203435596424,2,bigfive
137,25.5,2.1213203435596424,2,bigfive
138,25.5,2.1213203435596424,2,bigfive
139,27.0,NaN,1,bigfive
