time,mean_val,std_val,n_runs,architecture
0,50.0,0.0,2,bigfive
1,44.5,0.7071067811865476,2,bigfive
2,38.5,0.7071067811865476,2,bigfive
3,37.5,0.7071067811865476,2,bigfive
4,33.5,2.1213203435596424,2,bigfive
5,28.0,1.4142135623730951,2,bigfive
6,22.5,0.7071067811865476,2,bigfive
7,19.5,0.7071067811865476,2,bigfive
8,17.5,0.7071067811865476,2,bigfive
9,16.0,0.0,2,bigfive
10,16.0,0.0,2,bigfive
11,14.0,0.0,2,bigfive
12,14.0,0.0,2,bigfive
13,13.0,0.0,2,bigfive
14,10.0,0.0,2,bigfive
15,8.5,0.7071067811865476,2,bigfive
16,8.5,0.7071067811865476,2,bigfive
17,8.5,0.7071067811865476,2,bigfive
18,8.5,0.7071067811865476,2,bigfive
19,8.0,0.0,2,bigfive
20,7.0,0.0,2,bigfive
21,7.0,0.0,2,bigfive
22,7.0,1.4142135623730951,2,bigfive
23,7.5,2.1213203435596424,2,bigfive
24,6.0,1.4142135623730951,2,bigfive
25,6.0,1.4142135623730951,2,bigfive
26,6.0,1.4142135623730951,2,bigfive
27,6.0,1.4142135623730951,2,bigfive
28,6.0,1.4142135623730951,2,bigfive
29,6.0,1.4142135623730951,2,bigfive
30,6.5,0.7071067811865476,2,bigfive
31,7.0,0.0,2,bigfive
32,6.5,0.7071067811865476,2,bigfive
33,7.0,1.4142135623730951,2,bigfive
34,7.0,1.4142135623730951,2,bigfive
35,7.0,1.4142135623730951,2,bigfive
36,7.0,1.4142135623730951,2,bigfive
37,7.0,1.4142135623730951,2,bigfive
38,7.5,0.7071067811865476,2,bigfive
39,7.0,1.4142135623730951,2,bigfive
40,6.5,2.1213203435596424,2,bigfive
41,7.0,2.8284271247461903,2,bigfive
42,7.0,2.8284271247461903,2,bigfive
43,7.5,3.5355339059327378,2,bigfive
44,7.5,3.5355339059327378,2,bigfive
45,8.0,4.242640687119285,2,bigfive
46,8.0,5.656854249492381,2,bigfive
47,8.0,5.656854249492381,2,bigfive
48,8.0,5.656854249492381,2,bigfive
49,9.0,4.242640687119285,2,bigfive
50,10.0,4.242640687119285,2,bigfive
51,10.0,4.242640687119285,2,bigfive
52,10.0,4.242640687119285,2,bigfive
53,10.0,4.242640687119285,2,bigfive
54,10.0,4.242640687119285,2,bigfive
55,10.5,4.949747468305833,2,bigfive
56,10.5,4.949747468305833,2,bigfive
57,10.0,4.242640687119285,2,bigfive
58,10.0,4.242640687119285,2,bigfive
59,10.5,4.949747468305833,2,bigfive
60,8.5,4.949747468305833,2,bigfive
61,8.5,4.949747468305833,2,bigfive
62,8.5,4.949747468305833,2,bigfive
63,8.5,4.949747468305833,2,bigfive
64,9.5,6.363961030678928,2,bigfive
65,9.5,6.363961030678928,2,bigfive
66,10.5,7.7781745930520225,2,bigfive
67,11.0,8.48528137423857,2,bigfive
68,12.5,9.192388155425117,2,bigfive
69,12.5,9.192388155425117,2,bigfive
70,12.5,9.192388155425117,2,bigfive
71,13.0,9.899494936611665,2,bigfive
72,13.0,9.899494936611665,2,bigfive
73,13.5,10.606601717798213,2,bigfive
74,14.5,12.020815280171307,2,bigfive
75,14.5,12.020815280171307,2,bigfive
76,16.5,14.849242404917497,2,bigfive
77,18.5,17.67766952966369,2,bigfive
78,19.5,19.091883092036785,2,bigfive
79,19.5,19.091883092036785,2,bigfive
80,20.0,19.79898987322333,2,bigfive
81,20.0,19.79898987322333,2,bigfive
82,20.0,19.79898987322333,2,bigfive
83,19.5,19.091883092036785,2,bigfive
84,19.5,19.091883092036785,2,bigfive
85,20.0,19.79898987322333,2,bigfive
86,21.0,21.213203435596427,2,bigfive
87,21.5,21.920310216782973,2,bigfive
88,22.0,22.627416997969522,2,bigfive
89,23.0,22.627416997969522,2,bigfive
90,24.5,26.16295090390226,2,bigfive
91,25.5,27.577164466275352,2,bigfive
92,26.5,28.991378028648448,2,bigfive
93,27.0,29.698484809834994,2,bigfive
94,28.0,31.11269837220809,2,bigfive
95,33.5,38.890872965260115,2,bigfive
96,37.0,43.840620433565945,2,bigfive
97,41.5,50.204581464244875,2,bigfive
98,42.5,51.61879502661797,2,bigfive
99,43.0,52.32590180780452,2,bigfive
100,44.5,54.44722215136416,2,bigfive
101,44.5,54.44722215136416,2,bigfive
102,45.5,55.86143571373726,2,bigfive
103,45.5,55.86143571373726,2,bigfive
104,47.0,57.982756057296896,2,bigfive
105,48.0,59.39696961966999,2,bigfive
106,50.0,62.22539674441618,2,bigfive
107,51.0,63.63961030678928,2,bigfive
108,51.5,64.34671708797582,2,bigfive
109,54.5,71.4177848998413,2,bigfive
110,58.0,77.78174593052023,2,bigfive
111,61.5,82.73149339882606,2,bigfive
112,67.5,91.21677477306463,2,bigfive
113,72.5,98.2878425849301,2,bigfive
114,79.5,106.77312395916867,2,bigfive
115,87.5,118.08683245815344,2,bigfive
116,93.5,125.15790027001891,2,bigfive
117,99.5,133.64318164425748,2,bigfive
118,104.0,140.0071426749364,2,bigfive
119,108.0,145.6639969244288,2,bigfive
120,111.0,149.90663761154806,2,bigfive
121,114.0,154.14927829866735,2,bigfive
122,116.5,156.27059864222701,2,bigfive
123,121.0,162.63455967290594,2,bigfive
124,123.0,165.46298679765212,2,bigfive
125,125.5,168.99852070358486,2,bigfive
126,127.5,171.82694782833104,2,bigfive
127,131.5,177.48380207782344,2,bigfive
128,138.5,187.3832970144351,2,bigfive
129,142.0,192.33304448274092,2,bigfive
130,152.5,207.18228688765842,2,bigfive
131,159.5,217.08178182427008,2,bigfive
132,165.0,224.8599564173221,2,bigfive
133,171.0,233.3452377915607,2,bigfive
134,177.0,241.83051916579925,2,bigfive
135,182.0,250.31580054003783,2,bigfive
136,190.5,262.33661582020915,2,bigfive
137,195.0,268.70057685088807,2,bigfive
138,202.0,278.6000717874997,2,bigfive
139,5.0,NaN,1,bigfive
