time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,6.0,NaN,1,bigfive
20,8.0,NaN,1,bigfive
21,10.0,NaN,1,bigfive
22,12.0,NaN,1,bigfive
23,15.0,NaN,1,bigfive
24,15.0,NaN,1,bigfive
25,15.0,NaN,1,bigfive
26,18.0,NaN,1,bigfive
27,20.0,NaN,1,bigfive
28,20.0,NaN,1,bigfive
29,25.0,NaN,1,bigfive
30,27.0,NaN,1,bigfive
31,27.0,NaN,1,bigfive
32,28.0,NaN,1,bigfive
33,29.0,NaN,1,bigfive
34,29.0,NaN,1,bigfive
35,30.0,NaN,1,bigfive
36,30.0,NaN,1,bigfive
37,30.0,NaN,1,bigfive
38,35.0,NaN,1,bigfive
39,37.0,NaN,1,bigfive
40,41.0,NaN,1,bigfive
41,46.0,NaN,1,bigfive
42,48.0,NaN,1,bigfive
43,53.0,NaN,1,bigfive
44,54.0,NaN,1,bigfive
45,57.0,NaN,1,bigfive
46,59.0,NaN,1,bigfive
47,61.0,NaN,1,bigfive
48,65.0,NaN,1,bigfive
49,68.0,NaN,1,bigfive
50,74.0,NaN,1,bigfive
51,78.0,NaN,1,bigfive
52,82.0,NaN,1,bigfive
53,84.0,NaN,1,bigfive
54,87.0,NaN,1,bigfive
55,89.0,NaN,1,bigfive
56,91.0,NaN,1,bigfive
57,96.0,NaN,1,bigfive
58,99.0,NaN,1,bigfive
59,101.0,NaN,1,bigfive
60,105.0,NaN,1,bigfive
61,110.0,NaN,1,bigfive
62,116.0,NaN,1,bigfive
63,118.0,NaN,1,bigfive
64,127.0,NaN,1,bigfive
65,131.0,NaN,1,bigfive
66,138.0,NaN,1,bigfive
67,147.0,NaN,1,bigfive
68,153.0,NaN,1,bigfive
69,168.0,NaN,1,bigfive
70,184.0,NaN,1,bigfive
71,190.0,NaN,1,bigfive
72,199.0,NaN,1,bigfive
73,203.0,NaN,1,bigfive
74,207.0,NaN,1,bigfive
75,215.0,NaN,1,bigfive
76,223.0,NaN,1,bigfive
77,225.0,NaN,1,bigfive
78,227.0,NaN,1,bigfive
79,232.0,NaN,1,bigfive
80,234.0,NaN,1,bigfive
81,239.0,NaN,1,bigfive
82,245.0,NaN,1,bigfive
83,250.0,NaN,1,bigfive
84,258.0,NaN,1,bigfive
85,268.0,NaN,1,bigfive
86,280.0,NaN,1,bigfive
87,293.0,NaN,1,bigfive
88,309.0,NaN,1,bigfive
89,323.0,NaN,1,bigfive
90,340.0,NaN,1,bigfive
91,353.0,NaN,1,bigfive
92,363.0,NaN,1,bigfive
93,370.0,NaN,1,bigfive
94,378.0,NaN,1,bigfive
95,388.0,NaN,1,bigfive
96,392.0,NaN,1,bigfive
97,395.0,NaN,1,bigfive
98,400.0,NaN,1,bigfive
99,406.0,NaN,1,bigfive
100,410.0,NaN,1,bigfive
101,415.0,NaN,1,bigfive
102,423.0,NaN,1,bigfive
103,432.0,NaN,1,bigfive
104,437.0,NaN,1,bigfive
105,443.0,NaN,1,bigfive
106,454.0,NaN,1,bigfive
107,462.0,NaN,1,bigfive
108,469.0,NaN,1,bigfive
109,473.0,NaN,1,bigfive
110,480.0,NaN,1,bigfive
111,487.0,NaN,1,bigfive
112,496.0,NaN,1,bigfive
113,500.0,NaN,1,bigfive
114,504.0,NaN,1,bigfive
115,508.0,NaN,1,bigfive
116,512.0,NaN,1,bigfive
117,515.0,NaN,1,bigfive
118,519.0,NaN,1,bigfive
119,524.0,NaN,1,bigfive
120,535.0,NaN,1,bigfive
121,542.0,NaN,1,bigfive
122,546.0,NaN,1,bigfive
123,552.0,NaN,1,bigfive
124,558.0,NaN,1,bigfive
125,564.0,NaN,1,bigfive
126,570.0,NaN,1,bigfive
127,574.0,NaN,1,bigfive
128,588.0,NaN,1,bigfive
129,596.0,NaN,1,bigfive
130,610.0,NaN,1,bigfive
131,617.0,NaN,1,bigfive
132,623.0,NaN,1,bigfive
133,639.0,NaN,1,bigfive
134,644.0,NaN,1,bigfive
135,648.0,NaN,1,bigfive
136,658.0,NaN,1,bigfive
137,665.0,NaN,1,bigfive
138,675.0,NaN,1,bigfive
139,683.0,NaN,1,bigfive
140,694.0,NaN,1,bigfive
141,700.0,NaN,1,bigfive
142,703.0,NaN,1,bigfive
143,710.0,NaN,1,bigfive
144,718.0,NaN,1,bigfive
145,724.0,NaN,1,bigfive
146,734.0,NaN,1,bigfive
147,741.0,NaN,1,bigfive
148,755.0,NaN,1,bigfive
149,766.0,NaN,1,bigfive
150,773.0,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,0.0,NaN,1,llm
3,0.0,NaN,1,llm
4,0.0,NaN,1,llm
5,0.0,NaN,1,llm
6,0.0,NaN,1,llm
7,0.0,NaN,1,llm
8,0.0,NaN,1,llm
9,0.0,NaN,1,llm
10,0.0,NaN,1,llm
11,0.0,NaN,1,llm
12,0.0,NaN,1,llm
13,0.0,NaN,1,llm
14,0.0,NaN,1,llm
15,0.0,NaN,1,llm
16,0.0,NaN,1,llm
17,0.0,NaN,1,llm
18,1.0,NaN,1,llm
19,3.0,NaN,1,llm
20,3.0,NaN,1,llm
21,6.0,NaN,1,llm
22,7.0,NaN,1,llm
23,9.0,NaN,1,llm
24,12.0,NaN,1,llm
25,15.0,NaN,1,llm
26,18.0,NaN,1,llm
27,21.0,NaN,1,llm
28,23.0,NaN,1,llm
29,24.0,NaN,1,llm
30,26.0,NaN,1,llm
31,26.0,NaN,1,llm
32,26.0,NaN,1,llm
33,28.0,NaN,1,llm
34,29.0,NaN,1,llm
35,30.0,NaN,1,llm
36,31.0,NaN,1,llm
37,34.0,NaN,1,llm
38,35.0,NaN,1,llm
39,35.0,NaN,1,llm
40,38.0,NaN,1,llm
41,42.0,NaN,1,llm
42,46.0,NaN,1,llm
43,48.0,NaN,1,llm
44,53.0,NaN,1,llm
45,57.0,NaN,1,llm
46,60.0,NaN,1,llm
47,68.0,NaN,1,llm
48,71.0,NaN,1,llm
49,73.0,NaN,1,llm
50,78.0,NaN,1,llm
51,84.0,NaN,1,llm
52,86.0,NaN,1,llm
53,88.0,NaN,1,llm
54,89.0,NaN,1,llm
55,89.0,NaN,1,llm
56,91.0,NaN,1,llm
57,96.0,NaN,1,llm
58,99.0,NaN,1,llm
59,101.0,NaN,1,llm
60,107.0,NaN,1,llm
61,114.0,NaN,1,llm
62,122.0,NaN,1,llm
63,127.0,NaN,1,llm
64,137.0,NaN,1,llm
65,151.0,NaN,1,llm
66,163.0,NaN,1,llm
67,175.0,NaN,1,llm
68,191.0,NaN,1,llm
69,198.0,NaN,1,llm
70,208.0,NaN,1,llm
71,218.0,NaN,1,llm
72,235.0,NaN,1,llm
73,242.0,NaN,1,llm
74,246.0,NaN,1,llm
75,253.0,NaN,1,llm
76,263.0,NaN,1,llm
77,270.0,NaN,1,llm
78,284.0,NaN,1,llm
79,294.0,NaN,1,llm
80,303.0,NaN,1,llm
81,307.0,NaN,1,llm
82,316.0,NaN,1,llm
83,332.0,NaN,1,llm
84,345.0,NaN,1,llm
85,357.0,NaN,1,llm
86,379.0,NaN,1,llm
87,398.0,NaN,1,llm
88,415.0,NaN,1,llm
89,429.0,NaN,1,llm
90,443.0,NaN,1,llm
91,457.0,NaN,1,llm
92,466.0,NaN,1,llm
93,475.0,NaN,1,llm
94,485.0,NaN,1,llm
95,493.0,NaN,1,llm
96,507.0,NaN,1,llm
97,524.0,NaN,1,llm
98,538.0,NaN,1,llm
99,548.0,NaN,1,llm
100,565.0,NaN,1,llm
101,583.0,NaN,1,llm
102,598.0,NaN,1,llm
103,609.0,NaN,1,llm
104,628.0,NaN,1,llm
105,640.0,NaN,1,llm
106,660.0,NaN,1,llm
107,682.0,NaN,1,llm
108,704.0,NaN,1,llm
109,724.0,NaN,1,llm
110,743.0,NaN,1,llm
111,756.0,NaN,1,llm
112,768.0,NaN,1,llm
113,780.0,NaN,1,llm
114,792.0,NaN,1,llm
115,810.0,NaN,1,llm
116,826.0,NaN,1,llm
117,843.0,NaN,1,llm
118,861.0,NaN,1,llm
119,872.0,NaN,1,llm
120,889.0,NaN,1,llm
121,896.0,NaN,1,llm
122,913.0,NaN,1,llm
123,930.0,NaN,1,llm
124,943.0,NaN,1,llm
125,959.0,NaN,1,llm
126,976.0,NaN,1,llm
127,995.0,NaN,1,llm
128,1008.0,NaN,1,llm
129,1032.0,NaN,1,llm
130,1044.0,NaN,1,llm
131,1057.0,NaN,1,llm
132,1071.0,NaN,1,llm
133,1079.0,NaN,1,llm
134,1092.0,NaN,1,llm
135,1105.0,NaN,1,llm
136,1118.0,NaN,1,llm
137,1133.0,NaN,1,llm
138,1147.0,NaN,1,llm
139,1154.0,NaN,1,llm
140,1171.0,NaN,1,llm
141,1185.0,NaN,1,llm
142,1200.0,NaN,1,llm
143,1206.0,NaN,1,llm
144,1219.0,NaN,1,llm
145,1235.0,NaN,1,llm
146,1247.0,NaN,1,llm
147,1257.0,NaN,1,llm
148,1270.0,NaN,1,llm
149,1277.0,NaN,1,llm
150,1283.0,NaN,1,llm
