time,mean_val,std_val,n_runs,architecture
0,0.23110204081632646,NaN,1,bigfive
1,0.258075801749271,NaN,1,bigfive
2,0.2932799287939474,NaN,1,bigfive
3,0.3278433590160459,NaN,1,bigfive
4,0.34582942830365515,NaN,1,bigfive
5,0.3419284467713788,NaN,1,bigfive
6,0.3295035873569907,NaN,1,bigfive
7,0.3496086105675147,NaN,1,bigfive
8,0.3525984976237928,NaN,1,bigfive
9,0.3608788743882545,NaN,1,bigfive
10,0.3863681102362204,NaN,1,bigfive
11,0.3909264987479748,NaN,1,bigfive
12,0.3740053050397878,NaN,1,bigfive
13,0.36795918367346925,NaN,1,bigfive
14,0.33165802560575597,NaN,1,bigfive
15,0.3119470198675496,NaN,1,bigfive
16,0.31826972010178123,NaN,1,bigfive
17,0.324313725490196,NaN,1,bigfive
18,0.3325768321513003,NaN,1,bigfive
19,0.3905990783410138,NaN,1,bigfive
20,0.401805569384978,NaN,1,bigfive
21,0.3953768285908279,NaN,1,bigfive
22,0.39223897264098273,NaN,1,bigfive
23,0.39006039006039006,NaN,1,bigfive
24,0.369494171016048,NaN,1,bigfive
25,0.3658690766061059,NaN,1,bigfive
26,0.35568231864605826,NaN,1,bigfive
27,0.3533080052191264,NaN,1,bigfive
28,0.3506034736532233,NaN,1,bigfive
29,0.36569686631286324,NaN,1,bigfive
30,0.3719013062409289,NaN,1,bigfive
31,0.3646175243393601,NaN,1,bigfive
32,0.363008290564548,NaN,1,bigfive
33,0.35448262145094733,NaN,1,bigfive
34,0.3519733690966569,NaN,1,bigfive
35,0.357902709791198,NaN,1,bigfive
36,0.34043478260869575,NaN,1,bigfive
37,0.33733209519284757,NaN,1,bigfive
38,0.3602504629364487,NaN,1,bigfive
39,0.3692290582321278,NaN,1,bigfive
40,0.35772736943748873,NaN,1,bigfive
41,0.3791088760519601,NaN,1,bigfive
42,0.375436268513335,NaN,1,bigfive
43,0.3828484734734734,NaN,1,bigfive
44,0.3833243967828417,NaN,1,bigfive
45,0.3702126704071811,NaN,1,bigfive
46,0.3769177228422391,NaN,1,bigfive
47,0.3818594411006664,NaN,1,bigfive
48,0.39097707858934494,NaN,1,bigfive
49,0.387080476050645,NaN,1,bigfive
50,0.40135717169025287,NaN,1,bigfive
51,0.40038848692818885,NaN,1,bigfive
52,0.39465902885814086,NaN,1,bigfive
53,0.3918971257839732,NaN,1,bigfive
54,0.38702027460933897,NaN,1,bigfive
55,0.3887038202823534,NaN,1,bigfive
56,0.37907054014041863,NaN,1,bigfive
57,0.3757262263277523,NaN,1,bigfive
58,0.37356711193586545,NaN,1,bigfive
59,0.3730418383116243,NaN,1,bigfive
60,0.39163315020509226,NaN,1,bigfive
61,0.39878899004328083,NaN,1,bigfive
62,0.39632443820645036,NaN,1,bigfive
63,0.39064844795207065,NaN,1,bigfive
64,0.4036991508430543,NaN,1,bigfive
65,0.4063951756998214,NaN,1,bigfive
66,0.40231422768198066,NaN,1,bigfive
67,0.4140825782529731,NaN,1,bigfive
68,0.4213108166253081,NaN,1,bigfive
69,0.43882527630652435,NaN,1,bigfive
70,0.4439015847274854,NaN,1,bigfive
71,0.44235284826787424,NaN,1,bigfive
72,0.43541183816183815,NaN,1,bigfive
73,0.4322709776751348,NaN,1,bigfive
74,0.4233386176374865,NaN,1,bigfive
75,0.4233756852331587,NaN,1,bigfive
76,0.4203994016904704,NaN,1,bigfive
77,0.41846366149502967,NaN,1,bigfive
78,0.4194785596255828,NaN,1,bigfive
79,0.4257535872355003,NaN,1,bigfive
80,0.4197618583535354,NaN,1,bigfive
81,0.4140425279144815,NaN,1,bigfive
82,0.4104856172048075,NaN,1,bigfive
83,0.39687214684708083,NaN,1,bigfive
84,0.3999252773090287,NaN,1,bigfive
85,0.39526497891294143,NaN,1,bigfive
86,0.39065569577412185,NaN,1,bigfive
87,0.385686750036905,NaN,1,bigfive
88,0.389950995725159,NaN,1,bigfive
89,0.3931818334205217,NaN,1,bigfive
90,0.3963673328666959,NaN,1,bigfive
91,0.4024353690060152,NaN,1,bigfive
92,0.395870679449005,NaN,1,bigfive
93,0.4021080868697178,NaN,1,bigfive
94,0.4032967122183464,NaN,1,bigfive
95,0.40438703258520037,NaN,1,bigfive
96,0.4111295331477711,NaN,1,bigfive
97,0.41650925544051876,NaN,1,bigfive
98,0.4193458283326106,NaN,1,bigfive
99,0.4234651857922793,NaN,1,bigfive
100,0.42585476448049486,NaN,1,bigfive
101,0.42790044764380153,NaN,1,bigfive
102,0.4269725546943981,NaN,1,bigfive
103,0.42860358655749087,NaN,1,bigfive
104,0.4303599021305673,NaN,1,bigfive
105,0.43187842647456676,NaN,1,bigfive
106,0.43450816823079585,NaN,1,bigfive
107,0.43088439415224133,NaN,1,bigfive
108,0.4343178426318135,NaN,1,bigfive
109,0.4403204407410899,NaN,1,bigfive
110,0.44367651280198883,NaN,1,bigfive
111,0.4419705350515699,NaN,1,bigfive
112,0.44011556965927756,NaN,1,bigfive
113,0.44547213565278776,NaN,1,bigfive
114,0.44719402072580716,NaN,1,bigfive
115,0.4537302633839635,NaN,1,bigfive
116,0.4530335096200242,NaN,1,bigfive
117,0.45469256782463896,NaN,1,bigfive
118,0.45195697778205934,NaN,1,bigfive
119,0.4511528290406681,NaN,1,bigfive
120,0.4442515963048048,NaN,1,bigfive
121,0.44514318096351424,NaN,1,bigfive
122,0.44750024308041647,NaN,1,bigfive
123,0.4492370714430658,NaN,1,bigfive
124,0.44777477336226834,NaN,1,bigfive
125,0.4470052541490306,NaN,1,bigfive
126,0.44855225585788094,NaN,1,bigfive
127,0.44778286862808736,NaN,1,bigfive
128,0.44739312010962573,NaN,1,bigfive
129,0.437720949383545,NaN,1,bigfive
130,0.43354529445925527,NaN,1,bigfive
131,0.42838041775039937,NaN,1,bigfive
132,0.42676246343246826,NaN,1,bigfive
133,0.41931874476668396,NaN,1,bigfive
134,0.4232815153611327,NaN,1,bigfive
135,0.4229507603760754,NaN,1,bigfive
136,0.41951152619254684,NaN,1,bigfive
137,0.4220605399117754,NaN,1,bigfive
138,0.4173396964182565,NaN,1,bigfive
139,0.413381204942356,NaN,1,bigfive
140,0.410516888101105,NaN,1,bigfive
141,0.41347582186613896,NaN,1,bigfive
142,0.4154634820662828,NaN,1,bigfive
143,0.41378109704126165,NaN,1,bigfive
144,0.409715971075467,NaN,1,bigfive
145,0.4069571719108147,NaN,1,bigfive
146,0.40750406063423505,NaN,1,bigfive
147,0.40508659883624953,NaN,1,bigfive
