time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,0.19354838709677424,NaN,1,bigfive
20,0.23128518385435393,NaN,1,bigfive
21,0.2693617987735635,NaN,1,bigfive
22,0.29428341384863144,NaN,1,bigfive
23,0.3319379033664749,NaN,1,bigfive
24,0.3187134502923976,NaN,1,bigfive
25,0.29981936119550046,NaN,1,bigfive
26,0.3355005567728726,NaN,1,bigfive
27,0.3481912144702841,NaN,1,bigfive
28,0.3285683806272668,NaN,1,bigfive
29,0.38280603804797364,NaN,1,bigfive
30,0.3868384074941451,NaN,1,bigfive
31,0.3654424778761063,NaN,1,bigfive
32,0.35910716487853,NaN,1,bigfive
33,0.3535591274397245,NaN,1,bigfive
34,0.3361654901390001,NaN,1,bigfive
35,0.333225581434915,NaN,1,bigfive
36,0.3217652684793004,NaN,1,bigfive
37,0.3075617082408255,NaN,1,bigfive
38,0.35643988018827555,NaN,1,bigfive
39,0.363004227411007,NaN,1,bigfive
40,0.39240725188954206,NaN,1,bigfive
41,0.42129265950947015,NaN,1,bigfive
42,0.4189668232086048,NaN,1,bigfive
43,0.44030333525014376,NaN,1,bigfive
44,0.4273933248838191,NaN,1,bigfive
45,0.43357885895199333,NaN,1,bigfive
46,0.42860684370656954,NaN,1,bigfive
47,0.4239942890736541,NaN,1,bigfive
48,0.4333620277379244,NaN,1,bigfive
49,0.4342439943476213,NaN,1,bigfive
50,0.45262847141682294,NaN,1,bigfive
51,0.458251621476099,NaN,1,bigfive
52,0.4601603017444602,NaN,1,bigfive
53,0.4506978819230525,NaN,1,bigfive
54,0.4473546980183938,NaN,1,bigfive
55,0.4389275000742523,NaN,1,bigfive
56,0.4319493791304223,NaN,1,bigfive
57,0.43990815079129075,NaN,1,bigfive
58,0.43662280498683526,NaN,1,bigfive
59,0.4286878992761347,NaN,1,bigfive
60,0.4307930767243606,NaN,1,bigfive
61,0.4366862780188805,NaN,1,bigfive
62,0.44512333107037794,NaN,1,bigfive
63,0.43520635511698647,NaN,1,bigfive
64,0.4548747883432849,NaN,1,bigfive
65,0.45151341568705594,NaN,1,bigfive
66,0.4591737983642954,NaN,1,bigfive
67,0.47102941228227624,NaN,1,bigfive
68,0.47013775662995383,NaN,1,bigfive
69,0.4952994262491035,NaN,1,bigfive
70,0.5163827993696104,NaN,1,bigfive
71,0.5073741529525655,NaN,1,bigfive
72,0.5077511317479915,NaN,1,bigfive
73,0.492624159268227,NaN,1,bigfive
74,0.4821181930924068,NaN,1,bigfive
75,0.48159943895604096,NaN,1,bigfive
76,0.4784614327907135,NaN,1,bigfive
77,0.46326214994976445,NaN,1,bigfive
78,0.4494131184303909,NaN,1,bigfive
79,0.44303759578544044,NaN,1,bigfive
80,0.43112434028650415,NaN,1,bigfive
81,0.42794625737406644,NaN,1,bigfive
82,0.42347319817083107,NaN,1,bigfive
83,0.4157627118644067,NaN,1,bigfive
84,0.4188627205182891,NaN,1,bigfive
85,0.4262258984384808,NaN,1,bigfive
86,0.43387370373573986,NaN,1,bigfive
87,0.44410136890136886,NaN,1,bigfive
88,0.4554498493773229,NaN,1,bigfive
89,0.460193837350682,NaN,1,bigfive
90,0.4703942757921893,NaN,1,bigfive
91,0.47151407237696796,NaN,1,bigfive
92,0.46285466607020975,NaN,1,bigfive
93,0.4492458536626538,NaN,1,bigfive
94,0.44213578141442,NaN,1,bigfive
95,0.439338116083009,NaN,1,bigfive
96,0.42655045625205235,NaN,1,bigfive
97,0.4139531992264296,NaN,1,bigfive
98,0.40456359685976984,NaN,1,bigfive
99,0.399247434357459,NaN,1,bigfive
100,0.3897304735154765,NaN,1,bigfive
101,0.3832962630635999,NaN,1,bigfive
102,0.38211098402859767,NaN,1,bigfive
103,0.3824118029660457,NaN,1,bigfive
104,0.3765637239387123,NaN,1,bigfive
105,0.37269041649573964,NaN,1,bigfive
106,0.37744557864727457,NaN,1,bigfive
107,0.37569374815508727,NaN,1,bigfive
108,0.3744439071755601,NaN,1,bigfive
109,0.3678936751462416,NaN,1,bigfive
110,0.3650047355599704,NaN,1,bigfive
111,0.3637833545826954,NaN,1,bigfive
112,0.36281935302627133,NaN,1,bigfive
113,0.35671960899729127,NaN,1,bigfive
114,0.35099400455059393,NaN,1,bigfive
115,0.34394855538472546,NaN,1,bigfive
116,0.34011415455861593,NaN,1,bigfive
117,0.33366001460689665,NaN,1,bigfive
118,0.33070680712415723,NaN,1,bigfive
119,0.3289754595676113,NaN,1,bigfive
120,0.33661519242870774,NaN,1,bigfive
121,0.3382919844784251,NaN,1,bigfive
122,0.33507017531717387,NaN,1,bigfive
123,0.3351221807446638,NaN,1,bigfive
124,0.33588574581331576,NaN,1,bigfive
125,0.3356730282486611,NaN,1,bigfive
126,0.335024127184228,NaN,1,bigfive
127,0.332139101414999,NaN,1,bigfive
128,0.34445777203666106,NaN,1,bigfive
129,0.3487211486285595,NaN,1,bigfive
130,0.360838646794972,NaN,1,bigfive
131,0.36321348063757797,NaN,1,bigfive
132,0.3629702691874741,NaN,1,bigfive
133,0.37493742872315416,NaN,1,bigfive
134,0.37166525287328045,NaN,1,bigfive
135,0.3645209572853092,NaN,1,bigfive
136,0.36790364922442254,NaN,1,bigfive
137,0.3669003123060599,NaN,1,bigfive
138,0.36841131592761145,NaN,1,bigfive
139,0.36882744578825966,NaN,1,bigfive
140,0.37342568223417394,NaN,1,bigfive
141,0.3698076097789096,NaN,1,bigfive
142,0.36248561194683093,NaN,1,bigfive
143,0.36336215063837973,NaN,1,bigfive
144,0.3661794544672681,NaN,1,bigfive
145,0.36514563712596293,NaN,1,bigfive
146,0.3681970117423823,NaN,1,bigfive
147,0.36951027238674694,NaN,1,bigfive
148,0.3795973959916832,NaN,1,bigfive
149,0.38779383607350626,NaN,1,bigfive
150,0.388051694792962,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,0.0,NaN,1,llm
3,0.0,NaN,1,llm
4,0.0,NaN,1,llm
5,0.0,NaN,1,llm
6,0.0,NaN,1,llm
7,0.0,NaN,1,llm
8,0.0,NaN,1,llm
9,0.0,NaN,1,llm
10,0.0,NaN,1,llm
11,0.0,NaN,1,llm
12,0.0,NaN,1,llm
13,0.0,NaN,1,llm
14,0.0,NaN,1,llm
15,0.0,NaN,1,llm
16,0.0,NaN,1,llm
17,0.0,NaN,1,llm
18,0.038461538461538325,NaN,1,llm
19,0.10519207683073217,NaN,1,llm
20,0.09934807256235811,NaN,1,llm
21,0.18178510793111813,NaN,1,llm
22,0.19765763765541733,NaN,1,llm
23,0.23484923381117162,NaN,1,llm
24,0.2928833792470158,NaN,1,llm
25,0.34039644565960336,NaN,1,llm
26,0.37032893264712463,NaN,1,llm
27,0.3929038587311968,NaN,1,llm
28,0.4045632130020316,NaN,1,llm
29,0.3939498504715895,NaN,1,llm
30,0.4042001984345718,NaN,1,llm
31,0.381004338451147,NaN,1,llm
32,0.36032627389317495,NaN,1,llm
33,0.3686434047879832,NaN,1,llm
34,0.3628690228690228,NaN,1,llm
35,0.3577850112376968,NaN,1,llm
36,0.35329980461683186,NaN,1,llm
37,0.3729963310232369,NaN,1,llm
38,0.366971916971917,NaN,1,llm
39,0.3502097413190399,NaN,1,llm
40,0.37220278749514146,NaN,1,llm
41,0.3971712158808933,NaN,1,llm
42,0.416722288968985,NaN,1,llm
43,0.4183415054690447,NaN,1,llm
44,0.44077134986225897,NaN,1,llm
45,0.4504765851636967,NaN,1,llm
46,0.4507594936708861,NaN,1,llm
47,0.4820055725561876,NaN,1,llm
48,0.47631810746193537,NaN,1,llm
49,0.46510729010494756,NaN,1,llm
50,0.47457251082251073,NaN,1,llm
51,0.48426327482997156,NaN,1,llm
52,0.47136218703576227,NaN,1,llm
53,0.45973939049910606,NaN,1,llm
54,0.44464636094943977,NaN,1,llm
55,0.424884300462798,NaN,1,llm
56,0.41778922640022587,NaN,1,llm
57,0.42695795183307395,NaN,1,llm
58,0.42444817414301705,NaN,1,llm
59,0.4170881979239087,NaN,1,llm
60,0.4277038679477705,NaN,1,llm
61,0.4420872550166899,NaN,1,llm
62,0.4565713459681875,NaN,1,llm
63,0.4566216778643202,NaN,1,llm
64,0.47437616134533633,NaN,1,llm
65,0.5000194437603123,NaN,1,llm
66,0.5124642446161434,NaN,1,llm
67,0.5200322820660523,NaN,1,llm
68,0.5335558834675891,NaN,1,llm
69,0.5215123267787076,NaN,1,llm
70,0.518079090246631,NaN,1,llm
71,0.5140693961922931,NaN,1,llm
72,0.5237193194071312,NaN,1,llm
73,0.5107335513096694,NaN,1,llm
74,0.4913315207796336,NaN,1,llm
75,0.48191991817334023,NaN,1,llm
76,0.4766994910052331,NaN,1,llm
77,0.46541347905282326,NaN,1,llm
78,0.47018489452819034,NaN,1,llm
79,0.46603013253886827,NaN,1,llm
80,0.4602998614216909,NaN,1,llm
81,0.44563002768617577,NaN,1,llm
82,0.4423346159623762,NaN,1,llm
83,0.44863382282043607,NaN,1,llm
84,0.4500498456945403,NaN,1,llm
85,0.44957909442274047,NaN,1,llm
86,0.4624955546137022,NaN,1,llm
