time,mean_val,std_val,n_runs,architecture
0,9.797632143947327,NaN,1,bigfive
1,25.467857350961356,NaN,1,bigfive
2,9.769927195061701,NaN,1,bigfive
3,8.184228109974695,NaN,1,bigfive
4,5.1478752978809315,NaN,1,bigfive
5,3.958444291854757,NaN,1,bigfive
6,4.2749728312378,NaN,1,bigfive
7,4.412486856160737,NaN,1,bigfive
8,8.429289217510668,NaN,1,bigfive
9,8.328071100256508,NaN,1,bigfive
10,8.259084468882342,NaN,1,bigfive
11,8.213571144042692,NaN,1,bigfive
12,6.593520211114902,NaN,1,bigfive
13,6.543832749606036,NaN,1,bigfive
14,6.501825430509313,NaN,1,bigfive
15,6.803765885099034,NaN,1,bigfive
16,6.762029076444898,NaN,1,bigfive
17,7.761158884916602,NaN,1,bigfive
18,8.4215734064769,NaN,1,bigfive
19,3.831764833850097,NaN,1,bigfive
20,4.520762651299415,NaN,1,bigfive
21,4.707679476686199,NaN,1,bigfive
22,6.411158009430168,NaN,1,bigfive
23,10.306716983189208,NaN,1,bigfive
24,9.656434991205,NaN,1,bigfive
25,7.752258553365807,NaN,1,bigfive
26,7.892263971025553,NaN,1,bigfive
27,5.379322422011633,NaN,1,bigfive
28,5.638551995453503,NaN,1,bigfive
29,2.6475214719328592,NaN,1,bigfive
30,2.545312345914324,NaN,1,bigfive
31,2.681512140755392,NaN,1,bigfive
32,2.6566522365948324,NaN,1,bigfive
33,2.909629193787468,NaN,1,bigfive
34,3.0480740511080926,NaN,1,bigfive
35,3.172449957873524,NaN,1,bigfive
36,3.202662119416141,NaN,1,bigfive
37,3.022302449171437,NaN,1,bigfive
38,3.3685289711242774,NaN,1,bigfive
39,3.5322811669539425,NaN,1,bigfive
40,3.288769746531086,NaN,1,bigfive
41,3.3395129672568085,NaN,1,bigfive
42,3.3649456085778557,NaN,1,bigfive
43,2.799918894729462,NaN,1,bigfive
44,2.9698256992484136,NaN,1,bigfive
45,2.6808706463010843,NaN,1,bigfive
46,2.789030539985681,NaN,1,bigfive
47,2.623191370231666,NaN,1,bigfive
48,2.263792030691689,NaN,1,bigfive
49,2.341335888361637,NaN,1,bigfive
50,2.298181903370824,NaN,1,bigfive
51,2.3521294038040046,NaN,1,bigfive
52,2.214591930377014,NaN,1,bigfive
53,2.322070111522916,NaN,1,bigfive
54,2.3776784818493146,NaN,1,bigfive
55,2.3998116998064067,NaN,1,bigfive
56,2.4892691691556,NaN,1,bigfive
57,2.511946606785608,NaN,1,bigfive
58,2.1623745763122506,NaN,1,bigfive
59,2.197983110934685,NaN,1,bigfive
60,2.2042134976370464,NaN,1,bigfive
61,2.3003185458372495,NaN,1,bigfive
62,2.0484312743570676,NaN,1,bigfive
63,2.1150818486560405,NaN,1,bigfive
64,1.9878968806752346,NaN,1,bigfive
65,2.109532951331852,NaN,1,bigfive
66,1.8649739774628886,NaN,1,bigfive
67,1.8507231291911543,NaN,1,bigfive
68,1.9392757327644243,NaN,1,bigfive
69,2.0051210852564405,NaN,1,bigfive
70,2.004031547066801,NaN,1,bigfive
71,1.8201682859144899,NaN,1,bigfive
72,1.725268604850399,NaN,1,bigfive
73,1.7992684245915158,NaN,1,bigfive
74,1.8373090866170818,NaN,1,bigfive
75,1.905372450868067,NaN,1,bigfive
76,1.9448675764647143,NaN,1,bigfive
77,1.9386346949714692,NaN,1,bigfive
78,1.9074365939227136,NaN,1,bigfive
79,1.9246910540656292,NaN,1,bigfive
80,1.908971637018545,NaN,1,bigfive
81,1.8703907420389543,NaN,1,bigfive
82,1.9233258112046863,NaN,1,bigfive
83,2.091368945543554,NaN,1,bigfive
84,2.153898211126753,NaN,1,bigfive
85,2.3327674234030256,NaN,1,bigfive
86,2.264070518203894,NaN,1,bigfive
87,2.3813655140527157,NaN,1,bigfive
88,2.264349973993676,NaN,1,bigfive
89,2.1350688404419764,NaN,1,bigfive
90,1.9124011717449858,NaN,1,bigfive
91,1.9851565753147176,NaN,1,bigfive
92,1.9797023911803733,NaN,1,bigfive
93,1.9284518399834247,NaN,1,bigfive
94,2.0268371264397227,NaN,1,bigfive
95,1.9843718072112078,NaN,1,bigfive
96,2.080130392966573,NaN,1,bigfive
97,2.0450795753850244,NaN,1,bigfive
98,2.0765574885401996,NaN,1,bigfive
99,2.052011752341786,NaN,1,bigfive
100,2.0917306472326085,NaN,1,bigfive
101,2.0359183408534736,NaN,1,bigfive
102,2.1279357196449022,NaN,1,bigfive
103,2.1694023706508614,NaN,1,bigfive
104,2.1616059543192443,NaN,1,bigfive
105,2.212044758593317,NaN,1,bigfive
106,2.4060831286680746,NaN,1,bigfive
107,2.4050882771366613,NaN,1,bigfive
108,2.456397997093932,NaN,1,bigfive
109,2.4956470986433503,NaN,1,bigfive
110,2.595051888380378,NaN,1,bigfive
111,2.560242696079447,NaN,1,bigfive
112,2.510086772957193,NaN,1,bigfive
113,2.5566941442881945,NaN,1,bigfive
114,2.49156347758707,NaN,1,bigfive
115,2.4569593826839395,NaN,1,bigfive
116,2.6030836247627627,NaN,1,bigfive
117,2.602116457743822,NaN,1,bigfive
118,2.727544679008594,NaN,1,bigfive
119,2.7896984216819773,NaN,1,bigfive
120,2.80210060133555,NaN,1,bigfive
121,2.354896386036044,NaN,1,bigfive
122,2.3099013233581434,NaN,1,bigfive
123,2.367074264118985,NaN,1,bigfive
124,2.3708210356352755,NaN,1,bigfive
125,2.51061259513063,NaN,1,bigfive
126,2.4298719592846028,NaN,1,bigfive
127,2.4766007376852963,NaN,1,bigfive
128,2.4935217041283333,NaN,1,bigfive
129,2.772009953020243,NaN,1,bigfive
130,2.747865046014631,NaN,1,bigfive
131,2.7330537071767793,NaN,1,bigfive
132,2.8017436626938945,NaN,1,bigfive
133,2.872267979873522,NaN,1,bigfive
134,2.760351311260922,NaN,1,bigfive
135,2.484081439850198,NaN,1,bigfive
136,2.5565912093569825,NaN,1,bigfive
137,2.515446218416219,NaN,1,bigfive
138,2.6199767084156216,NaN,1,bigfive
139,2.7351125516132027,NaN,1,bigfive
140,2.997671101689358,NaN,1,bigfive
141,3.0054760314988442,NaN,1,bigfive
142,2.875523116538776,NaN,1,bigfive
143,2.8919278815634497,NaN,1,bigfive
144,3.0407784157390534,NaN,1,bigfive
145,2.731177040767156,NaN,1,bigfive
146,2.8723788466734996,NaN,1,bigfive
147,2.981898700334711,NaN,1,bigfive
148,2.9413243951713275,NaN,1,bigfive
149,3.0161570247719793,NaN,1,bigfive
150,2.924477149350997,NaN,1,bigfive
0,9.797632143947327,NaN,1,llm
1,20.847962706112217,NaN,1,llm
2,7.907866854153609,NaN,1,llm
3,7.5669521635601935,NaN,1,llm
4,4.697628882841127,NaN,1,llm
5,4.199628573853255,NaN,1,llm
6,6.977276501347133,NaN,1,llm
7,5.830422693875749,NaN,1,llm
8,13.234042193193863,NaN,1,llm
9,12.561468500831104,NaN,1,llm
10,12.027330432573597,NaN,1,llm
11,12.1070725627763,NaN,1,llm
12,13.24389842624103,NaN,1,llm
13,12.504116047436865,NaN,1,llm
14,11.904544648839552,NaN,1,llm
15,11.897912300559431,NaN,1,llm
16,14.52638191092683,NaN,1,llm
17,13.092089008236588,NaN,1,llm
18,17.274077337696358,NaN,1,llm
19,18.77553548065921,NaN,1,llm
20,14.676201238152963,NaN,1,llm
21,10.347102855293882,NaN,1,llm
22,15.303281504015658,NaN,1,llm
23,13.357007429103446,NaN,1,llm
24,6.1708809696636315,NaN,1,llm
25,6.619903903774459,NaN,1,llm
26,4.964913876073493,NaN,1,llm
27,3.163281994514537,NaN,1,llm
28,3.546828849846394,NaN,1,llm
29,3.846376402333448,NaN,1,llm
30,4.8900633114991905,NaN,1,llm
31,4.743690380579557,NaN,1,llm
32,4.692570093375886,NaN,1,llm
33,4.461486464171567,NaN,1,llm
34,5.188686348748054,NaN,1,llm
35,5.56345009274294,NaN,1,llm
36,5.439760124493734,NaN,1,llm
37,4.1662229784711595,NaN,1,llm
38,4.089105422151715,NaN,1,llm
39,4.549100671603728,NaN,1,llm
40,6.341831887777886,NaN,1,llm
41,6.367104745207868,NaN,1,llm
42,4.781444397389138,NaN,1,llm
43,5.134163744439872,NaN,1,llm
44,5.843329942952514,NaN,1,llm
45,5.1466327309616755,NaN,1,llm
46,4.910139397475704,NaN,1,llm
47,4.677341706299466,NaN,1,llm
48,4.150103251680246,NaN,1,llm
49,4.220044661318135,NaN,1,llm
50,4.034714049652324,NaN,1,llm
51,4.013758315329204,NaN,1,llm
52,3.406280349395854,NaN,1,llm
53,3.513770859990108,NaN,1,llm
54,3.558518846106309,NaN,1,llm
55,3.768958821524363,NaN,1,llm
56,3.5927633563956305,NaN,1,llm
57,3.213964964139493,NaN,1,llm
58,3.182031898231687,NaN,1,llm
59,3.301701626703687,NaN,1,llm
60,3.1855831977923623,NaN,1,llm
61,3.169581475892598,NaN,1,llm
62,3.187148969796278,NaN,1,llm
63,3.057433954431447,NaN,1,llm
64,3.2885960691302536,NaN,1,llm
65,3.152778229728511,NaN,1,llm
66,3.284697141443617,NaN,1,llm
67,3.8256910252214196,NaN,1,llm
68,3.17363415884065,NaN,1,llm
69,3.5745776719844073,NaN,1,llm
70,3.2619061689450293,NaN,1,llm
71,2.8107500273956516,NaN,1,llm
72,2.8436283213436417,NaN,1,llm
73,2.7575095516448194,NaN,1,llm
74,2.988708685401338,NaN,1,llm
75,3.1252687744719423,NaN,1,llm
76,3.5384802647955627,NaN,1,llm
77,3.7036685192210603,NaN,1,llm
78,3.311240362660237,NaN,1,llm
79,3.5199275845380953,NaN,1,llm
80,3.7194606666349035,NaN,1,llm
81,3.7573000697426058,NaN,1,llm
82,3.766375187538835,NaN,1,llm
83,3.6492145867476,NaN,1,llm
84,3.6678311132367534,NaN,1,llm
85,3.4022814024050043,NaN,1,llm
86,3.5932795328653286,NaN,1,llm
87,3.1225884971268036,NaN,1,llm
88,3.0353580909196594,NaN,1,llm
89,3.050898531581681,NaN,1,llm
90,3.1194928723090243,NaN,1,llm
91,3.133378518659232,NaN,1,llm
92,2.923563712994743,NaN,1,llm
93,3.0483733346753397,NaN,1,llm
94,3.104449790769943,NaN,1,llm
95,3.112615085922208,NaN,1,llm
96,3.2414880838034046,NaN,1,llm
97,2.973145759179787,NaN,1,llm
98,3.0573195284006895,NaN,1,llm
99,3.0275385110513313,NaN,1,llm
100,2.966781630217729,NaN,1,llm
101,3.028694079952201,NaN,1,llm
102,2.799622845544168,NaN,1,llm
103,2.8265405301924047,NaN,1,llm
