time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,0.0,NaN,1,bigfive
3,0.0,NaN,1,bigfive
4,0.0,NaN,1,bigfive
5,0.0,NaN,1,bigfive
6,0.0,NaN,1,bigfive
7,0.0,NaN,1,bigfive
8,0.0,NaN,1,bigfive
9,0.0,NaN,1,bigfive
10,0.0,NaN,1,bigfive
11,0.0,NaN,1,bigfive
12,0.0,NaN,1,bigfive
13,0.0,NaN,1,bigfive
14,0.0,NaN,1,bigfive
15,0.0,NaN,1,bigfive
16,0.0,NaN,1,bigfive
17,0.0,NaN,1,bigfive
18,0.0,NaN,1,bigfive
19,0.0,NaN,1,bigfive
20,0.0,NaN,1,bigfive
21,0.0,NaN,1,bigfive
22,0.0,NaN,1,bigfive
23,0.0,NaN,1,bigfive
24,0.0,NaN,1,bigfive
25,0.0,NaN,1,bigfive
26,0.0,NaN,1,bigfive
27,0.0,NaN,1,bigfive
28,0.0,NaN,1,bigfive
29,0.0,NaN,1,bigfive
30,0.0,NaN,1,bigfive
31,0.0,NaN,1,bigfive
32,0.0,NaN,1,bigfive
33,0.0,NaN,1,bigfive
34,0.0,NaN,1,bigfive
35,0.0,NaN,1,bigfive
36,0.0,NaN,1,bigfive
37,0.0,NaN,1,bigfive
38,0.0,NaN,1,bigfive
39,0.0,NaN,1,bigfive
40,0.0,NaN,1,bigfive
41,0.0,NaN,1,bigfive
42,0.0,NaN,1,bigfive
43,0.0,NaN,1,bigfive
44,0.0,NaN,1,bigfive
45,0.0,NaN,1,bigfive
46,0.0,NaN,1,bigfive
47,0.0,NaN,1,bigfive
48,0.0,NaN,1,bigfive
49,0.0,NaN,1,bigfive
50,0.0,NaN,1,bigfive
51,0.0,NaN,1,bigfive
52,0.0,NaN,1,bigfive
53,0.0,NaN,1,bigfive
54,0.0,NaN,1,bigfive
55,0.0,NaN,1,bigfive
56,0.0,NaN,1,bigfive
57,0.0,NaN,1,bigfive
58,0.0,NaN,1,bigfive
59,0.0,NaN,1,bigfive
60,4.0,NaN,1,bigfive
61,4.0,NaN,1,bigfive
62,5.0,NaN,1,bigfive
63,5.0,NaN,1,bigfive
64,5.0,NaN,1,bigfive
65,5.0,NaN,1,bigfive
66,5.0,NaN,1,bigfive
67,6.0,NaN,1,bigfive
68,7.0,NaN,1,bigfive
69,8.0,NaN,1,bigfive
70,8.0,NaN,1,bigfive
71,8.0,NaN,1,bigfive
72,8.0,NaN,1,bigfive
73,8.0,NaN,1,bigfive
74,8.0,NaN,1,bigfive
75,8.0,NaN,1,bigfive
76,9.0,NaN,1,bigfive
77,9.0,NaN,1,bigfive
78,9.0,NaN,1,bigfive
79,9.0,NaN,1,bigfive
80,10.0,NaN,1,bigfive
81,11.0,NaN,1,bigfive
82,12.0,NaN,1,bigfive
83,16.0,NaN,1,bigfive
84,16.0,NaN,1,bigfive
85,16.0,NaN,1,bigfive
86,16.0,NaN,1,bigfive
87,17.0,NaN,1,bigfive
88,18.0,NaN,1,bigfive
89,20.0,NaN,1,bigfive
90,21.0,NaN,1,bigfive
91,22.0,NaN,1,bigfive
92,24.0,NaN,1,bigfive
93,26.0,NaN,1,bigfive
94,27.0,NaN,1,bigfive
95,27.0,NaN,1,bigfive
96,28.0,NaN,1,bigfive
97,28.0,NaN,1,bigfive
98,31.0,NaN,1,bigfive
99,31.0,NaN,1,bigfive
100,35.0,NaN,1,bigfive
101,35.0,NaN,1,bigfive
102,36.0,NaN,1,bigfive
103,38.0,NaN,1,bigfive
104,38.0,NaN,1,bigfive
105,39.0,NaN,1,bigfive
106,39.0,NaN,1,bigfive
107,40.0,NaN,1,bigfive
108,40.0,NaN,1,bigfive
109,42.0,NaN,1,bigfive
110,47.0,NaN,1,bigfive
111,50.0,NaN,1,bigfive
112,53.0,NaN,1,bigfive
113,54.0,NaN,1,bigfive
114,55.0,NaN,1,bigfive
115,57.0,NaN,1,bigfive
116,57.0,NaN,1,bigfive
117,59.0,NaN,1,bigfive
118,61.0,NaN,1,bigfive
119,63.0,NaN,1,bigfive
120,66.0,NaN,1,bigfive
121,67.0,NaN,1,bigfive
122,69.0,NaN,1,bigfive
123,70.0,NaN,1,bigfive
124,73.0,NaN,1,bigfive
125,75.0,NaN,1,bigfive
126,78.0,NaN,1,bigfive
127,82.0,NaN,1,bigfive
128,85.0,NaN,1,bigfive
129,95.0,NaN,1,bigfive
130,100.0,NaN,1,bigfive
131,106.0,NaN,1,bigfive
132,114.0,NaN,1,bigfive
133,118.0,NaN,1,bigfive
134,120.0,NaN,1,bigfive
135,126.0,NaN,1,bigfive
136,129.0,NaN,1,bigfive
137,129.0,NaN,1,bigfive
138,139.0,NaN,1,bigfive
139,141.0,NaN,1,bigfive
140,144.0,NaN,1,bigfive
141,146.0,NaN,1,bigfive
142,151.0,NaN,1,bigfive
143,155.0,NaN,1,bigfive
144,161.0,NaN,1,bigfive
145,166.0,NaN,1,bigfive
146,172.0,NaN,1,bigfive
147,179.0,NaN,1,bigfive
148,188.0,NaN,1,bigfive
149,199.0,NaN,1,bigfive
150,204.0,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,0.0,NaN,1,llm
3,0.0,NaN,1,llm
4,0.0,NaN,1,llm
5,0.0,NaN,1,llm
6,0.0,NaN,1,llm
7,0.0,NaN,1,llm
8,0.0,NaN,1,llm
9,0.0,NaN,1,llm
10,0.0,NaN,1,llm
11,0.0,NaN,1,llm
12,0.0,NaN,1,llm
13,0.0,NaN,1,llm
14,0.0,NaN,1,llm
15,0.0,NaN,1,llm
16,0.0,NaN,1,llm
17,0.0,NaN,1,llm
18,0.0,NaN,1,llm
19,0.0,NaN,1,llm
20,0.0,NaN,1,llm
21,0.0,NaN,1,llm
22,0.0,NaN,1,llm
23,0.0,NaN,1,llm
24,0.0,NaN,1,llm
25,0.0,NaN,1,llm
26,0.0,NaN,1,llm
27,0.0,NaN,1,llm
28,0.0,NaN,1,llm
29,0.0,NaN,1,llm
30,0.0,NaN,1,llm
31,0.0,NaN,1,llm
32,0.0,NaN,1,llm
33,0.0,NaN,1,llm
34,0.0,NaN,1,llm
35,0.0,NaN,1,llm
36,0.0,NaN,1,llm
37,0.0,NaN,1,llm
38,0.0,NaN,1,llm
39,0.0,NaN,1,llm
40,0.0,NaN,1,llm
41,0.0,NaN,1,llm
42,0.0,NaN,1,llm
43,0.0,NaN,1,llm
44,0.0,NaN,1,llm
45,0.0,NaN,1,llm
46,0.0,NaN,1,llm
47,0.0,NaN,1,llm
48,0.0,NaN,1,llm
49,0.0,NaN,1,llm
50,0.0,NaN,1,llm
51,0.0,NaN,1,llm
52,0.0,NaN,1,llm
53,0.0,NaN,1,llm
54,0.0,NaN,1,llm
55,0.0,NaN,1,llm
56,0.0,NaN,1,llm
57,0.0,NaN,1,llm
58,0.0,NaN,1,llm
59,0.0,NaN,1,llm
60,4.0,NaN,1,llm
61,4.0,NaN,1,llm
62,5.0,NaN,1,llm
63,5.0,NaN,1,llm
64,5.0,NaN,1,llm
65,5.0,NaN,1,llm
66,5.0,NaN,1,llm
67,6.0,NaN,1,llm
68,7.0,NaN,1,llm
69,8.0,NaN,1,llm
70,8.0,NaN,1,llm
71,8.0,NaN,1,llm
72,8.0,NaN,1,llm
73,8.0,NaN,1,llm
74,9.0,NaN,1,llm
75,9.0,NaN,1,llm
76,10.0,NaN,1,llm
77,10.0,NaN,1,llm
78,10.0,NaN,1,llm
79,10.0,NaN,1,llm
80,10.0,NaN,1,llm
81,11.0,NaN,1,llm
82,11.0,NaN,1,llm
83,12.0,NaN,1,llm
84,12.0,NaN,1,llm
85,13.0,NaN,1,llm
86,15.0,NaN,1,llm
87,15.0,NaN,1,llm
88,18.0,NaN,1,llm
89,19.0,NaN,1,llm
90,19.0,NaN,1,llm
91,20.0,NaN,1,llm
92,21.0,NaN,1,llm
93,23.0,NaN,1,llm
94,23.0,NaN,1,llm
95,25.0,NaN,1,llm
96,25.0,NaN,1,llm
97,26.0,NaN,1,llm
98,28.0,NaN,1,llm
99,28.0,NaN,1,llm
100,30.0,NaN,1,llm
101,30.0,NaN,1,llm
102,30.0,NaN,1,llm
103,31.0,NaN,1,llm
104,33.0,NaN,1,llm
105,33.0,NaN,1,llm
106,34.0,NaN,1,llm
107,37.0,NaN,1,llm
108,38.0,NaN,1,llm
109,38.0,NaN,1,llm
110,39.0,NaN,1,llm
111,40.0,NaN,1,llm
112,41.0,NaN,1,llm
113,42.0,NaN,1,llm
114,43.0,NaN,1,llm
115,44.0,NaN,1,llm
116,46.0,NaN,1,llm
117,49.0,NaN,1,llm
118,51.0,NaN,1,llm
119,52.0,NaN,1,llm
120,54.0,NaN,1,llm
121,55.0,NaN,1,llm
122,59.0,NaN,1,llm
123,60.0,NaN,1,llm
124,62.0,NaN,1,llm
125,64.0,NaN,1,llm
126,70.0,NaN,1,llm
127,74.0,NaN,1,llm
128,76.0,NaN,1,llm
129,79.0,NaN,1,llm
130,80.0,NaN,1,llm
131,83.0,NaN,1,llm
132,88.0,NaN,1,llm
133,90.0,NaN,1,llm
134,94.0,NaN,1,llm
135,98.0,NaN,1,llm
136,101.0,NaN,1,llm
137,102.0,NaN,1,llm
138,110.0,NaN,1,llm
139,113.0,NaN,1,llm
140,118.0,NaN,1,llm
141,121.0,NaN,1,llm
142,126.0,NaN,1,llm
143,130.0,NaN,1,llm
144,131.0,NaN,1,llm
145,136.0,NaN,1,llm
146,147.0,NaN,1,llm
147,153.0,NaN,1,llm
148,154.0,NaN,1,llm
149,158.0,NaN,1,llm
150,165.0,NaN,1,llm
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
