time,mean_val,std_val,n_runs,architecture
0,0.0,NaN,1,bigfive
1,0.0,NaN,1,bigfive
2,1.0,NaN,1,bigfive
3,3.0,NaN,1,bigfive
4,6.0,NaN,1,bigfive
5,10.0,NaN,1,bigfive
6,14.0,NaN,1,bigfive
7,15.0,NaN,1,bigfive
8,17.0,NaN,1,bigfive
9,18.0,NaN,1,bigfive
10,18.0,NaN,1,bigfive
11,19.0,NaN,1,bigfive
12,21.0,NaN,1,bigfive
13,22.0,NaN,1,bigfive
14,24.0,NaN,1,bigfive
15,25.0,NaN,1,bigfive
16,25.0,NaN,1,bigfive
17,25.0,NaN,1,bigfive
18,25.0,NaN,1,bigfive
19,25.0,NaN,1,bigfive
20,25.0,NaN,1,bigfive
21,26.0,NaN,1,bigfive
22,26.0,NaN,1,bigfive
23,26.0,NaN,1,bigfive
24,27.0,NaN,1,bigfive
25,27.0,NaN,1,bigfive
26,27.0,NaN,1,bigfive
27,27.0,NaN,1,bigfive
28,27.0,NaN,1,bigfive
29,27.0,NaN,1,bigfive
30,27.0,NaN,1,bigfive
31,27.0,NaN,1,bigfive
32,27.0,NaN,1,bigfive
33,27.0,NaN,1,bigfive
34,27.0,NaN,1,bigfive
35,27.0,NaN,1,bigfive
36,28.0,NaN,1,bigfive
37,28.0,NaN,1,bigfive
38,28.0,NaN,1,bigfive
39,28.0,NaN,1,bigfive
40,29.0,NaN,1,bigfive
41,29.0,NaN,1,bigfive
42,29.0,NaN,1,bigfive
43,29.0,NaN,1,bigfive
44,29.0,NaN,1,bigfive
45,30.0,NaN,1,bigfive
46,30.0,NaN,1,bigfive
47,30.0,NaN,1,bigfive
48,30.0,NaN,1,bigfive
49,30.0,NaN,1,bigfive
50,30.0,NaN,1,bigfive
51,31.0,NaN,1,bigfive
52,31.0,NaN,1,bigfive
53,31.0,NaN,1,bigfive
54,31.0,NaN,1,bigfive
55,31.0,NaN,1,bigfive
56,32.0,NaN,1,bigfive
57,32.0,NaN,1,bigfive
58,32.0,NaN,1,bigfive
59,32.0,NaN,1,bigfive
60,32.0,NaN,1,bigfive
61,32.0,NaN,1,bigfive
62,32.0,NaN,1,bigfive
63,32.0,NaN,1,bigfive
64,32.0,NaN,1,bigfive
65,32.0,NaN,1,bigfive
66,32.0,NaN,1,bigfive
67,32.0,NaN,1,bigfive
68,32.0,NaN,1,bigfive
69,32.0,NaN,1,bigfive
70,32.0,NaN,1,bigfive
71,32.0,NaN,1,bigfive
72,33.0,NaN,1,bigfive
73,35.0,NaN,1,bigfive
74,37.0,NaN,1,bigfive
75,38.0,NaN,1,bigfive
76,39.0,NaN,1,bigfive
77,40.0,NaN,1,bigfive
78,41.0,NaN,1,bigfive
79,41.0,NaN,1,bigfive
80,44.0,NaN,1,bigfive
81,46.0,NaN,1,bigfive
82,47.0,NaN,1,bigfive
83,48.0,NaN,1,bigfive
84,48.0,NaN,1,bigfive
85,49.0,NaN,1,bigfive
86,50.0,NaN,1,bigfive
87,51.0,NaN,1,bigfive
88,51.0,NaN,1,bigfive
89,51.0,NaN,1,bigfive
90,51.0,NaN,1,bigfive
91,51.0,NaN,1,bigfive
92,51.0,NaN,1,bigfive
93,51.0,NaN,1,bigfive
94,51.0,NaN,1,bigfive
95,51.0,NaN,1,bigfive
96,51.0,NaN,1,bigfive
97,51.0,NaN,1,bigfive
98,51.0,NaN,1,bigfive
99,52.0,NaN,1,bigfive
100,53.0,NaN,1,bigfive
101,53.0,NaN,1,bigfive
102,53.0,NaN,1,bigfive
103,53.0,NaN,1,bigfive
104,53.0,NaN,1,bigfive
105,53.0,NaN,1,bigfive
106,54.0,NaN,1,bigfive
107,55.0,NaN,1,bigfive
108,57.0,NaN,1,bigfive
109,58.0,NaN,1,bigfive
110,60.0,NaN,1,bigfive
111,63.0,NaN,1,bigfive
112,64.0,NaN,1,bigfive
113,65.0,NaN,1,bigfive
114,68.0,NaN,1,bigfive
115,69.0,NaN,1,bigfive
116,72.0,NaN,1,bigfive
117,73.0,NaN,1,bigfive
118,77.0,NaN,1,bigfive
119,78.0,NaN,1,bigfive
120,79.0,NaN,1,bigfive
121,81.0,NaN,1,bigfive
122,85.0,NaN,1,bigfive
123,86.0,NaN,1,bigfive
124,88.0,NaN,1,bigfive
125,90.0,NaN,1,bigfive
126,92.0,NaN,1,bigfive
127,93.0,NaN,1,bigfive
128,93.0,NaN,1,bigfive
129,97.0,NaN,1,bigfive
130,98.0,NaN,1,bigfive
131,103.0,NaN,1,bigfive
132,105.0,NaN,1,bigfive
133,105.0,NaN,1,bigfive
134,105.0,NaN,1,bigfive
135,106.0,NaN,1,bigfive
136,107.0,NaN,1,bigfive
137,108.0,NaN,1,bigfive
138,108.0,NaN,1,bigfive
139,110.0,NaN,1,bigfive
140,111.0,NaN,1,bigfive
141,112.0,NaN,1,bigfive
142,113.0,NaN,1,bigfive
143,117.0,NaN,1,bigfive
144,119.0,NaN,1,bigfive
145,121.0,NaN,1,bigfive
146,122.0,NaN,1,bigfive
147,124.0,NaN,1,bigfive
148,125.0,NaN,1,bigfive
149,129.0,NaN,1,bigfive
150,131.0,NaN,1,bigfive
0,0.0,NaN,1,llm
1,0.0,NaN,1,llm
2,1.0,NaN,1,llm
3,3.0,NaN,1,llm
4,6.0,NaN,1,llm
5,9.0,NaN,1,llm
6,12.0,NaN,1,llm
7,13.0,NaN,1,llm
8,16.0,NaN,1,llm
9,17.0,NaN,1,llm
10,18.0,NaN,1,llm
11,20.0,NaN,1,llm
12,21.0,NaN,1,llm
13,22.0,NaN,1,llm
14,24.0,NaN,1,llm
15,25.0,NaN,1,llm
16,25.0,NaN,1,llm
17,25.0,NaN,1,llm
18,25.0,NaN,1,llm
19,25.0,NaN,1,llm
20,25.0,NaN,1,llm
21,25.0,NaN,1,llm
22,25.0,NaN,1,llm
23,25.0,NaN,1,llm
24,26.0,NaN,1,llm
25,27.0,NaN,1,llm
26,27.0,NaN,1,llm
27,27.0,NaN,1,llm
28,28.0,NaN,1,llm
29,28.0,NaN,1,llm
30,29.0,NaN,1,llm
31,29.0,NaN,1,llm
32,29.0,NaN,1,llm
33,29.0,NaN,1,llm
34,29.0,NaN,1,llm
35,29.0,NaN,1,llm
36,29.0,NaN,1,llm
37,29.0,NaN,1,llm
38,29.0,NaN,1,llm
39,29.0,NaN,1,llm
40,30.0,NaN,1,llm
41,30.0,NaN,1,llm
42,30.0,NaN,1,llm
43,31.0,NaN,1,llm
44,31.0,NaN,1,llm
45,31.0,NaN,1,llm
46,31.0,NaN,1,llm
47,31.0,NaN,1,llm
48,31.0,NaN,1,llm
49,31.0,NaN,1,llm
50,32.0,NaN,1,llm
51,32.0,NaN,1,llm
52,32.0,NaN,1,llm
53,32.0,NaN,1,llm
54,33.0,NaN,1,llm
55,33.0,NaN,1,llm
56,33.0,NaN,1,llm
57,33.0,NaN,1,llm
58,33.0,NaN,1,llm
59,33.0,NaN,1,llm
60,33.0,NaN,1,llm
61,33.0,NaN,1,llm
62,33.0,NaN,1,llm
63,33.0,NaN,1,llm
64,33.0,NaN,1,llm
65,33.0,NaN,1,llm
66,33.0,NaN,1,llm
67,33.0,NaN,1,llm
68,33.0,NaN,1,llm
69,33.0,NaN,1,llm
70,33.0,NaN,1,llm
71,33.0,NaN,1,llm
72,33.0,NaN,1,llm
73,33.0,NaN,1,llm
74,33.0,NaN,1,llm
75,34.0,NaN,1,llm
76,34.0,NaN,1,llm
77,35.0,NaN,1,llm
78,35.0,NaN,1,llm
79,36.0,NaN,1,llm
80,37.0,NaN,1,llm
81,37.0,NaN,1,llm
82,38.0,NaN,1,llm
83,40.0,NaN,1,llm
84,42.0,NaN,1,llm
85,43.0,NaN,1,llm
86,43.0,NaN,1,llm
87,43.0,NaN,1,llm
88,45.0,NaN,1,llm
89,46.0,NaN,1,llm
90,47.0,NaN,1,llm
91,48.0,NaN,1,llm
92,49.0,NaN,1,llm
93,49.0,NaN,1,llm
94,51.0,NaN,1,llm
95,51.0,NaN,1,llm
96,52.0,NaN,1,llm
97,54.0,NaN,1,llm
98,55.0,NaN,1,llm
99,59.0,NaN,1,llm
100,60.0,NaN,1,llm
101,62.0,NaN,1,llm
102,63.0,NaN,1,llm
103,63.0,NaN,1,llm
104,66.0,NaN,1,llm
105,67.0,NaN,1,llm
106,69.0,NaN,1,llm
107,70.0,NaN,1,llm
108,76.0,NaN,1,llm
109,79.0,NaN,1,llm
110,83.0,NaN,1,llm
111,89.0,NaN,1,llm
112,96.0,NaN,1,llm
113,99.0,NaN,1,llm
114,105.0,NaN,1,llm
115,109.0,NaN,1,llm
116,116.0,NaN,1,llm
117,126.0,NaN,1,llm
118,133.0,NaN,1,llm
119,141.0,NaN,1,llm
120,145.0,NaN,1,llm
121,148.0,NaN,1,llm
122,152.0,NaN,1,llm
123,158.0,NaN,1,llm
124,160.0,NaN,1,llm
125,167.0,NaN,1,llm
126,170.0,NaN,1,llm
127,174.0,NaN,1,llm
128,179.0,NaN,1,llm
129,181.0,NaN,1,llm
130,185.0,NaN,1,llm
131,188.0,NaN,1,llm
132,188.0,NaN,1,llm
133,189.0,NaN,1,llm
134,190.0,NaN,1,llm
135,190.0,NaN,1,llm
136,190.0,NaN,1,llm
137,192.0,NaN,1,llm
138,192.0,NaN,1,llm
139,192.0,NaN,1,llm
140,192.0,NaN,1,llm
141,192.0,NaN,1,llm
142,192.0,NaN,1,llm
143,192.0,NaN,1,llm
144,194.0,NaN,1,llm
145,194.0,NaN,1,llm
146,196.0,NaN,1,llm
147,197.0,NaN,1,llm
148,197.0,NaN,1,llm
149,198.0,NaN,1,llm
150,198.0,NaN,1,llm
0,0.0,NaN,1,rule
1,0.0,NaN,1,rule
