time,mean_val,std_val,n_runs,architecture
0,50.0,NaN,1,bigfive
1,50.0,NaN,1,bigfive
2,49.0,NaN,1,bigfive
3,47.0,NaN,1,bigfive
4,44.0,NaN,1,bigfive
5,40.0,NaN,1,bigfive
6,36.0,NaN,1,bigfive
7,35.0,NaN,1,bigfive
8,33.0,NaN,1,bigfive
9,32.0,NaN,1,bigfive
10,32.0,NaN,1,bigfive
11,31.0,NaN,1,bigfive
12,29.0,NaN,1,bigfive
13,28.0,NaN,1,bigfive
14,26.0,NaN,1,bigfive
15,25.0,NaN,1,bigfive
16,25.0,NaN,1,bigfive
17,25.0,NaN,1,bigfive
18,25.0,NaN,1,bigfive
19,31.0,NaN,1,bigfive
20,33.0,NaN,1,bigfive
21,34.0,NaN,1,bigfive
22,36.0,NaN,1,bigfive
23,39.0,NaN,1,bigfive
24,38.0,NaN,1,bigfive
25,38.0,NaN,1,bigfive
26,41.0,NaN,1,bigfive
27,43.0,NaN,1,bigfive
28,43.0,NaN,1,bigfive
29,48.0,NaN,1,bigfive
30,50.0,NaN,1,bigfive
31,50.0,NaN,1,bigfive
32,51.0,NaN,1,bigfive
33,52.0,NaN,1,bigfive
34,52.0,NaN,1,bigfive
35,53.0,NaN,1,bigfive
36,52.0,NaN,1,bigfive
37,52.0,NaN,1,bigfive
38,57.0,NaN,1,bigfive
39,59.0,NaN,1,bigfive
40,62.0,NaN,1,bigfive
41,67.0,NaN,1,bigfive
42,69.0,NaN,1,bigfive
43,74.0,NaN,1,bigfive
44,75.0,NaN,1,bigfive
45,77.0,NaN,1,bigfive
46,79.0,NaN,1,bigfive
47,81.0,NaN,1,bigfive
48,85.0,NaN,1,bigfive
49,88.0,NaN,1,bigfive
50,94.0,NaN,1,bigfive
51,97.0,NaN,1,bigfive
52,101.0,NaN,1,bigfive
53,103.0,NaN,1,bigfive
54,106.0,NaN,1,bigfive
55,108.0,NaN,1,bigfive
56,109.0,NaN,1,bigfive
57,114.0,NaN,1,bigfive
58,117.0,NaN,1,bigfive
59,119.0,NaN,1,bigfive
60,119.0,NaN,1,bigfive
61,124.0,NaN,1,bigfive
62,129.0,NaN,1,bigfive
63,131.0,NaN,1,bigfive
64,140.0,NaN,1,bigfive
65,144.0,NaN,1,bigfive
66,151.0,NaN,1,bigfive
67,159.0,NaN,1,bigfive
68,164.0,NaN,1,bigfive
69,178.0,NaN,1,bigfive
70,194.0,NaN,1,bigfive
71,200.0,NaN,1,bigfive
72,208.0,NaN,1,bigfive
73,210.0,NaN,1,bigfive
74,212.0,NaN,1,bigfive
75,219.0,NaN,1,bigfive
76,225.0,NaN,1,bigfive
77,226.0,NaN,1,bigfive
78,227.0,NaN,1,bigfive
79,232.0,NaN,1,bigfive
80,230.0,NaN,1,bigfive
81,232.0,NaN,1,bigfive
82,236.0,NaN,1,bigfive
83,236.0,NaN,1,bigfive
84,244.0,NaN,1,bigfive
85,253.0,NaN,1,bigfive
86,264.0,NaN,1,bigfive
87,275.0,NaN,1,bigfive
88,290.0,NaN,1,bigfive
89,302.0,NaN,1,bigfive
90,318.0,NaN,1,bigfive
91,330.0,NaN,1,bigfive
92,338.0,NaN,1,bigfive
93,343.0,NaN,1,bigfive
94,350.0,NaN,1,bigfive
95,360.0,NaN,1,bigfive
96,363.0,NaN,1,bigfive
97,366.0,NaN,1,bigfive
98,368.0,NaN,1,bigfive
99,373.0,NaN,1,bigfive
100,372.0,NaN,1,bigfive
101,377.0,NaN,1,bigfive
102,384.0,NaN,1,bigfive
103,391.0,NaN,1,bigfive
104,396.0,NaN,1,bigfive
105,401.0,NaN,1,bigfive
106,411.0,NaN,1,bigfive
107,417.0,NaN,1,bigfive
108,422.0,NaN,1,bigfive
109,423.0,NaN,1,bigfive
110,423.0,NaN,1,bigfive
111,424.0,NaN,1,bigfive
112,429.0,NaN,1,bigfive
113,431.0,NaN,1,bigfive
114,431.0,NaN,1,bigfive
115,432.0,NaN,1,bigfive
116,433.0,NaN,1,bigfive
117,433.0,NaN,1,bigfive
118,431.0,NaN,1,bigfive
119,433.0,NaN,1,bigfive
120,440.0,NaN,1,bigfive
121,444.0,NaN,1,bigfive
122,442.0,NaN,1,bigfive
123,446.0,NaN,1,bigfive
124,447.0,NaN,1,bigfive
125,449.0,NaN,1,bigfive
126,450.0,NaN,1,bigfive
127,449.0,NaN,1,bigfive
128,460.0,NaN,1,bigfive
129,454.0,NaN,1,bigfive
130,462.0,NaN,1,bigfive
131,458.0,NaN,1,bigfive
132,454.0,NaN,1,bigfive
133,466.0,NaN,1,bigfive
134,469.0,NaN,1,bigfive
135,466.0,NaN,1,bigfive
136,472.0,NaN,1,bigfive
137,478.0,NaN,1,bigfive
138,478.0,NaN,1,bigfive
139,482.0,NaN,1,bigfive
140,489.0,NaN,1,bigfive
141,492.0,NaN,1,bigfive
142,489.0,NaN,1,bigfive
143,488.0,NaN,1,bigfive
144,488.0,NaN,1,bigfive
145,487.0,NaN,1,bigfive
146,490.0,NaN,1,bigfive
147,488.0,NaN,1,bigfive
148,492.0,NaN,1,bigfive
149,488.0,NaN,1,bigfive
150,488.0,NaN,1,bigfive
0,50.0,NaN,1,llm
1,50.0,NaN,1,llm
2,49.0,NaN,1,llm
3,47.0,NaN,1,llm
4,44.0,NaN,1,llm
5,41.0,NaN,1,llm
6,38.0,NaN,1,llm
7,37.0,NaN,1,llm
8,34.0,NaN,1,llm
9,33.0,NaN,1,llm
10,32.0,NaN,1,llm
11,30.0,NaN,1,llm
12,29.0,NaN,1,llm
13,28.0,NaN,1,llm
14,26.0,NaN,1,llm
15,25.0,NaN,1,llm
16,25.0,NaN,1,llm
17,25.0,NaN,1,llm
18,26.0,NaN,1,llm
19,28.0,NaN,1,llm
20,28.0,NaN,1,llm
21,31.0,NaN,1,llm
22,32.0,NaN,1,llm
23,34.0,NaN,1,llm
24,36.0,NaN,1,llm
25,38.0,NaN,1,llm
26,41.0,NaN,1,llm
27,44.0,NaN,1,llm
28,45.0,NaN,1,llm
29,46.0,NaN,1,llm
30,47.0,NaN,1,llm
31,47.0,NaN,1,llm
32,47.0,NaN,1,llm
33,49.0,NaN,1,llm
34,50.0,NaN,1,llm
35,51.0,NaN,1,llm
36,52.0,NaN,1,llm
37,55.0,NaN,1,llm
38,56.0,NaN,1,llm
39,56.0,NaN,1,llm
40,58.0,NaN,1,llm
41,62.0,NaN,1,llm
42,66.0,NaN,1,llm
43,67.0,NaN,1,llm
44,72.0,NaN,1,llm
45,76.0,NaN,1,llm
46,79.0,NaN,1,llm
47,87.0,NaN,1,llm
48,90.0,NaN,1,llm
49,92.0,NaN,1,llm
50,96.0,NaN,1,llm
51,102.0,NaN,1,llm
52,104.0,NaN,1,llm
53,106.0,NaN,1,llm
54,106.0,NaN,1,llm
55,106.0,NaN,1,llm
56,108.0,NaN,1,llm
57,113.0,NaN,1,llm
58,116.0,NaN,1,llm
59,118.0,NaN,1,llm
60,120.0,NaN,1,llm
61,127.0,NaN,1,llm
62,134.0,NaN,1,llm
63,139.0,NaN,1,llm
64,149.0,NaN,1,llm
65,163.0,NaN,1,llm
66,175.0,NaN,1,llm
67,186.0,NaN,1,llm
68,201.0,NaN,1,llm
69,207.0,NaN,1,llm
70,217.0,NaN,1,llm
71,227.0,NaN,1,llm
72,244.0,NaN,1,llm
73,251.0,NaN,1,llm
74,254.0,NaN,1,llm
75,260.0,NaN,1,llm
76,269.0,NaN,1,llm
77,275.0,NaN,1,llm
78,289.0,NaN,1,llm
79,298.0,NaN,1,llm
80,306.0,NaN,1,llm
81,309.0,NaN,1,llm
82,317.0,NaN,1,llm
83,330.0,NaN,1,llm
84,341.0,NaN,1,llm
85,351.0,NaN,1,llm
86,371.0,NaN,1,llm
87,390.0,NaN,1,llm
88,402.0,NaN,1,llm
89,414.0,NaN,1,llm
90,427.0,NaN,1,llm
91,439.0,NaN,1,llm
92,446.0,NaN,1,llm
93,453.0,NaN,1,llm
94,461.0,NaN,1,llm
95,467.0,NaN,1,llm
96,480.0,NaN,1,llm
97,494.0,NaN,1,llm
98,505.0,NaN,1,llm
